stroop_effect,stroop_accuracy,mrt_incong,mrt_cong,prp_bottleneck,prp_mrt_t1,prp_mrt_t2,prp_acc_t1,prp_acc_t2,wcst_total_errors,wcst_persev_errors,wcst_conceptual_pct,participant_id
0.733578,-0.014148386,0.1258426,0.052466642,1.2843715,-0.21957295,-0.46448067,0.56595427,0.53507715,0.021477006,-0.12655424,0.3256464,GE4hogtdLdTFbNasENgtm6SO3hC3
0.82392097,0.32428133,1.0967672,0.062163446,-0.31735012,0.025961861,0.050309718,0.12763543,0.06590708,0.03155495,-0.11599903,0.27964577,ORvIk1xRWIQmKuLVe6GXNouvAXx2
0.42900243,-0.020374602,0.11910966,0.044533946,1.7055597,0.015918024,0.14376648,0.13443488,0.014578405,0.021673642,0.79214555,-1.0895003,80UJMJbCOMgs6YVpsMgXfYTzw6o2
-0.49930492,-0.035587344,0.099402115,0.019819856,0.58294755,0.3329962,-0.23632821,-0.1649699,0.11608722,0.04525492,-0.11035487,0.30868694,rUuJv5gl7dWVo7UPQWMx4bohxhK2
0.06901734,-0.01762123,0.0839207,0.04774934,0.23267265,-0.17804936,0.08582556,-1.3490546,-1.1948783,0.035339877,-0.15315856,0.2305143,xyAILKfYP2M8GqAai11x6NT7IcP2
-0.43302092,-0.030868342,-1.392492,0.07078512,-0.70758426,-0.012957329,-0.044681553,0.098215185,-0.007186719,0.0270375,-0.13077757,0.11952767,pcbRW89vVJcviD87V3uxyG4I9st2
0.47680604,-0.03629762,0.050170247,0.04193444,0.2667167,-0.28537962,-0.18952978,-1.3723495,-1.2542754,0.045316134,-0.115597814,0.29902354,8cOQBMgQEYSlJ4CK60pFMmBVEBV2
-0.7260906,-0.010348795,-0.48046148,-0.7607892,-0.019759506,0.05580466,0.11743715,0.096948065,0.06619845,0.038220003,-0.15245382,0.18984249,yatBVTBMCSMp0wJluOCLzTFKMyP2
-0.49759403,-0.010156139,-1.6510291,0.036035072,1.9303455,0.005824899,0.14548329,0.15517986,-0.0019325617,0.033923604,-0.14492579,0.2689427,u64Uf920g5VD9Byq26LT2rs5o4t1
-0.56690985,-0.025303915,0.11395019,0.03839913,0.47471827,0.050148256,0.29430085,-0.059492473,0.82142335,0.038220003,-0.1813417,0.26462084,nT1qJOiMyDdJ9ui4el195A8Hsgs1
0.060349673,0.105811656,-1.567464,0.07799359,-0.8767674,-0.0014340202,-0.110028915,0.102514796,0.022219336,0.019220212,-0.12583354,0.17996438,cUugYJoOmOSFc0Mh5JD0ZXJrYN52
-0.3155076,-0.03393979,-1.4973812,0.0037437438,-1.2220486,0.05112665,0.10222742,0.09241687,0.021194104,0.029616153,-0.19700317,0.11014851,ric6cNjG25XmZJCiKZDOxzeezao1
-0.75465965,-0.021881625,0.09237915,0.045258187,-0.33915174,0.0028099348,0.019867688,0.11109105,0.019337125,-0.09152758,0.9652166,-1.5781977,kxerHPSL3bQjD74HhiebYf3blPr1
0.39126965,-0.008120755,0.12765858,0.04945245,-0.29929635,0.03532008,0.06940708,0.13163279,0.060896788,-0.07767482,0.92207235,0.18429153,2h5FgHUEvBS1twD5DqbTIRrMm1f2
-0.40239075,0.025587307,0.13905199,0.04666421,2.0079668,0.022391811,0.15639114,0.1782336,0.02328346,0.033923604,-0.14619906,0.34093618,lpzDdvuMkKWkPxu6xeclmdctEp42
-0.8824275,-0.031407934,0.08612842,0.020577203,-1.1571103,-0.064304695,0.052141212,-0.44906685,0.044778313,0.030042242,-0.117690645,0.25974703,iv9ew8Ci8lOzvXFiJw1acJfuRAl2
-0.7831398,-0.025857754,0.0763596,0.045258187,-0.49245414,-0.14560352,-0.82062674,-1.1749251,0.024565313,0.018339872,-0.20637047,0.18604274,A9AEg0g6c2P1Bk72HLmnK3oWJ9B2
0.48041132,-0.013062316,0.1292949,0.045276146,0.5505946,0.03229975,0.057066306,0.109543845,0.06989986,0.0357616,0.8895395,0.29044998,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3
-0.0911624,-0.023199638,0.1244927,0.042792067,0.14683478,1.1011757,0.072987534,-0.10062487,0.7964835,0.03131852,-0.2055085,0.2088405,Qg9GDwQ9hBNkDLt50CNLd4NqRlX2
-0.9298413,-0.0227863,0.08572457,0.045258187,0.11036223,0.0029641981,-0.13022295,-1.0570028,-0.07553571,0.018047253,-0.14025924,0.23929352,LliUMEIsrCVZ88YFQfevan2Og4z1
-1.0326284,-0.025562502,0.11050119,0.039168097,-0.4090617,-0.28695044,0.19014634,0.1763181,-0.013980689,0.02836629,-0.1907522,0.2702587,EUhcW9kURScie1DwGPHqmNqotJB2
3.1939921,-0.023199638,0.10162875,0.04508359,0.0020992497,0.0009254976,0.22398116,-0.8968952,0.10914635,0.026946455,-0.15167032,0.15602902,aj2Ivskb3BgyvBNTLIKlSZG0Sq22
1.0107198,-0.014019627,0.09289476,0.052466642,-0.02083822,0.007356746,-0.042432018,0.13225481,0.031986702,-0.057943188,1.0973802,-0.5961272,iZScIvzhvAdvlsBXU5D8IHwvG6Q2
-0.964326,-0.0227863,0.10113635,0.04197578,0.64828205,-0.04384944,0.022052923,-0.5509541,0.0057581086,0.017963523,-0.16410427,0.25009152,wdppvL4tIkVlGjou6aYzzjlaZXB2
0.4272421,-0.015165494,0.100041695,0.049926475,-0.770845,-0.2764027,-0.12479237,0.25621578,-1.1618773,0.021093844,-0.18379323,0.21001883,jpklrtZKDdb3UbsoQ7Ho5KuR5yb2
-0.50753796,-0.02247778,0.10426052,0.04180118,0.91266984,-0.2501282,-1.20089,-0.56382203,-0.054189436,0.021162547,-0.16688569,0.14485112,K26uNuY0VNPjJNF26wEx3bFg0kr2
-0.5091581,-0.011173246,-1.6134995,0.004187993,-1.2378522,0.004627225,0.10222742,0.08998591,0.014953175,0.029616153,-0.2144821,0.110112704,pFlYc8DBmSXkvMIRgXFxvo3JB6j1
0.67339575,0.26524135,0.79961836,-0.27284172,0.60546815,0.018949773,0.08773392,0.10820426,0.07864908,0.043079056,-0.11794995,0.30325398,DPvStUYSmohmXwFwaKRqHv89R3k1
-0.21274291,-0.023494888,0.08973019,0.04508359,-0.22054142,0.011243841,0.047107957,0.112905495,0.020000748,-0.33952647,0.14245841,-2.0226855,K7ykiXe6CqQUKpEzs2nYrMTVuDA2
0.7252226,-0.013062316,0.12612875,0.04705442,0.072196275,0.014686123,0.07548195,0.16454165,0.0693645,-0.05188365,1.0013645,-0.20498171,62fAfeQc27bZelkPX7G54T3gvci2
0.01539123,-0.03393979,-1.7261467,0.010754359,-0.17292888,0.059342492,0.11042308,0.10911106,0.021036394,0.029616153,-0.17781799,0.1187392,q0Atnpm0jZS5swcVmq0EMalQUKw1
1.1394997,-0.024068957,0.10255775,0.049520537,0.7392146,0.06895544,0.31053558,-0.050135545,0.057142887,0.04310024,-0.12042791,0.31683046,kR2rCtaPyPaj7YMizKUDn5xL2qx1
0.16274922,0.028391907,0.114831656,0.04284315,0.492291,0.035298284,0.06211341,0.11071003,0.07707629,0.036154732,-0.18574665,0.31519806,dnkEqKuvjoQzAQm5yXlrAOp9ZlD3
2.6442897,-0.02247778,0.107915446,0.04508359,-0.20974478,0.0005838778,0.22709143,0.104337946,0.089666694,0.0274949,-0.1476063,0.16122313,mwsliuPsLFhRFjtjQwYkqcCRDvi2
-1.0071964,-0.025562502,0.10892588,0.03839913,-0.9377884,-0.49353352,0.16218421,-0.08953232,-0.0141040115,0.020695657,-0.23853576,0.22370364,iKVZi0Oo96UrMBhPQMHWFcf55uA3
-1.8751993,-0.02247778,0.08312416,0.042543422,1.4506744,0.59340054,-0.6028306,0.14371479,-0.31731218,0.021629857,-0.13629967,0.21460113,Lhv9P8ZrkDSIB7BGwooAqfu8SGF3
-0.86884886,-0.024840645,0.10226481,0.044708543,0.89175063,0.014170358,0.036091723,0.10163398,0.012653998,0.0151150515,-0.2141219,-2.4026897,ssPK6ISW0HerTGke9hznqJ2LpKu1
-0.16568649,-0.02247778,0.10973876,0.044708543,-0.14647348,0.012703616,0.108566076,0.12353626,0.03355366,-0.0142360935,0.19020472,-1.4185209,qsRKc69hK6e8Uu6vr2pBO8NbpMt2
-0.62400043,-0.024840645,0.14309286,0.045258187,1.5493679,0.020016925,0.083274424,0.16774635,0.023557998,0.04144031,0.19314094,1.0275658,5zxa5CMLGQSSonWOXqXf0QNS3PH3
0.041790955,-0.027204854,0.06853971,0.046651743,1.1254098,0.0031716584,-0.072143145,0.1484491,0.013658569,-0.28521055,-0.15301308,-1.6573539,h5RYP03wJuVN0xo7qAR8CKFxLaj1
-1.4075549,-0.03863239,0.07903528,0.022848513,-0.5975307,0.0124240145,-0.038181566,0.116735995,0.043444797,-0.32793388,-0.13938811,-0.18876955,CGyTPhevTbSvVnZ8qSP0NtWuhgw1
-0.3424473,-0.008229419,-0.20537487,-1.1704502,-0.56048584,0.0158721,0.06496926,0.11329796,0.06864148,0.023332788,-0.1665422,0.2363108,v8nNKiWvPdcjiHXZci39OuFTY6M2
0.7247363,-0.015978204,0.1242993,0.049520537,0.32079175,0.31842494,0.2582019,-0.15899964,0.111403055,0.03432691,-0.1543557,0.27953458,BbwUTWswjtPWhb5DvLAmh9Hdpyl2
0.5790108,-0.028221963,0.078275435,0.049520537,-0.7534763,-0.8175439,0.031059321,-0.2043017,0.086121574,0.030936133,-0.13401854,0.23405182,LSLmd8jENtONZFVkIpRDX665Bu73
-0.27900037,-0.019507501,0.113256544,0.04197578,-0.60400546,-0.9283133,0.16565084,-0.19141938,0.058494624,0.023744546,-0.21019146,0.23196949,mUZzgdWKnPb2txOkJg9FHgqX5792
-1.4328847,-0.019781621,0.08334487,0.04508359,-0.71388894,0.051091664,-0.037460748,0.11192304,0.031644393,-0.37900126,0.40711042,0.029977709,WbOfW9KmUkPQK8o5hlHJnJFdpp92
-0.035051163,-0.026118785,0.06537567,0.04705442,-0.055573083,-0.022923743,-0.059339777,0.10829284,0.044247292,-0.07622668,0.86172897,-1.5992398,1dpmVw8fpcc2IHs0s9WqdU8Yvi53
0.9485112,-0.015165494,0.12443617,0.050289508,0.03259952,-0.11544818,0.19301009,0.18837912,0.060581695,0.032642066,-0.15487391,0.28337958,4ySuGdFDDmaAr6JUXbD4UIY6BQ13
0.1260955,-0.015697053,0.08125703,0.04143713,-1.1333429,0.01433919,0.01499573,0.09447783,0.045729447,-0.23004542,0.9229681,-1.6003164,fEq0OghbLpfD1jigl1Mbz96aMbg2
0.54605526,-0.013062316,0.12593421,0.056603827,0.04242398,0.024586314,0.056148335,0.17818584,0.071925834,0.014959346,1.1396108,-0.32428592,QG6VXg7od2fHJ1SF9ZzYBqUa1FY2
0.758469,0.024570199,0.11292575,0.04113102,0.03396374,0.079847604,0.1401672,0.12577403,0.07810292,0.029616153,-0.19219445,0.16873655,cEIs6U87xfbSL5eFTXDK77MmvNf1
-0.79746723,-0.019518761,0.09277803,0.03807297,-1.2853225,0.011036241,0.083066285,0.113612466,0.04035629,-0.2588195,0.4891586,0.40084586,AsXBOflrszVNKoFqbN61bMJqS0k2
-0.020214133,-0.02247778,0.12650548,0.04508359,1.7026272,0.027828623,0.15020837,0.16618468,0.023453351,-0.0096828025,-0.10107138,0.9609341,Fz7EUjZCLuUBxLDUVtN6djaBTy42
0.7530169,-0.015978204,0.12120558,0.049520537,0.14636537,-0.7639024,-0.36641493,-0.16286789,0.047653068,0.034857992,-0.15384063,0.27117172,DzB19GqCB7fyrlEPexogWkjFzEx2
0.2491951,-0.02139171,0.12048057,0.04884573,0.53466576,0.018526066,0.1367155,0.12128505,0.036638003,-0.011392017,1.3049729,0.44099808,WKzqsLX1lNVSdbGgYTTVGtFwsrF3
-0.066120744,-0.008229419,-0.19072205,-1.1392672,0.45064825,0.014983155,0.08073872,0.10535219,0.07442481,0.035188954,-0.14069188,0.28912485,xBGZhFOeypWnqzSQClkrwV9z2vF3
0.012208694,-0.02139171,0.107801124,0.038618453,-0.30453324,0.015785776,0.13384344,0.10897088,0.036638003,-0.011392017,1.0100381,0.43114036,tPxs1KmmX0ZKjHS9Nr63xoOPCRr2
0.35356683,-0.014870245,0.122867465,0.049184237,-0.56443655,-0.24945727,0.16216265,-0.23219652,0.07214775,0.020785898,-0.19156015,0.2316217,y1EHXv8tUTa4BRS4fRio7bULYfA2
-0.13745223,-0.020423437,0.0670885,0.044533946,-1.2070953,0.061246686,-0.04557691,0.0825497,0.029218448,0.018577972,0.071136996,-1.7429999,HyQM2xKwwuVfqidmRYF6TiRk90C2
-0.30982107,-0.02247778,0.13657954,0.045258187,1.578059,0.022391811,0.09391176,0.1418642,0.021718439,0.016499553,-0.110772274,0.22765584,roaf78tUWxWSEjAUcUu8O7mrQbl1
-0.24207933,-0.02139171,0.10415576,0.037523326,-0.711928,0.016601723,0.12855056,0.10897088,0.036638003,-0.011392017,0.79491407,0.36082995,Rc706mP0TSeIoIpMYH1SpRXjOxA2
0.046323147,-0.022910545,0.104744986,0.04143713,-0.48084792,-0.0053570243,0.040897414,0.10938416,0.0657935,-0.02220158,-0.18937209,0.12762721,i1tBstVkNiVP0qro7TgGD08IGGa2
0.55808944,0.36022854,1.1324334,0.056348547,-0.5134601,0.016628468,0.0467311,0.12935431,0.0652429,0.033239715,-0.11653738,0.30707186,h12a1QYNpYbl3T0Gj1PxUz3EnEx2
