stroop_effect,stroop_accuracy,mrt_incong,mrt_cong,prp_bottleneck,prp_mrt_t1,prp_mrt_t2,prp_acc_t1,prp_acc_t2,wcst_total_errors,wcst_persev_errors,wcst_conceptual_pct,participant_id
1.313279,-0.09651011,0.21363324,-0.17965843,4.7054787,-0.23522663,0.9051021,6.5861483,-0.30690143,0.18707067,-0.7205006,0.9545346,GE4hogtdLdTFbNasENgtm6SO3hC3
2.224526,-0.17105758,1.2444748,8.147695,-0.27889487,0.12720305,-0.22809702,0.0019552466,0.051243078,0.113227725,-0.1567521,0.51074016,ORvIk1xRWIQmKuLVe6GXNouvAXx2
2.815614,-0.048385173,0.28611335,0.0077114245,4.211413,0.24445076,-0.24370047,-0.103829615,-0.039013185,-0.97939026,5.641179,2.461085,80UJMJbCOMgs6YVpsMgXfYTzw6o2
-1.5936486,-0.08687805,0.1312083,-0.47791737,3.2343903,-2.52681,1.6096945,-1.5774361,2.5925643,0.23602495,-0.28915027,0.6030134,rUuJv5gl7dWVo7UPQWMx4bohxhK2
0.086106405,-0.12558623,0.07151385,-0.39346805,1.8124942,-3.9409502,0.2437664,-2.4677372,-1.3334875,0.1009891,-0.22744483,0.57012874,xyAILKfYP2M8GqAai11x6NT7IcP2
0.074637204,-0.027773947,-5.7114267,-0.44568285,-1.4006882,0.1204161,-0.23922911,-0.10125214,-0.04545927,0.14825004,-0.6880765,0.6567634,pcbRW89vVJcviD87V3uxyG4I9st2
0.86356735,-0.08094048,0.03689276,-0.49156934,2.1861944,-0.57728827,0.48950854,-1.3588486,-0.99359214,0.19539544,-0.2946966,0.6120335,8cOQBMgQEYSlJ4CK60pFMmBVEBV2
-2.925262,0.75398564,-1.4960423,-5.9398427,4.9000306,0.18999475,-0.18435046,0.011019778,-0.012088748,0.2961854,-0.73190147,0.46021894,yatBVTBMCSMp0wJluOCLzTFKMyP2
-0.35679516,0.47142276,-7.109357,0.23459588,1.3117359,0.23840475,-0.19647604,0.049620375,0.067946866,0.22714944,-0.74586993,0.7058328,u64Uf920g5VD9Byq26LT2rs5o4t1
1.3300894,-0.050904334,0.12538436,-0.10386628,10.607977,2.9200962,-0.22774345,0.4052057,-0.18597455,0.26278505,-0.7153218,0.57373005,nT1qJOiMyDdJ9ui4el195A8Hsgs1
2.1436596,-0.013636082,-3.4788344,-0.42040256,0.78895885,0.22679159,-0.19976042,-0.14377692,-0.0541568,0.08430846,-0.2811256,0.8174738,cUugYJoOmOSFc0Mh5JD0ZXJrYN52
-1.5639372,0.021840181,0.38403195,0.8662746,0.36335635,0.067393236,-0.20945577,0.015765034,0.086984724,0.17656256,-0.74048865,0.0571362,ric6cNjG25XmZJCiKZDOxzeezao1
0.10151675,-0.079152,0.124473885,-0.19887617,-1.0150926,0.22148776,-0.23407334,0.005571857,0.042195354,7.335556,1.4463311,-7.1073327,kxerHPSL3bQjD74HhiebYf3blPr1
1.7451326,-0.079152,0.26631695,-0.19061214,-0.8918826,0.24934521,-0.22733735,-0.0012225657,0.0468038,13.897061,5.1334515,-1.0172364,2h5FgHUEvBS1twD5DqbTIRrMm1f2
-0.08036229,1.1701305,0.44768247,5.487005,3.4456217,0.2786015,-0.20359403,0.03359483,0.07497069,0.2317837,-0.74586993,0.69608057,lpzDdvuMkKWkPxu6xeclmdctEp42
-1.2853703,-0.11461176,0.17133255,-0.25602636,-8.91188,0.16533051,-0.427558,-5.207312,-0.27082372,-0.20675789,-1.1088488,-0.061205886,iv9ew8Ci8lOzvXFiJw1acJfuRAl2
0.29723826,-0.08102876,0.11017354,-0.18859263,-1.0666171,0.21683039,-0.22851853,-2.8138053,-0.026655292,0.11453685,-0.75808054,0.37272057,A9AEg0g6c2P1Bk72HLmnK3oWJ9B2
1.3624756,-0.071250185,0.09370069,-0.34289902,3.8844638,0.09128688,-0.23325095,0.1008861,0.047351837,1.7186048,3.095437,0.8985037,7cvQFrzIDEVAkFCcGAHZPUvJ2MF3
2.3517766,-0.032739058,0.18616931,-0.19200316,0.9908363,11.236363,5.364085,0.040788017,-0.08042005,0.21506232,-0.74006706,0.58582234,Qg9GDwQ9hBNkDLt50CNLd4NqRlX2
-0.061356843,-0.082367696,0.22168331,-0.10345663,-5.488195,-0.4076859,-0.85467756,-3.4234333,0.28806496,-0.21651912,-1.2204629,0.000861811,LliUMEIsrCVZ88YFQfevan2Og4z1
0.3021666,-0.07578091,0.14275502,-0.35098973,-1.0511556,-4.167808,-0.41020763,2.6700428,-0.027502233,0.19573955,-0.72034246,0.6333101,EUhcW9kURScie1DwGPHqmNqotJB2
7.7228913,-0.075181745,0.1428596,-0.19398986,-0.22718677,0.13187203,0.19542402,1.1358767,0.8606132,0.13459873,-0.7366615,0.25298268,aj2Ivskb3BgyvBNTLIKlSZG0Sq22
0.80418766,-0.09644065,0.13909075,-0.35173252,8.708262,0.31146902,-0.22137631,-0.15670554,-0.052628163,4.688758,3.019114,-5.6069975,iZScIvzhvAdvlsBXU5D8IHwvG6Q2
0.50126594,-0.05174766,0.2747092,-0.110243864,3.159949,-0.49699923,0.9233576,-2.3895822,1.5831805,0.253705,-0.7392421,0.8342936,wdppvL4tIkVlGjou6aYzzjlaZXB2
1.0927886,-0.12379578,0.16027716,-0.25816616,-1.7085552,-0.28786552,0.25080976,4.2002597,-1.1295112,0.057428863,-0.68203723,0.50275075,jpklrtZKDdb3UbsoQ7Ho5KuR5yb2
0.44355094,-0.04992369,0.26698357,-0.061296172,3.405778,-1.4702408,-0.2851855,-0.5639548,0.0012199744,0.26290175,-0.74738276,0.7705672,K26uNuY0VNPjJNF26wEx3bFg0kr2
-2.2038643,0.56927484,-4.6664886,-1.1940005,-2.9656115,0.13274579,-0.20370962,0.047578327,0.09423589,0.13867845,-0.7410874,0.057973213,pFlYc8DBmSXkvMIRgXFxvo3JB6j1
0.6239572,-1.5791671,-0.3877854,7.4493427,3.2634573,0.14722462,-0.23025298,0.08635511,0.048711028,0.19319549,-0.2063427,0.62186265,DPvStUYSmohmXwFwaKRqHv89R3k1
1.5668137,-0.07672918,0.35154116,-0.12112544,-1.2149484,0.20239979,-0.27410772,0.04382392,0.050418623,3.8889933,2.9599557,-9.534639,K7ykiXe6CqQUKpEzs2nYrMTVuDA2
0.12669712,-0.09706731,0.08525072,-0.40451667,-0.4593324,0.1862729,-0.22337726,-0.044001795,0.06081871,-2.193363,3.9168239,5.494744,62fAfeQc27bZelkPX7G54T3gvci2
-2.4745815,0.002606308,-9.626227,3.1626298,-3.1791992,0.13913116,-0.20420429,0.05225143,0.086510636,0.18482703,-0.76340187,0.26317298,q0Atnpm0jZS5swcVmq0EMalQUKw1
1.6358917,-0.10440687,0.05246558,-0.62226707,-0.011502355,8.732526,-0.34914982,0.09489789,0.04884186,0.21711212,-0.17997462,0.637862,kR2rCtaPyPaj7YMizKUDn5xL2qx1
0.51751775,1.4119941,0.86770254,7.2129645,4.066503,0.103721134,-0.20952213,0.10049627,0.054746926,0.24238016,-0.7080295,0.6305662,dnkEqKuvjoQzAQm5yXlrAOp9ZlD3
5.3501353,-0.07307329,0.34830025,-0.17164974,-0.79300106,1.1074915,0.045023315,-0.077478275,0.9425042,0.1429859,-0.76086074,0.2543441,mwsliuPsLFhRFjtjQwYkqcCRDvi2
0.40743017,-0.06814485,0.13420172,-0.35272154,-1.906076,-2.100388,-0.676441,-0.6126932,0.1474352,0.10958752,-0.70560366,0.44032297,iKVZi0Oo96UrMBhPQMHWFcf55uA3
-3.7058558,-0.043866646,0.25046957,-0.18173742,2.0850332,-5.405283,-0.2052995,0.28988668,-0.18749504,0.20048535,-0.69703287,0.68137234,Lhv9P8ZrkDSIB7BGwooAqfu8SGF3
0.40295586,-0.05588939,0.18263714,-0.18489116,2.6694674,0.2599159,-0.23786964,-0.119078875,-0.04845466,0.23709622,-0.8177197,-2.9597821,ssPK6ISW0HerTGke9hznqJ2LpKu1
1.1163614,-0.076094985,0.32239735,-0.15847874,0.472463,0.168074,-0.2796552,0.029295627,0.059442017,-4.203003,3.0489073,-1.8518025,qsRKc69hK6e8Uu6vr2pBO8NbpMt2
1.1232094,-0.05297004,0.28042138,-0.10246156,3.7040756,0.2670004,-0.2176538,-0.116374835,-0.04963022,0.41340992,2.7911835,2.5922034,5zxa5CMLGQSSonWOXqXf0QNS3PH3
-0.5915458,-0.09039303,0.12789306,-0.27970326,2.1073594,0.18336888,-0.22447686,-0.119865045,-0.05176456,1.7960565,0.29607823,-12.140106,h5RYP03wJuVN0xo7qAR8CKFxLaj1
-1.069825,-0.11017686,0.13729341,-0.51530015,-1.2901471,0.16903183,-0.23190933,-0.0060312185,0.042301174,-2.3417678,0.55842185,-5.539366,CGyTPhevTbSvVnZ8qSP0NtWuhgw1
-0.13344336,0.85568583,-0.80684,-7.435902,-2.460084,0.23174298,-0.2094056,0.0019552466,0.049594764,0.044814084,-0.1897945,0.46246192,v8nNKiWvPdcjiHXZci39OuFTY6M2
0.7967958,-0.11343349,0.07934727,-0.38828048,3.5184526,-2.4704049,0.17091307,-0.057911094,3.5145972,0.18425745,-0.7060925,0.6111085,BbwUTWswjtPWhb5DvLAmh9Hdpyl2
-0.8502484,-0.10573826,0.09575285,-0.6002074,-4.433092,-5.8187613,-0.81121206,-5.6673903,-0.83672285,0.0031254566,-0.19816165,0.2515627,LSLmd8jENtONZFVkIpRDX665Bu73
0.29816362,-0.083137214,0.262424,-0.15729964,-0.7137735,-4.905448,-0.77306235,-0.54928696,-0.3203169,0.11962129,-0.7455585,0.430514,mUZzgdWKnPb2txOkJg9FHgqX5792
-4.7012258,-0.07657762,0.22673877,-0.05775861,-9.295214,-0.37702355,-0.22785221,-0.03741883,-0.0056320503,-2.8889608,0.1537892,-0.25316402,WbOfW9KmUkPQK8o5hlHJnJFdpp92
-3.208673,-0.11903303,0.07766336,-0.6336074,0.16878353,0.089362554,-0.25023034,-0.016393293,-0.056543577,-2.4626062,1.654429,-3.259566,1dpmVw8fpcc2IHs0s9WqdU8Yvi53
0.92512745,-0.11839381,0.07957898,-0.41951105,1.3040894,-0.08767317,-0.39155787,1.2464198,0.9151277,0.20951606,-0.69768524,0.6111085,4ySuGdFDDmaAr6JUXbD4UIY6BQ13
0.29937014,-0.07065148,0.11839971,-0.37774426,-2.5168226,0.20970513,-0.23902914,0.032861415,0.041680507,-0.67001927,0.54531866,-7.053878,fEq0OghbLpfD1jigl1Mbz96aMbg2
1.4187038,-0.11942573,0.12566184,-0.39626542,0.11679401,0.17444696,-0.22682872,0.053695533,0.04553521,-1.0452751,4.654274,0.44581014,QG6VXg7od2fHJ1SF9ZzYBqUa1FY2
2.6505566,1.414338,0.4070304,10.946996,1.2620773,0.13607486,-0.2086439,0.0568092,0.102221474,0.24677299,-0.7369979,0.31743804,cEIs6U87xfbSL5eFTXDK77MmvNf1
0.17864399,-0.06671906,0.13801676,-0.31127286,-0.10494525,0.23452911,-0.27305967,0.07627217,0.053874075,-1.1527773,0.641015,0.879778,AsXBOflrszVNKoFqbN61bMJqS0k2
0.3324626,-0.049037624,0.26951894,-0.060402952,3.2036781,0.26254943,-0.25712243,-0.07968623,-0.041115317,0.22091551,0.8828738,1.8541144,Fz7EUjZCLuUBxLDUVtN6djaBTy42
-0.7471286,-0.1382451,0.07934727,-0.5555574,-1.6687232,-7.1816883,-0.3804182,-0.35782695,-0.4463006,0.1862941,-0.69768524,0.5952413,DzB19GqCB7fyrlEPexogWkjFzEx2
0.7591042,-0.076217175,0.14961363,-0.16995828,2.2522001,0.17242412,-0.26326138,0.05651228,0.07051149,-2.8797503,4.512304,4.191797,WKzqsLX1lNVSdbGgYTTVGtFwsrF3
0.8581711,0.84542847,-0.8931952,-3.7436538,4.456579,0.15399857,-0.21384823,0.08635511,0.05191857,0.19152737,-0.19898202,0.6123051,xBGZhFOeypWnqzSQClkrwV9z2vF3
1.6337254,-0.05656454,0.1621254,-0.16845345,3.4676864,0.275436,-0.20363878,0.06738251,0.0711242,2.100921,5.035421,5.85087,tPxs1KmmX0ZKjHS9Nr63xoOPCRr2
0.37982705,-0.12395646,0.116418436,-0.403829,-0.45726642,-3.3269014,-0.23607925,-0.7323663,-0.13754174,0.058520045,-0.67945564,0.46672586,y1EHXv8tUTa4BRS4fRio7bULYfA2
-1.2421585,-0.079948224,0.22597726,-0.33167595,-9.386636,-0.39242032,-0.2503028,-0.08023911,-0.004808883,-4.5541406,0.9004831,-3.8323832,HyQM2xKwwuVfqidmRYF6TiRk90C2
0.4219084,-0.03389624,0.27372515,-0.05849177,4.3345413,0.27961165,-0.22072908,-0.07968623,-0.041115317,2.9898963,1.354852,1.3185985,roaf78tUWxWSEjAUcUu8O7mrQbl1
-2.6700459,-0.054215297,0.10628638,-0.31832984,-0.50667423,0.14645752,-0.19871767,0.022639558,0.10598334,-0.59773463,3.7943141,5.029091,Rc706mP0TSeIoIpMYH1SpRXjOxA2
-0.7724683,-0.071250185,0.08739045,-0.42680418,-3.0870628,-0.03199636,-0.24991702,0.002573898,-0.06440058,-3.7488453,-0.96304095,0.16641702,i1tBstVkNiVP0qro7TgGD08IGGa2
3.4167836,0.32618976,2.6471174,7.5496535,0.49113002,0.1973299,-0.21363346,0.0019313247,0.047046896,0.11189679,-0.31906953,0.46819946,h12a1QYNpYbl3T0Gj1PxUz3EnEx2
-0.2600382,-0.058617897,0.090104505,-0.37723008,-3.5917277,0.11704907,-0.23882428,-0.044001795,0.053032745,-4.814372,4.7269,1.1858045,2zDXvJKvjeejeOSNbtDbtSI5cdz1
-2.1092246,-0.19687998,-1.9431628,0.05313823,-2.261519,0.18261999,-0.22515105,0.0019313247,0.046254586,0.11189679,-0.3254241,0.46424815,P9bS6GGJcIXivbMWo4ibJ5jgUPG2
-0.16067308,-0.00024608988,-6.775966,-1.0214224,-3.730019,0.15335965,-0.2127213,0.020580152,0.039256778,0.11256604,-0.7345995,0.4184263,iWsc4pghIEWOQUZKuQJMfe516UI3
0.13784757,-0.07249629,0.09836869,-0.31101874,2.9151964,0.19821803,-0.20177238,0.029444452,-0.057450857,2.8057523,0.5751149,-10.569082,lHDkoPQu5reNCO45npeYSS9eLQl1
-4.7496424,-0.07307329,0.33403125,-0.23856087,-1.6348004,-0.37095124,-0.53409404,0.036543775,0.09378301,0.14636599,-0.76340187,0.26294822,WcTsIpSoEhYeIBSNjAbbdaNSBya2
2.6099377,-0.07416976,0.11928062,-0.20649932,-0.6366751,-0.106650844,0.37474993,6.310658,1.5895346,0.18164103,-0.7038093,0.46058816,mg2WZiRBn4NQDKiMK43Y8dBqyG53
-0.3306016,-0.068228655,0.13339256,-0.30358535,-2.3370473,0.15821795,-0.27320036,0.059702165,0.049527667,-3.527106,-0.17369862,-5.47421,AUKCfn4HzgVB7m6LNnh2gQb7G5s2
0.6771239,-0.036483288,0.10672705,-0.33594877,2.3092155,0.097436465,-0.23983912,0.13454445,0.05473777,-1.8199763,0.18601589,1.3388641,CtJe4bZZnYUBNrcPk00d3YQFSGp2
