participant_id,stroop_slow_prob_baseline,stroop_slow_prob_post_error,stroop_slow_prob_post_error_delta,stroop_slow_prob_stable,stroop_slow_prob_stable_delta
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.3699458967638567,0.5499698425173761,0.18002394575351943,0.34720831032702526,-0.022737586436831436
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.14747422925425374,0.14329471587934461,-0.004179513374909127,0.11706181471835889,-0.030412414535894855
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.454244729578078,0.46530431663589034,0.011059587057812348,0.4333075511542466,-0.020937178423831415
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.12878134741810862,0.3065055178119559,0.17772417039384727,0.10943397075769506,-0.019347376660413557
146QT9LupyU2BAiTsB3PMIpVXM22,0.03516867062859259,0.025785364548813184,-0.009383306079779403,0.028002739000526505,-0.007165931628066082
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.31006270131470093,0.9434998942411673,0.6334371929264664,0.2761578881106892,-0.03390481320401173
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.19202825080261612,0.13952929146480958,-0.052498959337806544,0.19547977659357127,0.0034515257909551456
1fbLQPCcysVlSKup96K4yI5NX6G3,0.02878881468150584,1.1659453821389736e-10,-0.0287888145649113,0.011364660643378762,-0.01742415403812708
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.08825941224730881,0.05329356871232235,-0.034965843534986454,0.09935997047899021,0.011100558231681407
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.24942181383518666,0.09874843990592806,-0.1506733739292586,0.2358789136207536,-0.013542900214433051
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.23868543144672974,,,0.22823824080816107,-0.010447190638568665
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.11108053081248247,,,0.1042759126821421,-0.006804618130340362
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.1445136362745786,0.1043065790265616,-0.040207057248017014,0.15667979795928005,0.012166161684701443
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.29577422442307466,0.9999999968274551,0.7042257724043804,0.24498934341909365,-0.050784881003981014
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.7659058928653961,,,0.773669533474352,0.007763640608955846
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.0990577637214257,,,0.08568952358287643,-0.013368240138549273
3WijiOiVCoMbn80F05SPYsxl0TC2,0.14806462064783846,,,0.14336041925476944,-0.004704201393069013
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.13902843669018508,0.39197782605333453,0.2529493893631495,0.10508321666746594,-0.033945220022719144
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.07879058693680634,0.020191703373358565,-0.05859888356344777,0.07074932310658509,-0.008041263830221246
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.12880947491547307,,,0.1235574514681334,-0.00525202344733966
50R0P1MIMvRvK1qpqfGROchII6R2,0.10247731348160875,0.9858416162985225,0.8833643028169138,0.0707731761136118,-0.03170413736799696
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.7320833849647838,0.9999999629129668,0.267916577948183,0.7194691770282284,-0.012614207936555322
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.07860766807394429,0.5397581667090336,0.4611504986350894,0.04035138932531002,-0.03825627874863426
5rXSa3anB5ejmFrnwUsTB82byup1,0.3836230411349685,,,0.35996029494774234,-0.023662746187226136
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.22332775167970983,0.2978560585388629,0.07452830685915304,0.22401164062992351,0.0006838889502136791
62fAfeQc27bZelkPX7G54T3gvci2,0.26612511911139236,0.999991594039303,0.7338664749279107,0.2346010639730275,-0.03152405513836487
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.09212068884655358,,,0.0766691036211787,-0.01545158522537489
6OwhwWQDThSPHTVAeXugohrYuje2,0.15353073973245135,0.10897732504044648,-0.04455341469200487,0.14612802282871232,-0.007402716903739032
6WFCyGwk71XLPBmbe4Vav3eotVm1,0.0737357241250573,,,0.06695631868335185,-0.006779405441705452
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.09285836683237969,,,0.08249283405728902,-0.010365532775090669
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.009259259259259259,,,0.0,-0.009259259259259259
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0.37193756961567565,,,0.37097616941422595,-0.0009614002014496914
8bwaafIhKVMNBoHaXFcY8HirS9u2,0.27750168690946464,0.5751870579739256,0.2976853710644609,0.21853048050235252,-0.05897120640711212
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.2350172108301135,0.003257821640486903,-0.2317593891896266,0.2141868454219359,-0.02083036540817762
9NTZ091xWyOO8DgzyTGY0O3i8IR2,0.009259259259259259,0.0,-0.009259259259259259,0.010638297872340425,0.0013790386130811665
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.10849364898944822,0.6669271038996308,0.5584334549101826,0.049412675514599325,-0.05908097347484889
9l7DjYLs0XdgwykPZR5E01KTZfu2,0.27227270317372465,0.370981828659184,0.09870912548545935,0.26388830582862466,-0.008384397345099992
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.1475681747164481,,,0.12429996414116204,-0.023268210575286052
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.8191287348347871,0.9970758719158487,0.17794713708106158,0.8119875105521736,-0.007141224282613545
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.13336808551576584,0.013993107554801572,-0.11937497796096427,0.1261619891839131,-0.007206096331852735
AsXBOflrszVNKoFqbN61bMJqS0k2,0.09342277759132417,0.6645903028797477,0.5711675252884236,0.06357778152626353,-0.029844996065060636
