,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT
UCLA,0.0,3.2336847135335967e-28,1.2288847621940506e-14,3.739492366876818e-18,0.8465784181425675,0.10220741076650686,0.000203893461078878,0.03464964133300572,0.18186900089619276,0.12709705256105044
DASS-Dep,3.2336847135335967e-28,0.0,9.3730041555441e-28,1.1201396136334373e-28,0.6518882729280548,0.03309271095376635,0.1993487864658066,0.7819652937094999,0.3103875642160963,0.5595462961876903
DASS-Anx,1.2288847621940506e-14,9.3730041555441e-28,0.0,7.905221161436262e-40,0.8596641993941379,0.058992643538187506,0.04722158288011837,0.6322970420555031,0.9039576262533099,0.6048973107299946
DASS-Str,3.739492366876818e-18,1.1201396136334373e-28,7.905221161436262e-40,0.0,0.8229120858847525,0.04836848213731137,0.05203642943357958,0.6925875216830674,0.5667474759090202,0.9880039792405431
Stroop Interference RT,0.8465784181425675,0.6518882729280548,0.8596641993941379,0.8229120858847525,0.0,0.33582851146831993,0.3454589250418356,0.01819708402994158,0.049679008044557334,0.20596473117088004
WCST PE Rate,0.10220741076650686,0.03309271095376635,0.058992643538187506,0.04836848213731137,0.33582851146831993,0.0,0.909540990312943,0.021159434028452988,0.06660584522452109,1.1739415515658834e-06
Stroop Interference RT Slope,0.000203893461078878,0.1993487864658066,0.04722158288011837,0.05203642943357958,0.3454589250418356,0.909540990312943,0.0,0.40058042759980883,0.6625483758634869,0.48485822373606957
WCST Confirmation RT,0.03464964133300572,0.7819652937094999,0.6322970420555031,0.6925875216830674,0.01819708402994158,0.021159434028452988,0.40058042759980883,0.0,3.48467846349278e-27,2.659643956812966e-33
WCST Exploitation RT,0.18186900089619276,0.3103875642160963,0.9039576262533099,0.5667474759090202,0.049679008044557334,0.06660584522452109,0.6625483758634869,3.48467846349278e-27,0.0,0.2773925990726569
WCST Confirm - Exploit RT,0.12709705256105044,0.5595462961876903,0.6048973107299946,0.9880039792405431,0.20596473117088004,1.1739415515658834e-06,0.48485822373606957,2.659643956812966e-33,0.2773925990726569,0.0
