Variable,Column,Male_N,Male_Mean,Male_SD,Female_N,Female_Mean,Female_SD,t,p,Cohen_d,Significant
Age (years),age,82,21.109756097560975,2.119900402744184,130,19.923076923076923,3.9011335752998186,2.862397596900175,0.004638486046363905,0.3564692769082994,True
UCLA Loneliness,ucla_score,82,38.073170731707314,11.674368344458545,130,42.246153846153845,10.474081365029784,-2.6360758709494596,0.009220978507004289,-0.38100236749245014,True
DASS-21 Depression,dass_depression,82,6.146341463414634,7.973911088970254,130,8.569230769230769,7.875916052578454,-2.1648825041558784,0.03178482756362292,-0.30615779785892583,True
DASS-21 Anxiety,dass_anxiety,82,4.804878048780488,6.276428614887912,130,6.123076923076923,5.644528646171248,-1.547621502279363,0.12370431739242438,-0.22356412876711837,False
DASS-21 Stress,dass_stress,82,9.073170731707316,8.30406785309239,130,10.753846153846155,7.179926300567036,-1.5108182529667307,0.1328851170698916,-0.22018076147341017,False
Stroop Interference RT,stroop_interference,82,130.4919923810275,97.37570091648867,130,145.12679152839766,108.36907203513225,-1.0197244989200132,0.3091851138950021,-0.14035998288579524,False
Stroop Interference RT Slope,stroop_interference_slope,82,6.511402647059403,62.52492952908538,130,-5.502178026581435,63.97229423158056,1.3503040847832504,0.17865923170910514,0.18943505517818862,False
WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,82,10.383587695737766,6.556746538046615,130,10.892144600764553,5.809545091831675,-0.5743926638968259,0.5665245983656304,-0.08325276469763969,False
WCST Exploration RT (ms),wcst_exploration_rt,80,1823.7260038314805,794.9510732776258,128,2115.3485363209857,1009.9889051628136,-2.3149971101642675,0.021652762874343243,-0.31243112990282906,True
WCST Confirmation RT (ms),wcst_confirmation_rt,82,1841.3246747034293,501.14966473829867,130,2001.8551486912581,596.2829798343728,-2.1082604541767815,0.036296180404840055,-0.2858950236423551,True
WCST Exploitation RT (ms),wcst_exploitation_rt,82,1263.0758460513498,306.0136035219803,130,1459.4284622060209,436.0364570269152,-3.8474447295106446,0.00015882390701575658,-0.5021284816925484,True
