Variable,Column,N,r,CI_Lower,CI_Upper,p,Significant
DASS-Dep,dass_depression,212,0.6630124738444944,0.5800871174435749,0.7323356595206019,3.2336847135335967e-28,True
DASS-Anx,dass_anxiety,212,0.49718566679008425,0.3884596677285183,0.5922579017236556,1.2288847621940506e-14,True
DASS-Str,dass_stress,212,0.5499267615364971,0.4484035691279009,0.6374415906093537,3.739492366876818e-18,True
Stroop Interference RT,stroop_interference,212,0.013367105175904163,-0.1216033603167195,0.1478522174399819,0.8465784181425675,False
WCST PE Rate,wcst_perseverative_error_rate,212,-0.11254892347916196,-0.2436057958086099,0.022544417121346434,0.10220741076650686,False
Stroop Interference RT Slope,stroop_interference_slope,212,0.2524371607862727,0.12182993132264137,0.3744511588299703,0.000203893461078878,True
WCST Confirmation RT,wcst_confirmation_rt,212,0.16128665555357546,0.02712474503251365,0.28974096820252687,0.01877892134735143,True
WCST Exploitation RT,wcst_exploitation_rt,212,0.09875980348124992,-0.036477063254312964,0.2304444718468416,0.1518669051982086,False
WCST Confirm - Exploit RT,wcst_confirmation_minus_exploitation_rt,212,0.1217413951922564,-0.01322702087510966,0.252353016693918,0.07694628584715815,False
WCST Confirmation RT (all trials),wcst_confirmation_rt_all,212,0.1451710895816396,0.010627556896414257,0.2745517343970427,0.03464964133300572,True
WCST Exploitation RT (all trials),wcst_exploitation_rt_all,212,0.09203914067288982,-0.04324867603330256,0.22401227858232822,0.18186900089619276,False
WCST Confirm - Exploit RT (all trials),wcst_confirmation_minus_exploitation_rt_all,212,0.1051130503116455,-0.030064212290602178,0.23651445698884455,0.12709705256105044,False
