segment,cond,count,total_segment,proportion
1,congruent,1218,3546,0.34348561759729274
1,incongruent,1156,3546,0.3260011280315849
1,neutral,1172,3546,0.3305132543711224
2,congruent,1135,3546,0.3200789622109419
2,incongruent,1234,3546,0.34799774393683025
2,neutral,1177,3546,0.33192329385222785
3,congruent,1162,3546,0.32769317540891146
3,incongruent,1148,3546,0.32374506486181615
3,neutral,1236,3546,0.34856175972927245
4,congruent,1172,3546,0.3305132543711224
4,incongruent,1193,3546,0.33643542019176537
4,neutral,1181,3546,0.33305132543711224
5,congruent,1220,3546,0.34404963338973493
5,incongruent,1158,3546,0.32656514382402707
5,neutral,1168,3546,0.329385222786238
6,congruent,1185,3546,0.33417935702199664
6,incongruent,1203,3546,0.3392554991539763
6,neutral,1158,3546,0.32656514382402707
