segment,cond,count,total_segment,proportion
1,congruent,1930,5724,0.33717679944095036
1,incongruent,1901,5724,0.33211041229909155
1,neutral,1893,5724,0.3307127882599581
2,congruent,1851,5724,0.32337526205450734
2,incongruent,1914,5724,0.33438155136268344
2,neutral,1959,5724,0.3422431865828092
3,congruent,1914,5724,0.33438155136268344
3,incongruent,1914,5724,0.33438155136268344
3,neutral,1896,5724,0.3312368972746331
4,congruent,1937,5724,0.3383997204751922
4,incongruent,1903,5724,0.3324598183088749
4,neutral,1884,5724,0.32914046121593293
