threshold,stage,n,B,SE_B,beta,F,p,delta_r2
2,Exploration RT,208,107.39108373955725,88.77165823064503,0.11401069042423136,1.4634833480512834,0.2277975653665747,0.006961071020487264
2,Confirmation RT,212,151.35465592443074,63.93671492141342,0.22154110311026293,5.60390718280621,0.018851457745299526,0.02603805120934133
2,Exploitation RT,212,49.80651730083473,38.509249386301384,0.12027194350201705,1.6727931554404105,0.19734032771446738,0.007674118602683966
2,Confirm-Exploit,212,101.54813862359607,48.7497752927874,0.19707128662895174,4.339090397423417,0.03848707253909809,0.020603763353150395
3,Exploration RT,208,107.39108373955725,88.77165823064503,0.11401069042423136,1.4634833480512834,0.2277975653665747,0.006961071020487264
3,Confirmation RT,212,136.89809501732037,52.729774815531066,0.24203007458994555,6.740358194431673,0.010107758540406554,0.031076959255821435
3,Exploitation RT,212,33.69786653235653,36.9949421376118,0.08388477282422903,0.8296981216416989,0.36342963699620745,0.0037330698361751624
3,Confirm-Exploit,212,103.20022848496379,40.38099243587166,0.2403191301970197,6.5314159281220245,0.011323009649545131,0.030639137527711413
4,Exploration RT,208,107.39108373955725,88.77165823064503,0.11401069042423136,1.4634833480512834,0.2277975653665747,0.006961071020487264
4,Confirmation RT,212,119.28573075062974,46.86852364028561,0.23659295208115663,6.477604738044476,0.011659822465252375,0.029696376144053738
4,Exploitation RT,212,18.805421547636925,32.894997180054126,0.05266379230960512,0.32681835467639725,0.568164872620611,0.0014713774905392718
4,Confirm-Exploit,212,100.48030920299293,34.45579246372769,0.27228016744578104,8.504277829311167,0.003937570279915215,0.03933071731255611
