,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,Stroop Interference RT Slope,WCST PE Rate,WCST Confirmation RT (all trials),WCST Exploitation RT (all trials),WCST Confirm - Exploit RT (all trials)
UCLA,,,,,,,,,,
DASS-Dep,0.663***,,,,,,,,,
DASS-Anx,0.497***,0.659***,,,,,,,,
DASS-Str,0.550***,0.667***,0.752***,,,,,,,
Stroop Interference RT,0.013,-0.031,0.012,0.015,,,,,,
Stroop Interference RT Slope,0.252***,0.088,0.136*,0.134,0.065,,,,,
WCST PE Rate,-0.113,-0.146*,-0.130,-0.136*,0.066,0.008,,,,
WCST Confirmation RT (all trials),0.145*,0.019,-0.033,-0.027,0.162*,0.058,-0.158*,,,
WCST Exploitation RT (all trials),0.092,0.070,-0.008,-0.040,0.135*,0.030,0.126,0.653***,,
WCST Confirm - Exploit RT (all trials),0.105,-0.040,-0.036,0.001,0.087,0.048,-0.327***,0.706***,-0.075,
