participant_id,wcst_pre_switch_n_switches_correct,wcst_pre_switch_rt_mean_w1_correct,wcst_pre_switch_rt_delta_w1_correct,wcst_pre_switch_n_valid_w1_correct,wcst_pre_switch_n_valid_delta_w1_correct,wcst_pre_switch_rt_mean_w2_correct,wcst_pre_switch_rt_delta_w2_correct,wcst_pre_switch_n_valid_w2_correct,wcst_pre_switch_n_valid_delta_w2_correct,wcst_pre_switch_rt_mean_w3_correct,wcst_pre_switch_rt_delta_w3_correct,wcst_pre_switch_n_valid_w3_correct,wcst_pre_switch_n_valid_delta_w3_correct,wcst_pre_switch_rt_mean_w4_correct,wcst_pre_switch_rt_delta_w4_correct,wcst_pre_switch_n_valid_w4_correct,wcst_pre_switch_n_valid_delta_w4_correct,wcst_pre_switch_rt_mean_w5_correct,wcst_pre_switch_rt_delta_w5_correct,wcst_pre_switch_n_valid_w5_correct,wcst_pre_switch_n_valid_delta_w5_correct
06qcrpGKL6Vc3LVplFQC90VAcRm1,5.0,872.419999998808,-211.94955555485367,5.0,5.0,840.4999999985099,-276.288888888475,5.0,5.0,885.4199999968212,-250.7260714304412,5.0,5.0,844.5949999973178,-355.87404762045264,5.0,5.0,877.3399999964237,-355.31600000341734,5.0,5.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5.0,1236.7600000001025,13.833646464756566,5.0,5.0,1074.3200000000884,-184.40364141403626,5.0,5.0,1057.926666666707,-232.57345238090028,5.0,5.0,1112.3250000000348,-180.88801587296413,5.0,5.0,1084.3600000000279,-272.0997142856676,5.0,5.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,5.0,1161.339999961853,-670.175555589464,5.0,5.0,1228.75,-669.6849999904632,5.0,5.0,1264.606666692098,-714.1304761432466,5.0,5.0,1284.410000038147,-800.1466665903729,5.0,5.0,1299.916000061035,-929.163999862671,5.0,5.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,5.0,798.7599999964237,-111.95111111498541,5.0,5.0,783.4199999958277,-143.56666667175787,5.0,5.0,774.8266666650771,-173.87190476405834,5.0,5.0,778.6199999988079,-193.9200000017881,5.0,5.0,808.2519999998808,-171.41733333339295,5.0,5.0
146QT9LupyU2BAiTsB3PMIpVXM22,5.0,983.0199999958277,-141.59163636788278,5.0,5.0,938.7999999970198,-212.05716666989855,5.0,5.0,924.4799999982118,-261.1391269860819,5.0,5.0,957.4599999986589,-249.85000000154332,5.0,5.0,956.7759999996424,-297.8023809523951,5.0,5.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,5.0,1331.219999998808,-592.893333334393,5.0,5.0,1311.3399999946355,-691.8550000064075,5.0,5.0,1378.0666666626928,-695.367619052955,5.0,5.0,1445.729999999702,-698.4900000000995,5.0,5.0,1500.227999999523,-729.1920000004769,5.0,5.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5.0,1717.5400000095367,3.5892929322791813,5.0,5.0,1623.1100000143051,-114.91299999058249,5.0,5.0,1640.666666682561,-102.98698411441983,5.0,5.0,1636.2600000143052,-120.28499998748302,5.0,5.0,1608.0560000085832,-188.09199999536781,5.0,5.0
1fbLQPCcysVlSKup96K4yI5NX6G3,5.0,962.1800000190735,-451.15579796061377,5.0,5.0,1067.3200000286101,-373.72506345952314,5.0,5.0,1165.5200000286102,-283.3160866535408,5.0,5.0,1162.2350000143051,-333.14809521791483,5.0,5.0,1112.3240000104906,-473.0699134034097,5.0,5.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,5.0,1316.4200000286103,-267.06255551868014,5.0,5.0,1444.2300000071525,-138.33217170223443,5.0,5.0,1394.1333333412806,-228.67545236334917,5.0,5.0,1352.8199999988078,-328.52603174097953,5.0,5.0,1389.5399999904635,-326.15983334322766,5.0,5.0
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,3.0,1605.3999999960263,-109.6033696860399,3.0,3.0,1621.2833333313465,-97.47738095301959,3.0,3.0,1672.6777777804266,-22.94213563652973,3.0,3.0,1612.2000000029802,-135.56692307053973,3.0,3.0,1674.660000006358,-94.88666665492224,3.0,3.0
23AEyocWhqY955WHbxhHRSgQ1ms2,5.0,1101.240000000596,-291.7152063484868,5.0,5.0,1088.220000001043,-340.00339743457414,5.0,5.0,1072.7733333344263,-410.74976190322394,5.0,5.0,1091.1200000006706,-443.55948051842995,5.0,5.0,1112.5920000004767,-482.7106666657825,5.0,5.0
