participant_id,wcst_trials,wcst_total_errors,wcst_error_rate,wcst_perseverative_errors,wcst_perseverative_error_rate,wcst_nonperseverative_errors,wcst_perseverative_responses,wcst_perseverative_response_percent,wcst_error_pr_ratio,wcst_error_npe_ratio,wcst_trials_to_first_category,wcst_categories_completed,wcst_trials_per_category_mean,wcst_trials_per_category_sd,wcst_trials_per_category_1,wcst_trials_per_category_2,wcst_trials_per_category_3,wcst_trials_per_category_4,wcst_trials_per_category_5,wcst_trials_per_category_6,wcst_completed_categories,wcst_total_trials_summary,wcst_total_correct_summary,wcst_failure_to_maintain_set,wcst_clr_count,wcst_clr_percent,wcst_learning_to_learn,wcst_learning_to_learn_heaton_clr_delta,wcst_learning_efficiency_delta_trials,wcst_trials_to_first_conceptual_resp,wcst_trials_to_first_conceptual_resp0,wcst_has_first_clr,wcst_category_clr_percents
06qcrpGKL6Vc3LVplFQC90VAcRm1,82,13,0.15853658536585366,9,10.975609756097562,4,25,30.48780487804878,0.6923076923076923,0.3076923076923077,14.0,6.0,13.666666666666666,2.9814239699997196,14.0,13.0,11.0,12.0,12.0,20.0,6.0,82.0,69.0,0.0,67.0,81.70731707317073,,4.135309135309143,-2.0,7.0,6.0,1.0,"[71.42857142857143, 76.92307692307693, 90.9090909090909, 83.33333333333334, 83.33333333333334, 85.0]"
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,77,11,0.14285714285714285,8,10.38961038961039,3,28,36.36363636363637,0.7272727272727273,0.2727272727272727,10.0,6.0,12.833333333333334,2.4776781245530843,10.0,15.0,17.0,13.0,11.0,11.0,6.0,77.0,66.0,0.0,63.0,81.81818181818183,,4.417020887609127,2.333333333333334,3.0,2.0,1.0,"[100.0, 86.66666666666667, 58.82352941176471, 76.92307692307693, 90.9090909090909, 90.9090909090909]"
0d841i8KPjdjwCYfDuUUXj0SEjH2,68,8,0.11764705882352941,3,4.411764705882353,5,19,27.941176470588236,0.375,0.625,13.0,6.0,11.333333333333334,0.9428090415820634,13.0,12.0,11.0,10.0,11.0,11.0,6.0,68.0,60.0,0.0,60.0,88.23529411764706,,10.217560217560203,1.333333333333334,6.0,5.0,1.0,"[76.92307692307693, 83.33333333333334, 90.9090909090909, 100.0, 90.9090909090909, 90.9090909090909]"
0oa5NYVnIBS9NmrmRAZrahXDctP2,73,10,0.136986301369863,6,8.21917808219178,4,18,24.65753424657534,0.6,0.4,13.0,6.0,12.166666666666666,0.6871842709362768,13.0,12.0,12.0,12.0,13.0,11.0,6.0,73.0,63.0,0.0,60.0,82.1917808219178,,2.525252525252526,0.3333333333333339,6.0,5.0,1.0,"[76.92307692307693, 83.33333333333334, 83.33333333333334, 83.33333333333334, 76.92307692307693, 90.9090909090909]"
146QT9LupyU2BAiTsB3PMIpVXM22,77,9,0.11688311688311688,7,9.090909090909092,2,23,29.87012987012987,0.7777777777777778,0.2222222222222222,10.0,6.0,12.833333333333334,2.034425935955617,10.0,11.0,12.0,14.0,14.0,16.0,6.0,77.0,68.0,0.0,64.0,83.11688311688312,,-14.62842712842712,-3.666666666666666,3.0,2.0,1.0,"[100.0, 90.9090909090909, 83.33333333333334, 71.42857142857143, 71.42857142857143, 87.5]"
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,69,9,0.13043478260869565,6,8.695652173913043,3,15,21.73913043478261,0.6666666666666666,0.3333333333333333,11.0,6.0,11.5,0.7637626158259734,11.0,11.0,11.0,13.0,12.0,11.0,6.0,69.0,60.0,0.0,60.0,86.95652173913044,,-7.187257187257188,-1.0,4.0,3.0,1.0,"[90.9090909090909, 90.9090909090909, 90.9090909090909, 76.92307692307693, 83.33333333333334, 90.9090909090909]"
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,72,10,0.1388888888888889,6,8.333333333333332,4,26,36.11111111111111,0.6,0.4,15.0,6.0,12.0,1.4142135623730951,15.0,11.0,11.0,11.0,12.0,12.0,6.0,72.0,62.0,0.0,60.0,83.33333333333334,,3.0303030303030454,0.6666666666666679,8.0,7.0,1.0,"[66.66666666666666, 90.9090909090909, 90.9090909090909, 90.9090909090909, 83.33333333333334, 83.33333333333334]"
1fbLQPCcysVlSKup96K4yI5NX6G3,91,22,0.24175824175824176,17,18.681318681318682,5,37,40.65934065934066,0.7727272727272727,0.22727272727272727,12.0,6.0,15.166666666666666,3.2871804872193366,12.0,18.0,21.0,14.0,14.0,12.0,6.0,91.0,69.0,0.0,65.0,71.42857142857143,,5.291005291005291,3.666666666666666,5.0,4.0,1.0,"[83.33333333333334, 55.55555555555556, 71.42857142857143, 71.42857142857143, 71.42857142857143, 83.33333333333334]"
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,88,10,0.11363636363636363,7,7.954545454545454,3,29,32.95454545454545,0.7,0.3,11.0,6.0,14.666666666666666,5.676462121975467,11.0,15.0,12.0,12.0,11.0,27.0,6.0,88.0,78.0,1.0,71.0,80.68181818181817,,3.7037037037037095,-4.000000000000002,4.0,3.0,1.0,"[90.9090909090909, 66.66666666666666, 83.33333333333334, 83.33333333333334, 90.9090909090909, 77.77777777777779]"
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,128,65,0.5078125,62,48.4375,3,90,70.3125,0.9538461538461539,0.046153846153846156,16.0,4.0,32.0,30.63494736408078,16.0,85.0,15.0,12.0,,,3.0,128.0,63.0,0.0,46.0,35.9375,,0.0,0.0,3.0,2.0,1.0,"[87.5, 15.294117647058824, 66.66666666666666]"
