﻿role,task,metric,outcome,outcome_column,n,ucla_beta,ucla_se,ucla_t,ucla_p,p_ucla_wald,delta_r2_ucla,p_ucla_ols,delta_r2_interaction,p_interaction_wald,ucla_fdr_q
Primary-Benchmark,Stroop,RT Interference (Inc - Con),Stroop Interference Effect,stroop_interference,197,7.528208792668106,9.98329974276947,0.7540802126191298,0.4517345887396812,0.4517345887396801,0.0029397567461741,0.4517345887397054,0.0074414948838211,0.2311959738129245,0.6935321738096734
Primary-Benchmark,WCST,Perseverative Error Rate,WCST Perseverative Error Rate,pe_rate,197,-0.0533825218494116,0.6034987655667245,-0.0884550638629426,0.9296081616218428,0.9296081616219352,3.976018196316655e-05,0.9296081616219352,4.537189102205019e-08,0.9976252875695172,0.9296081616219352
Primary-Dynamic,Stroop,Time-on-Task Slope,Stroop Incongruent RT Slope,stroop_incong_slope,197,0.5626677430683588,0.2140175537029504,2.62907286497314,0.0092626185933596,0.0092626185933596,0.0342856822526813,0.0092626185933593,0.0107586266892519,0.1412567472054658,0.046313092966797996
Primary-Dynamic,WCST,Failure to Maintain Set,WCST Failure to Maintain Set,wcst_failure_to_maintain_set,197,-0.050880545892533,0.0860058570381735,-0.591593964001193,0.5548257390477461,0.5548257390477387,0.0018214489846458,0.5548257390477387,9.5701524850611e-05,0.8925550758105922,0.6935321738096734
Secondary-Tradeoff,Stroop,Accuracy Interference,Stroop Accuracy Interference,stroop_acc_interference,197,-0.0009530643186704,0.0034705491374072,-0.2746148465088207,0.7839105223886522,0.7839105223886674,0.0003920184588261,0.7839105223886969,0.0012709284444389,0.6222500467431227,
Secondary-Tradeoff,WCST,Non-Perseverative Errors,WCST Non-Perseverative Errors,wcst_nonperseverative_errors,197,-0.6903739767772668,1.048666720950672,-0.6583349723841777,0.5111198284593554,0.5111198284593642,0.0022201981227836,0.5111198284593745,0.0107733237053554,0.1474819788383046,
Secondary-Dispersion,Stroop,RT Coefficient of Variation (All),Stroop RT Coefficient of Variation (All),stroop_cv_all,197,0.0063692911169321,0.0056282631682174,1.1316619224380262,0.2592028675125058,0.2592028675125097,0.006296976090053,0.2592028675124939,0.0071083196760296,0.2301804833378534,
Exploratory,Stroop,Post-Error Slowing (PES),Stroop Post-Error Slowing (ms),stroop_post_error_slowing,118,29.22847230020287,43.259855411168594,0.6756488671170368,0.5006687950689247,0.5006687950689335,0.0040380601201815,0.5006687950689335,0.0027806128215356,0.5773472061645546,
Exploratory,WCST,HMM Focus Dwell Mean,WCST HMM Focus Dwell Mean,wcst_hmm_focus_dwell_mean,197,-2.3859765267141926,2.427511326732465,-0.9828899665427387,0.3269115252460484,0.3269115252460546,0.0049343685344021,0.3269115252460598,0.0002585405377184,0.8226713980376824,
Exploratory,WCST,HMM Focus RT Mean,WCST HMM Focus RT Mean,wcst_hmm_focus_rt_mean,197,48.36505782789078,36.69656262616912,1.3179724302951634,0.1890996852961086,0.1890996852961011,0.0083401884142154,0.1890996852961011,0.0033362175479376,0.4059498048947201,
Exploratory,WCST,HMM Focus RT SD,WCST HMM Focus RT SD,wcst_hmm_focus_rt_sd,197,59.44952225960188,35.112464216008284,1.6931173469875114,0.092072039975216,0.0920720399752154,0.014522642911055,0.0920720399752175,0.0063507166668675,0.2639715553552812,
Exploratory,WCST,HMM Lapse Dwell Mean,WCST HMM Lapse Dwell Mean,wcst_hmm_lapse_dwell_mean,197,0.011615135680531,0.356180647686024,0.0326102379677009,0.9740196367424716,0.9740196367422396,5.474232916968802e-06,0.9740196367422396,0.0033331484333595,0.4224508014689279,
