participant_id,post_error_rt_mean,post_error_trial_count,post_shift_error_rt_mean,post_shift_error_trial_count
06qcrpGKL6Vc3LVplFQC90VAcRm1,1866.423076924223,13,1704.788888891538,9
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1845.9909090909007,11,1948.8399999999906,10
0d841i8KPjdjwCYfDuUUXj0SEjH2,2702.4499999284744,8,2541.899999809265,5
0oa5NYVnIBS9NmrmRAZrahXDctP2,1545.3199999973178,10,1461.9999999962747,8
146QT9LupyU2BAiTsB3PMIpVXM22,1390.0999999990065,9,1362.4999999981374,8
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,4717.777777777777,9,4591.47500000149,8
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,3277.349999988079,10,3554.0428571360453,7
1fbLQPCcysVlSKup96K4yI5NX6G3,1975.1590908982537,22,1497.4368420902051,19
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,2052.8,10,2255.960000014305,5
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,1393.9123076915741,65,1589.2714285765376,21
23AEyocWhqY955WHbxhHRSgQ1ms2,2102.683333332754,18,2122.535294116858,17
23hG7h2ByUZDbmOMTDtp0HT0xRb2,2874.2687499821186,48,2909.1999999046325,5
28nQWMwCaSNFBEXlicY3eHqpwKU2,1974.2666666666667,15,1582.91428569385,7
2FHuv7L9nWPdbIiWHRIuXtcoyw83,1743.5555555555557,9,1683.875,8
2h5FgHUEvBS1twD5DqbTIRrMm1f2,3208.233333332198,22,3314.7133333245915,15
2zDXvJKvjeejeOSNbtDbtSI5cdz1,2533.111111111525,9,2548.0625000004657,8
3FSnTCSiUodLp5u3bE0xaUjLk0b2,2300.453846153839,13,2128.3099999999627,10
3WijiOiVCoMbn80F05SPYsxl0TC2,2481.212500013411,16,2033.1416666805744,12
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,1143.6352939605713,34,1100.1941174338845,17
3xCaqfcHxRQxuOlEzXz3PNcHODH2,1745.1200000017882,5,1754.43333333234,3
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,2619.566666666651,9,2607.8714285714086,7
50R0P1MIMvRvK1qpqfGROchII6R2,1159.4264151015373,53,1117.9888888994853,27
5OOi73igsahMZ5IVKQwwyhnj4Cn2,2432.5857142857276,7,2311.0833333333335,6
5Z68AKm9rIeeB2lVu3nJO7U31wk1,1049.170454545624,44,996.7952380954687,21
5rXSa3anB5ejmFrnwUsTB82byup1,1098.1090909090656,11,1241.114285714259,7
5zxa5CMLGQSSonWOXqXf0QNS3PH3,1762.6615384542024,13,1613.0249999910593,8
62fAfeQc27bZelkPX7G54T3gvci2,4586.714285714419,8,5797.400000000186,5
6ABZuv4jbjgE0B8TeyUk6nwVb122,2980.9799999713896,10,3220.0666666030884,6
6OwhwWQDThSPHTVAeXugohrYuje2,1651.6373333231609,75,,0
6WFCyGwk71XLPBmbe4Vav3eotVm1,1940.2999999182564,7,1940.2999999182564,7
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,2147.300000011921,12,1783.1142857415336,7
80UJMJbCOMgs6YVpsMgXfYTzw6o2,1953.6099999999628,10,1808.3571428568769,7
87w5Le0CgZhSfYAaOH3Xd2fc98l1,3166.549999999947,44,2467.258333333147,12
8bwaafIhKVMNBoHaXFcY8HirS9u2,2539.555555529065,9,2951.959999990463,5
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,2521.671428476061,28,2697.3857141222275,7
9NTZ091xWyOO8DgzyTGY0O3i8IR2,1699.079999999702,10,1731.5499999995034,6
9Xz1RIwnPXgyRqmucudW9VeuDnq1,1561.6666666666924,9,1556.750000000029,8
9l7DjYLs0XdgwykPZR5E01KTZfu2,3869.162500023842,8,3942.9571428809845,7
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,2237.9812500178814,16,1671.077777783076,9
ASGvwW80q7VY7xFaLGZhVuErUQu2,1820.1444443596733,9,1791.2249999046326,8
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,2756.621052716908,20,2985.6769231649546,13
AsXBOflrszVNKoFqbN61bMJqS0k2,1535.2350000023841,20,1653.849999989782,14
AyAnuCaltBbpEYbudoyNzTvXlcC2,3773.946153853948,26,4162.693333343665,15
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,3154.027142857168,78,,0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,1470.839999985695,10,1452.2749999761581,8
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,2610.2062499970198,17,2652.766666650772,9
CDEoAyvS8feXLKMKsaZah9agEhF3,3516.2600000000557,6,3516.2600000000557,5
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,1997.9699999809266,20,2045.176923073255,13
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,2647.805882353007,17,2324.2230769231774,13
CUNlBEszJVRGK1jWlTaOaCqpDg53,1896.933333333737,12,1882.7636363640088,11
Cbkx2NHyF3NrebzXGqNgSfiWent1,2326.8124999981374,8,2469.1571428541624,7
Co587hoelyeANqFX7AYvuVQW0lZ2,1679.659999994437,15,1759.012499988079,8
CtJe4bZZnYUBNrcPk00d3YQFSGp2,1689.3187499999767,16,1686.6357142857075,14
DAKDKPH698P12JfTbbjemLI6PIH2,2510.813333328565,15,1635.399999993188,7
DPvStUYSmohmXwFwaKRqHv89R3k1,2919.0999999841056,3,2919.0999999841056,3
