outcome,outcome_column,n,cov_type,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
Stroop Interference Effect,stroop_interference,220,OLS,0.010203454736767537,0.015030951622878264,0.017015437794839827,0.02054814379808234,0.0010809059324980996,-0.007982343899951783,-0.010674268182770286,-0.011792247680282752,2652.978831233335,2657.9032084515875,2659.4595119096884,2660.6674392056275,0.004827496886110727,0.3496165134426841,0.7894638554121161,0.0019844861719615636,0.43001240393803053,0.5126905385985956,0.5126905385985956,0.003532706003242514,0.7646457229573277,0.3828680803891821,0.3828680803891895,6.1411160560966005,9.364979116172607,0.6557533102760859,0.5126905385985951,z_ucla_score:C(gender_male)[T.1],12.35431722668566,14.12825799335479,0.8744402340682411,0.3828680803892014,136,2.707769052765096,11.995916753437,0.8217703963886596,84,9.607435651658427,15.31249114516291,0.5322133258961956,2.6208301257176747,2.115888261384099,6.243281655053328,0.5116473074423377,0.0002793119026862372
Stroop Mean RT (Incongruent),rt_mean_incongruent,220,OLS,0.035123843078740946,0.04240058407337022,0.04561945138819912,0.04942819909866436,0.0262309752730151,0.020026765944243352,0.01873549227237381,0.018041394351922202,2971.145577152732,2975.480130073223,2976.739378086879,2977.8596441522495,0.007276740994629272,0.5420577564241005,0.6540051882117801,0.0032188673148288993,0.7183913576778612,0.39762346470852705,0.3976234647085193,0.0038087477104652434,0.8494408458708629,0.3577582124233015,0.3577582124233015,16.32499411777501,19.260718497779482,0.8475797057963894,0.39762346470851717,z_ucla_score:C(gender_male)[T.1],26.77529924450839,29.051446621828283,0.9216511519392059,0.3577582124233175,136,8.050281881758423,23.23647196123789,0.7295644727666546,84,22.581933910067363,34.679261142875625,0.5168535889686166,2.6208301257176747,2.115888261384099,2.831666544815692,0.9001254960874965,0.00011157826365532271
Stroop Mean RT (Congruent),rt_mean_congruent,220,OLS,0.03476590971037563,0.051327922862422715,0.053227226986904075,0.05490245656505599,0.025869742979595767,0.02916268741528305,0.026557571409070446,0.02369640560258146,2879.654177844984,2881.846536792478,2883.4056407704147,2885.016025689175,0.016562013152047084,1.2453445540536217,0.294238728966974,0.0018993041244813602,0.4272955349434731,0.5140240363510566,0.5140240363511034,0.0016752295781519155,0.3757799107988425,0.5405275152592706,0.5405275152592453,10.18387806167842,15.579338489542334,0.6536784644941357,0.514024036351099,z_ucla_score:C(gender_male)[T.1],14.420982017822716,23.524914615231086,0.6130088994450983,0.5405275152592565,136,5.34251282899335,18.451604242246162,0.7726279816087332,84,12.974498258408929,29.11293539243649,0.6570767313917487,2.6208301257176747,2.115888261384099,1.891573664781001,0.9655968893864034,6.273542866117982e-07
Stroop Mean RT (Neutral),rt_mean_neutral,220,OLS,0.03036801116106036,0.04994960012850236,0.05163095531478579,0.05170797839057806,0.02143131080309779,0.02775216087916821,0.024916334337737545,0.02039644937517271,2916.240726580094,2917.752380987263,2919.36269024873,2921.344821925301,0.019581588967442,1.4702588548984263,0.2236117492995731,0.0016813551862834286,0.37762583741569605,0.5395324498719314,0.5395324498719187,7.702307579227075e-05,0.017219265475040657,0.8957239774409548,0.895723977440884,10.388926058132391,16.90595873384941,0.6145126828762156,0.5395324498719285,z_ucla_score:C(gender_male)[T.1],3.3526875696874754,25.54969813551151,0.13122219886533912,0.8957239774408815,136,11.666427011166945,20.6175381738596,0.5724714030705936,84,2.71355698680199,30.377500594027072,0.9290503277047736,2.6208301257176747,2.115888261384099,2.5407434569010867,0.923997920276298,1.2258077700169114e-06
Stroop Accuracy (Incongruent),accuracy_incongruent,220,OLS,0.0003892148568249709,0.014186365834108816,0.014706611208331277,0.014721633887909036,-0.008823787771222724,-0.00884666300154291,-0.013048132137912782,-0.017811142351641163,-830.3759601326324,-827.4336661303685,-825.5497978103367,-823.5531521560986,0.013797150977283845,0.9983598680349521,0.39452637302180005,0.0005202453742224611,0.11246626230313259,0.7376836765879544,0.7376836765878481,1.5022679577758602e-05,0.003232394194390481,0.9547149280031004,0.9547149280029358,-0.0011407725228235188,0.003401636641600372,-0.3353598996648914,0.7376836765878494,z_ucla_score:C(gender_male)[T.1],0.0002922875888140622,0.005141007241389936,0.05685414843629719,0.9547149280029458,136,-0.00027541466700505,0.004424162020047186,0.9504574518822693,84,-0.002278621142787929,0.0053042898925743185,0.6686849660597034,2.6208301257176747,2.115888261384099,4.024496560428417,0.7769515965802105,2.530246437985128e-15
Stroop Accuracy (Congruent),accuracy_congruent,220,OLS,0.0032666309677698013,0.014921461548539017,0.01863650329375366,0.022038300505679453,-0.005919851696121636,-0.008094392153598085,-0.009007538866985687,-0.01025288768517063,-1029.9582012420435,-1026.5458255044884,-1025.3770833210972,-1024.1410158628405,0.011654830580769215,0.8439711985487532,0.4711637969281487,0.0037150417452146423,0.8063310836265783,0.37022108378000074,0.37022108378008534,0.0034017972119257944,0.737432774004534,0.39145438995824255,0.39145438995832604,0.0019395836484073017,0.0021599903613848327,0.8979593997649963,0.3702210837800819,z_ucla_score:C(gender_male)[T.1],0.0027984825918384026,0.0032588276469627552,0.8587390604859398,0.39145438995833615,136,0.0017437978470666027,0.0029152008098143247,0.55076443999696,84,0.0016978665415621208,0.0031389159126038305,0.5901120482672793,2.6208301257176747,2.115888261384099,10.129628267921833,0.18134580196400427,2.466889858668109e-24
Stroop Accuracy (Neutral),accuracy_neutral,220,OLS,0.0007675841348901979,0.017313234378877218,0.017443145176401775,0.01802185609694973,-0.008441931218705179,-0.0056467367804948765,-0.010234512705953103,-0.0144019505413584,-1012.680061299375,-1010.3533973812391,-1008.3824832158905,-1006.5120980166305,0.01654565024398702,1.2010504520482408,0.31034782789652987,0.00012991079752455725,0.02816223787650444,0.8668871969271021,0.8668871969271021,0.0005787109205479535,0.1249383358661318,0.7240902257525155,0.7240902257525654,0.0003767555200254874,0.0022450501298791736,0.16781608348574562,0.8668871969271235,z_ucla_score:C(gender_male)[T.1],0.001198973467984664,0.0033920458521880135,0.3534661735811369,0.724090225752559,136,0.0005885584403009653,0.003226753872705466,0.855553312952143,84,-0.00012159700527344941,0.0026097133020202903,0.9629558974580593,2.6208301257176747,2.115888261384099,10.938276608434176,0.14133411832461057,1.7998405515940256e-23
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,136,OLS,0.005529604750839634,0.02815780265512846,0.036146576415367226,0.041821755882482825,-0.009424837282982379,-0.009220743396597397,-0.00868381537926699,-0.010578616842693789,1975.869531430776,1978.739234866288,1979.6166623003646,1980.8135260528816,0.022628197904288827,1.0089654937788424,0.39106355016149424,0.007988773760238765,1.0691997246200726,0.3030608600117186,0.3030608600117313,0.005675179467115599,0.7581292690065448,0.38554464441663594,0.38554464441662695,41.72599593138304,40.3531361085732,1.0340211432171234,0.3030608600117217,z_ucla_score:C(gender_male)[T.1],51.81778829628629,59.51236927173137,0.8707061898290102,0.38554464441662906,79,7.64291735013456,53.1916234014391,0.8861439554550274,57,74.5592526903579,67.17807007127183,0.2722588105852456,2.805299490472624,2.1749453744113376,8.039581069355506,0.32911663264026886,0.00015458971526021277
Stroop Post-Error RT (ms),stroop_post_error_rt,136,OLS,0.031973728183176564,0.05384404502251272,0.0631239243498447,0.06823212966568104,0.017416942140818237,0.01745343136953237,0.019548292924255972,0.017276074256773022,2010.3583645295823,2013.250517760243,2013.9100479378758,2015.1664952081583,0.021870316839336157,1.0016464249037214,0.39439269504010094,0.009279879327331986,1.2777617705683078,0.260412922771944,0.26041292277192524,0.005108205315836334,0.7017308722959632,0.40376414137637195,0.4037641413763815,51.74370091517274,45.77544161386448,1.1303812500959158,0.2604129227719252,z_ucla_score:C(gender_male)[T.1],56.56436526367434,67.5239168337611,0.8376937819370228,0.4037641413763772,79,6.826428296233395,59.67885992701767,0.9092458118751044,57,93.57704948437362,75.8204670067084,0.22278821166869817,2.805299490472624,2.1749453744113376,5.326930703263597,0.620132843026029,0.0006663527217113132
Stroop Post-Correct RT (ms),stroop_post_correct_rt,220,OLS,0.03609149815604573,0.050580018093762114,0.0526278375159378,0.05416918292355588,0.02720754883029508,0.02839730823613973,0.02594129772765441,0.02293892009556009,2908.420663832685,2911.0887369416064,2912.6137028697385,2914.25547813815,0.014488519937716382,1.0885745422681021,0.3548602444068112,0.0020478194221756896,0.46041624843578716,0.4981660416951904,0.4981660416951904,0.0015413454076180777,0.34547957257837897,0.5573088130057717,0.557308813005812,11.29675351098664,16.648623492850476,0.6785397913429826,0.4981660416951964,z_ucla_score:C(gender_male)[T.1],14.777451564742087,25.141336321793975,0.5877751037414877,0.5573088130058137,136,7.427090279807345,19.969242118759116,0.7105531304499431,84,11.693630181506819,30.45479139259859,0.7020477326147785,2.6208301257176747,2.115888261384099,2.2046871385880262,0.9476481758270422,2.7551210673318313e-05
