loneliness_group_3,quartile,mean_interference,sem_interference,n
Low loneliness,1,162.2925035357637,18.715715543919025,73
Low loneliness,2,131.87791275388315,21.044820952874836,73
Low loneliness,3,103.94044188805299,17.356004121300945,73
Low loneliness,4,131.9939681983629,19.48626230658233,73
Mid loneliness,1,155.12731608855023,16.17462272305867,73
Mid loneliness,2,146.22269343091673,20.35188660977324,73
Mid loneliness,3,127.46759923671951,19.01434944011896,73
Mid loneliness,4,153.3033970519698,18.082900323333078,73
High loneliness,1,121.34760438351559,18.45139384971522,74
High loneliness,2,140.3799648181935,15.197815671214427,74
High loneliness,3,158.59223464715677,19.934854092640663,74
High loneliness,4,163.4179172767172,19.72502590120201,74
