outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Perseverative Error Rate,212,0.002070308000164056,0.028888148275136083,0.029275968637669014,0.02929991967242762,0.026817840274972027,0.13133665001431435,0.0003878203625329313,0.7750266999370699,2.3951034758606937e-05,0.9435093547588185
WCST Accuracy (%),212,0.009174811749756873,0.01291194114386518,0.01536902708766219,0.02298170116467746,0.0037371293941083072,0.8541655162892182,0.0024570859437970105,0.47527600225682387,0.007612674077015269,0.20883543579625582
WCST Mean Reaction Time (ms),212,0.049326238976526215,0.05896751222345564,0.07756393425548946,0.07982766163296295,0.009641273246929427,0.5509220746984116,0.01859642203203382,0.043348327591040035,0.00226372737747349,0.4794914068863425
WCST Reaction Time SD,212,0.0008817900674406021,0.006496314338913067,0.027269747284515367,0.029644327495406464,0.005614524271472465,0.7617258822884203,0.0207734329456023,0.03763787080918935,0.0023745802108910974,0.4806522442616158
WCST Perseverative Error Count,212,0.0007985328878429288,0.023352987269401493,0.023840278469899112,0.023845066133987403,0.022554454381558564,0.19392998781090054,0.0004872912004976193,0.7493718657424611,4.787664088290455e-06,0.9747969784288049
WCST Post-Error Slowing (ms),211,0.001327429149825754,0.004912310395356001,0.03108840330729723,0.031338542246879264,0.003584881245530247,0.863995756003332,0.02617609291194123,0.01985220156708856,0.00025013893958203415,0.8191333517296184
WCST Post-Switch Error Rate,209,0.022913256906273882,0.056027991330138915,0.0567626607632824,0.05779721056984333,0.03311473442386503,0.0713776645527502,0.0007346694331434866,0.6920417936527818,0.0010345498065609249,0.6390160477354392
WCST Reaction Time Coefficient of Variation,212,0.036771162962475956,0.04236667899690982,0.04640752547637883,0.0477973793456008,0.005595516034433867,0.7522669680048254,0.004040846479469007,0.3524153877203089,0.0013898538692219686,0.5858847519096229
WCST Valid Trial Count,212,0.0008567431030772621,0.0022022087787352262,0.008144011915090843,0.008254785382427299,0.0013454656756579642,0.9640634256124182,0.005941803136355617,0.2690809733811583,0.00011077346733645577,0.8801643754878579
WCST Pre-Switch RT Mean (w1),210,0.05001766140359365,0.05872979448233395,0.060723878173169155,0.06636218911698122,0.008712133078740303,0.5968121542405389,0.001994083690835202,0.5122572791024257,0.005638310943812064,0.27069541322173857
WCST Pre-Switch RT Mean (w2),210,0.07435727196562059,0.09263684087746016,0.09382174489544626,0.1023940093465181,0.018279568911839572,0.253076508395767,0.0011849040179860992,0.6069680952107588,0.008572264451071843,0.16638319313420524
WCST Pre-Switch RT Mean (w3),210,0.0791325318519307,0.09225772623681183,0.0942126640801263,0.0973934070179121,0.013125194384881134,0.4016451887159813,0.0019549378433144637,0.508777206499289,0.0031807429377858076,0.3998321782464638
WCST Pre-Switch RT Mean (w4),210,0.07437099682553194,0.09211946740347354,0.09297271753017289,0.09712358166042767,0.0177484705779416,0.26590031329180397,0.0008532501266993453,0.6625797877162889,0.004150864130254783,0.33636089174294304
WCST Pre-Switch RT Mean (w5),210,0.07389112870380943,0.09004883166780953,0.09090171461112984,0.09521479850979542,0.016157702964000098,0.3081040695195384,0.00085288294332031,0.6630084433863757,0.004313083898665582,0.3276241066981781
WCST Pre-Switch RT Delta (w1),210,0.004591939509303589,0.011253162577747555,0.031043314608828254,0.03217001808742359,0.006661223068443967,0.7118533522199907,0.0197901520310807,0.043029124966853106,0.0011267034785953367,0.6282499439108336
WCST Pre-Switch RT Delta (w2),210,0.0012858277779717042,0.01334798310521701,0.04391709210445349,0.04650402886668037,0.012062155327245305,0.4780253507672555,0.030569108999236483,0.011585008215522677,0.002586936762226877,0.45997610723219096
