task,outcome,outcome_column,n,r2,ucla_beta,ucla_se,ucla_t,ucla_p
wcst,WCST Pre-Error RT Slope (Mean),wcst_pre_error_slope_mean,208,0.054376730894391656,36.49257584751052,11.192386519063383,3.260482095159482,0.001303366061402183
wcst,WCST HMM P(Lapse->Focus),wcst_hmm_trans_to_focus,212,0.04884277366220924,-0.0581542444827602,0.019443060734804826,-2.991002562608822,0.003116293454718579
wcst,WCST HMM P(Lapse->Lapse),wcst_hmm_stay_lapse,212,0.048842773662209016,0.058154244482760166,0.01944306073480483,2.9910025626088195,0.003116293454718606
wcst,WCST Switch Cost Error k4,wcst_switch_cost_error_k4,209,0.0359284700013619,-0.0364518371306309,0.013895006793588488,-2.623376704461254,0.009360789322534962
wcst,WCST Slow-State Prob (Shift k0),wcst_slow_prob_shift_k0,210,0.051908180645274915,0.03450413066145343,0.013217730777214935,2.6104428394723045,0.00970684021515012
wcst,WCST Recovery RT Slope,wcst_recovery_rt_slope,209,0.03094301533394639,-27.051281669163114,11.093109036169384,-2.4385662829925923,0.015597043045898332
wcst,WCST Fast Run Mean (correct),wcst_fast_run_mean_correct,212,0.03399900089711705,0.06882773978556235,0.029298026694818187,2.3492278337549473,0.01974979888830121
wcst,WCST RL Stickiness,wcst_rl_stickiness,212,0.028597725409316266,0.05704767421827423,0.025793670333237255,2.211692771182069,0.02807645215111455
wcst,WCST Accuracy Slope within Category,wcst_acc_slope_within_category,212,0.028463949677387856,-0.0021556660977823205,0.0009752226730268146,-2.21043476264938,0.02816491289316119
wcst,WCST Recovery RT Lag1,wcst_recovery_rt_lag1,209,0.034383690503476005,120.00214333597359,55.52989729517353,2.161036651987537,0.03185187375162127
wcst,WCST Switch Cost Error k5,wcst_switch_cost_error_k5,209,0.025117949283395058,-0.02496174622241187,0.011630100716705642,-2.146305249666193,0.03302364168046731
wcst,WCST Slow Run Mean (correct),wcst_slow_run_mean_correct,212,0.027151731641947285,0.0632572134783245,0.030387195074264184,2.0817062359236607,0.03859294686947136
wcst,WCST Switch Cost Error k1,wcst_switch_cost_error_k1,210,0.042608265126814815,-0.03930173969512649,0.01891708927433094,-2.077578591779232,0.038987852431638444
wcst,WCST HMM2D State Entropy,wcst_hmm2d_state_entropy,212,0.030023353631082106,-0.016821819841035493,0.008148152733450612,-2.0644949096225056,0.040211308740748276
wcst,WCST Post-Switch Error Rate,wcst_post_switch_error_rate,209,0.04216025441007942,-0.020943412760840698,0.010318948705026539,-2.0296072167350534,0.043688870180894034
wcst,WCST PE Run Length Mean,wcst_pe_run_length_mean,212,0.04599192605514679,-0.050236751967646036,0.02505021060177348,-2.005442300117406,0.04621166154922725
wcst,WCST Perseverative Response Percent (trial-derived),wcst_perseverative_response_percent,212,0.020459520552753463,-1.1524271409270872,0.5755487604997319,-2.0023101777275465,0.046550081572399794
wcst,WCST WSLS P(stay|win),wcst_wsls_p_stay_win,212,0.01909733080786724,-0.013624486437850837,0.006809039522249456,-2.0009410128008494,0.046698675971197874
wcst,WCST WSLS P(shift|win),wcst_wsls_p_shift_win,212,0.01909733080786713,0.013624486437850775,0.006809039522249456,2.00094101280084,0.04669867597119888
wcst,WCST Slow-State Prob Delta (Shift k0),wcst_slow_prob_shift_k0_delta,210,0.03366074618206183,0.02131538925704359,0.010761077739093215,1.9807857329761969,0.04894586874942693
