category_num,loneliness_group,mean_rt,sem_rt,n
1,Low loneliness (bottom 25%),1684.7168885227404,60.01894773856651,50
1,High loneliness (top 25%),1734.6799711857382,68.67905845578791,53
2,Low loneliness (bottom 25%),1513.281542472925,45.63287789977575,50
2,High loneliness (top 25%),1694.5515041221872,64.08645695701685,53
3,Low loneliness (bottom 25%),1523.9715955101478,52.29793350596811,50
3,High loneliness (top 25%),1607.545199421934,61.404035278274044,53
4,Low loneliness (bottom 25%),1380.371032637423,58.80364749383059,50
4,High loneliness (top 25%),1478.4094319857427,62.65050480980324,53
5,Low loneliness (bottom 25%),1439.6593706613285,46.238369922603596,50
5,High loneliness (top 25%),1533.1160192844495,52.244520506960065,53
6,Low loneliness (bottom 25%),1309.9754769791446,50.92428008488339,50
6,High loneliness (top 25%),1329.1751983915942,48.76691666798292,53
