outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
Stroop Interference Effect,220,0.010203454736767537,0.015030951622878264,0.017015437794839827,0.02054814379808234,0.004827496886110727,0.7894638554121161,0.0019844861719615636,0.5126905385985956,0.003532706003242514,0.3828680803891895
Stroop Mean RT (Incongruent),220,0.035123843078740946,0.04240058407337022,0.04561945138819912,0.04942819909866436,0.007276740994629272,0.6540051882117801,0.0032188673148288993,0.3976234647085193,0.0038087477104652434,0.3577582124233015
Stroop Mean RT (Congruent),220,0.03476590971037563,0.051327922862422715,0.053227226986904075,0.05490245656505599,0.016562013152047084,0.294238728966974,0.0018993041244813602,0.5140240363511034,0.0016752295781519155,0.5405275152592453
Stroop Mean RT (Neutral),220,0.03036801116106036,0.04994960012850236,0.05163095531478579,0.05170797839057806,0.019581588967442,0.2236117492995731,0.0016813551862834286,0.5395324498719187,7.702307579227075e-05,0.895723977440884
Stroop Accuracy (Incongruent),220,0.0003892148568249709,0.014186365834108816,0.014706611208331277,0.014721633887909036,0.013797150977283845,0.39452637302180005,0.0005202453742224611,0.7376836765878481,1.5022679577758602e-05,0.9547149280029358
Stroop Accuracy (Congruent),220,0.0032666309677698013,0.014921461548539017,0.01863650329375366,0.022038300505679453,0.011654830580769215,0.4711637969281487,0.0037150417452146423,0.37022108378008534,0.0034017972119257944,0.39145438995832604
Stroop Accuracy (Neutral),220,0.0007675841348901979,0.017313234378877218,0.017443145176401775,0.01802185609694973,0.01654565024398702,0.31034782789652987,0.00012991079752455725,0.8668871969271021,0.0005787109205479535,0.7240902257525654
Stroop Post-Error Slowing (ms),136,0.005529604750839634,0.02815780265512846,0.036146576415367226,0.041821755882482825,0.022628197904288827,0.39106355016149424,0.007988773760238765,0.3030608600117313,0.005675179467115599,0.38554464441662695
Stroop Post-Error RT (ms),136,0.031973728183176564,0.05384404502251272,0.0631239243498447,0.06823212966568104,0.021870316839336157,0.39439269504010094,0.009279879327331986,0.26041292277192524,0.005108205315836334,0.4037641413763815
Stroop Post-Correct RT (ms),220,0.03609149815604573,0.050580018093762114,0.0526278375159378,0.05416918292355588,0.014488519937716382,0.3548602444068112,0.0020478194221756896,0.4981660416951904,0.0015413454076180777,0.557308813005812
Stroop Incongruent RT Slope,220,0.011362336960621944,0.020643685764430098,0.04303983065766914,0.059138182392656446,0.009281348803808154,0.5675994278577472,0.022396144893239045,0.02660966190515443,0.016098351734987304,0.05819044674368475
Stroop RT Coefficient of Variation (All),220,0.03288445127963613,0.04007059858592865,0.046421631049976875,0.053485327336828314,0.007186147306292523,0.6594391054486021,0.006351032464048223,0.23495545984786473,0.00706369628685144,0.2098387020295116
Stroop RT CV (Incongruent),220,0.033486342550305026,0.0345206681077449,0.039174619678356226,0.05381504574262741,0.0010343255574398746,0.9726628781405253,0.0046539515706113255,0.3109101047475721,0.014640426064271184,0.07153152655113468
Stroop RT CV (Congruent),220,0.024506512639746236,0.028877752415528146,0.03541660872044261,0.03559661630883226,0.00437123977578191,0.8101213323788509,0.006538856304914464,0.23084120170440683,0.00018000758838965236,0.8425139897530102
Stroop Valid Trial Count,220,0.0056786287176777694,0.02693030036555799,0.03865717270271862,0.0390738379358313,0.02125167164788022,0.20062957481919563,0.011726872337160632,0.10846147285199682,0.00041666523311267856,0.7620414896882053
Stroop Ex-Gaussian mu (Congruent),219,0.10487357127457897,0.11741365587695562,0.1177712640502323,0.11956885386231952,0.012540084602376655,0.3897618784109111,0.00035760817327668004,0.7696988091631141,0.0017975898120872191,0.5123108544573214
Stroop Ex-Gaussian sigma (Congruent),219,0.07462288622742719,0.08009063840834707,0.08009245459698411,0.08414100742623487,0.005467752180919883,0.7374041129658991,1.8161886370382518e-06,0.9836967644763717,0.004048552829250762,0.33526142813009785
Stroop Ex-Gaussian tau (Congruent),219,0.030121603081161297,0.032583273813594826,0.04134190133027471,0.041377674088034944,0.0024616707324335296,0.9094430235988742,0.008758627516679884,0.1654635127704266,3.577275776023292e-05,0.9293768890977101
Stroop Ex-Gaussian mu (Incongruent),219,0.05946530743128586,0.06442741749829273,0.06456921226264745,0.0798122537447149,0.004962110067006864,0.7699898629317671,0.00014179476435471905,0.8579019103713361,0.015243041482067454,0.06293051289806577
Stroop Ex-Gaussian sigma (Incongruent),219,0.02904053331834111,0.03134859050499872,0.031375408356086876,0.03817573792880946,0.0023080571866576083,0.9171060742634759,2.6817851088156708e-05,0.9390037112365863,0.006800329572722585,0.22329708264275352
Stroop Ex-Gaussian tau (Incongruent),219,0.007035702373565433,0.010621388817887656,0.015159081418155917,0.02357565507066728,0.0035856864443222225,0.856066162493481,0.004537692600268262,0.324117216234573,0.008416573652511361,0.17890476756922488
Stroop Ex-Gaussian mu (Neutral),219,0.07223882655074054,0.08220674310606368,0.08235804655075118,0.08370064439675207,0.009967916555323142,0.5113242754688807,0.00015130344468750057,0.8518684294312033,0.0013425978460008814,0.578781858583004
Stroop Ex-Gaussian sigma (Neutral),219,0.0399300553995634,0.04645646774207246,0.046959888926928484,0.04700201711799823,0.006526412342509058,0.692395137726453,0.0005034211848560233,0.7382273753673042,4.2128191069745746e-05,0.9231525911995664
Stroop Ex-Gaussian tau (Neutral),219,0.012932209975618836,0.029392512924334757,0.033256057685545515,0.03519238501525035,0.01646030294871592,0.30923680460075215,0.0038635447612107576,0.3583783431274298,0.0019363273297048345,0.5159196696542308
Stroop Ex-Gaussian mu (Interference),219,0.007491904310107045,0.01056233078813884,0.012016860382634054,0.03023238853980026,0.003070426478031796,0.882218867066076,0.001454529594495213,0.576977354438243,0.018215528157166205,0.04779286265767676
Stroop Ex-Gaussian sigma (Interference),219,0.0034905406398080263,0.0037954511663431667,0.0038160508116401592,0.023657123432717087,0.0003049105265351404,0.9956443583102692,2.059964529699254e-05,0.9472724927322042,0.019841072621076927,0.03960123692128071
Stroop Ex-Gaussian tau (Interference),219,0.0030708138487146597,0.006015033056826158,0.006041413255385764,0.015460274339779256,0.002944219208111498,0.8891948167084893,2.6380198559605716e-05,0.9402769870670485,0.009418861084393493,0.1568596996774733
Stroop Slow-State Probability (Baseline),219,0.005534705556947461,0.02481552872971282,0.0257843731762053,0.03200793798895096,0.01928082317276536,0.24267347676916473,0.0009688444464924784,0.6465871609801337,0.006223564812745663,0.245443798519804
