participant_id,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_post_error_accuracy,prp_post_error_accuracy_drop,prp_t2_rt_t1_error,prp_t2_rt_t1_correct,prp_t2_interference_t1_error,prp_t1_error_run_mean,prp_t1_error_run_max,prp_t2_error_run_mean,prp_t2_error_run_max,prp_cascade_run_mean,prp_cascade_run_max
06qcrpGKL6Vc3LVplFQC90VAcRm1,,,31.263559331201918,1.0,0.008474576271186418,,643.0151260502699,,0.0,0.0,1.0,1.0,0.0,0.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,,,386.52263157900654,0.8,-0.16491228070175434,,661.6158333333423,,0.0,0.0,1.25,2.0,0.0,0.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.3333333333333333,8.000000000000007,376.6575437763281,0.8,-0.16491228070175434,1703.8999999364216,908.8564103036864,795.0435896327352,1.0,1.0,1.25,2.0,1.0,1.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.0,0.0,177.36785713982374,1.0,0.0625,1113.300000011921,684.3159663863793,428.98403362554166,1.0,1.0,1.0,1.0,0.0,0.0
146QT9LupyU2BAiTsB3PMIpVXM22,0.5,9.749999999999993,747.6925595271002,1.0,0.0535714285714286,1634.0,763.7426086958336,870.2573913041664,1.0,1.0,1.0,1.0,1.0,1.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.0,0.0,327.4335087739586,1.0,0.04385964912280704,1288.5,838.5294117639546,449.9705882360454,1.0,1.0,1.0,1.0,0.0,0.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,,,,,,,1408.866666669647,,0.0,0.0,0.0,0.0,0.0,0.0
1fbLQPCcysVlSKup96K4yI5NX6G3,0.0,0.0,158.07393162576545,1.0,0.02564102564102566,1366.2999999523163,839.3384615376465,526.9615384146698,1.0,1.0,1.0,1.0,0.0,0.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,,,,,,,1364.5339449534722,,0.0,0.0,0.0,0.0,0.0,0.0
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.4,3.2,40.71141026050623,0.8666666666666667,-0.008333333333333304,973.7600000143051,731.303478260144,242.45652175416114,1.0,1.0,1.1538461538461537,2.0,1.0,1.0
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.0,0.0,85.84166670287095,1.0,0.02752293577981646,1032.2750000953674,1208.2486238479614,-175.973623752594,1.3333333333333333,2.0,1.0,1.0,0.0,0.0
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.0,0.0,712.6103245357497,1.0,0.053097345132743334,1451.5,1004.4805084648779,447.01949153512214,1.0,1.0,1.0,1.0,0.0,0.0
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.2,3.2,179.39972527472742,0.8571428571428571,-0.0851648351648352,885.6000000000465,905.6168224299022,-20.016822429855665,1.0,1.0,1.1666666666666667,2.0,1.0,1.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,,,452.8515942115715,0.6666666666666666,-0.3159420289855073,,878.643697478691,,0.0,0.0,1.5,2.0,0.0,0.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,,,429.13644067767905,1.0,0.008474576271186418,,1108.0516666665828,,0.0,0.0,1.0,1.0,0.0,0.0
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.0,0.0,504.3457264958564,1.0,0.017094017094017144,1599.0000000001164,897.7842105263068,701.2157894738097,1.0,1.0,1.0,1.0,0.0,0.0
3WijiOiVCoMbn80F05SPYsxl0TC2,,,-268.5093220108646,1.0,0.008474576271186418,,862.915833334128,,0.0,0.0,1.0,1.0,0.0,0.0
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.3333333333333333,7.866666666666666,307.81614037396616,1.0,0.04385964912280704,608.2666668891907,749.3455357210977,-141.07886883190702,1.0,1.0,1.0,1.0,1.0,1.0
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.0,,,,,3003.0,704.1500000001515,2298.8499999998485,1.0,1.0,0.0,0.0,0.0,0.0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.0,0.0,148.57837837838008,0.7142857142857143,-0.2410714285714286,2115.25,989.2101694915239,1126.0398305084761,1.0,1.0,1.4,2.0,0.0,0.0
50R0P1MIMvRvK1qpqfGROchII6R2,0.0,0.0,-62.48764358032713,1.0,0.025862068965517238,1678.0,846.0482758612468,831.9517241387532,1.0,1.0,1.0,1.0,0.0,0.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,,,,,,,836.0558333333078,,0.0,0.0,0.0,0.0,0.0,0.0
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.0,0.0,317.2794736841954,1.0,0.04385964912280704,1091.3666666671634,757.8435897434401,333.52307692372324,1.0,1.0,1.0,1.0,0.0,0.0
5rXSa3anB5ejmFrnwUsTB82byup1,,,-278.68717948690005,1.0,0.008547008547008517,,923.19579831933,,0.0,0.0,1.0,1.0,0.0,0.0
