task,outcome,outcome_column,n,beta,se,p,delta_r2
PRP,"PRP Ex-Gaussian sigma (SOA 150, correct)",prp_exg_correct_soa_150_sigma,190,33.26761975235847,13.730496314429722,0.0163715029509386,0.0305032478136626
PRP,PRP Vincentile Bottleneck p70 (correct),prp_vincentile_bottleneck_p70_correct,192,40.68594888597501,17.978468445048403,0.024795242321545,0.025158215607045
PRP,"PRP Ex-Gaussian sigma (SOA 600, correct)",prp_exg_correct_soa_600_sigma,193,-20.86501679676707,9.858629747368688,0.0356389431447804,0.023193464003521
PRP,PRP T1 Cost (Short - Long),prp_t1_cost,201,46.226589996985695,22.33849667779061,0.0398367007557967,0.021293582279531
PRP,PRP Adaptive PES Flag,prp_pes_adaptive,89,0.1422493107627804,0.0693438018537094,0.0434236995192927,0.0472947415608859
STROOP,Stroop Adaptive PES Flag,stroop_pes_adaptive,46,0.2083527507339663,0.0899408067342459,0.025871587096262,0.116020830464759
STROOP,Stroop Incongruent RT Slope,stroop_incong_slope,220,0.4429571367974395,0.198395674051493,0.0266096619051544,0.022396144893239
STROOP,"Stroop Fast Run Mean (incongruent, correct)",stroop_fast_run_mean_incong_correct,220,-0.0976148084794939,0.0443330154217009,0.0287488766536414,0.0221465870758202
STROOP,Stroop Recovery Accuracy Lag4,stroop_recovery_acc_lag4,46,0.0198649406963057,0.009553114498191,0.0442006999277754,0.0782365177522319
STROOP,Stroop CV Fatigue Slope (Q4-Q1),stroop_cv_fatigue_slope,220,0.0160479854392622,0.0080149574081769,0.0465255508560969,0.0182030126102821
STROOP,Stroop Post-Error Recovery Rate,stroop_post_error_recovery_rate,46,0.0412650872876661,0.0202724418512966,0.0486327873717109,0.09369788122947
WCST,WCST Pre-Error RT Slope (Mean),wcst_pre_error_slope_mean,208,45.91286300644844,15.107712637905973,0.0026887695332418,0.0429916055967558
WCST,WCST Block PE Slope,wcst_block_pe_slope,212,-0.007595199622935,0.0025505542850389,0.0032524366046908,0.0398410647832706
WCST,WCST Tau Slope (Q4-Q1),wcst_tau_slope,43,-451.5269203965578,143.9587069225024,0.0033994744648957,0.1780833554698261
WCST,WCST HMM P(Lapse->Focus),wcst_hmm_trans_to_focus,212,-0.0774181711226868,0.0261322213849939,0.0034114865173148,0.0398626370963909
WCST,WCST HMM P(Lapse->Lapse),wcst_hmm_stay_lapse,212,0.077418171122687,0.0261322213849939,0.0034114865173148,0.0398626370963911
WCST,WCST RT Slope within Category,wcst_rt_slope_within_category,212,-12.583494880840115,4.409284225266194,0.0047624258520214,0.0380009440067526
WCST,WCST Recovery RT Lag1,wcst_recovery_rt_lag1,209,210.97300552336432,74.81965011012953,0.0052848204784657,0.0373850216006811
WCST,WCST Recovery RT Lag2,wcst_recovery_rt_lag2,209,145.6965584051786,53.51616930040088,0.0070460241117724,0.0340695423813559
WCST,WCST HMM2D Focus Dwell Mean,wcst_hmm2d_focus_dwell_mean,212,1.3364319073197566,0.5020580039379643,0.0083860387319913,0.0331899776341949
WCST,WCST Recovery RT Slope,wcst_recovery_rt_slope,209,-39.403197295830985,15.008005409636333,0.0093149353180761,0.0327943240097333
WCST,WCST Block PE Initial,wcst_block_pe_initial,212,0.0134233585335661,0.0055738304325,0.016912836498538,0.0263606615178491
WCST,WCST Post-Error Slowing (ms),wcst_pes,211,165.88700740426066,70.66216735990645,0.0198522015670885,0.0261760929119412
WCST,WCST RL beta,wcst_rl_beta,212,-0.2397063127114742,0.1031790276525263,0.0211484609018995,0.0244258981525644
WCST,WCST Switch Cost Error k2,wcst_switch_cost_error_k2,209,0.047183821457433,0.0203101155282463,0.0211652783331281,0.0248608532527062
WCST,WCST Slow-State Prob (Post-Error),wcst_slow_prob_post_error,211,0.060366546680673,0.0280717446426041,0.0326969824532492,0.0217198937587294
