,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT
UCLA,1.0,0.6630124738444944,0.49718566679008425,0.5499267615364971,0.013367105175904162,-0.1125489234791619,0.22262854825669243,0.15695138919610332,0.08595914450170829,0.11191066070234754
DASS-Dep,0.6630124738444944,1.0,0.6587191775051929,0.6672201699450862,-0.03116116567168648,-0.14643063805942103,0.09477980865481718,-0.022296426070593935,0.0697486196307385,-0.09312590934202736
DASS-Anx,0.49718566679008425,0.6587191775051929,1.0,0.7517039134317044,0.012214549544449057,-0.12990340050982027,0.13114847805006313,-0.06787716417125808,0.0015467145100756478,-0.08488436033835671
DASS-Str,0.5499267615364971,0.6672201699450862,0.7517039134317044,1.0,0.01546121387247543,-0.13575718416556304,0.11291831749179833,-0.04884553642870586,-0.029982315117032334,-0.03178414178859387
Stroop Interference RT,0.013367105175904162,-0.03116116567168648,0.012214549544449057,0.01546121387247543,1.0,0.06642033689905437,0.08872939683653275,0.18996582253737995,0.13303234540018238,0.10813286029630159
WCST PE Rate,-0.1125489234791619,-0.14643063805942103,-0.12990340050982027,-0.13575718416556304,0.06642033689905437,1.0,0.007167017154707283,0.02221207004497819,0.14337677969106383,-0.10779830543781803
Stroop Interference RT Slope,0.22262854825669243,0.09477980865481718,0.13114847805006313,0.11291831749179833,0.08872939683653275,0.007167017154707283,1.0,0.07126550000304127,0.08230627253949682,0.0100372130524805
WCST Confirmation RT,0.15695138919610332,-0.022296426070593935,-0.06787716417125808,-0.04884553642870586,0.18996582253737995,0.02221207004497819,0.07126550000304127,1.0,0.6037851549378696,0.6601616665283406
WCST Exploitation RT,0.08595914450170829,0.0697486196307385,0.0015467145100756478,-0.029982315117032334,0.13303234540018238,0.14337677969106383,0.08230627253949682,0.6037851549378696,1.0,-0.2001601326242668
WCST Confirm - Exploit RT,0.11191066070234754,-0.09312590934202736,-0.08488436033835671,-0.03178414178859387,0.10813286029630159,-0.10779830543781803,0.0100372130524805,0.6601616665283406,-0.2001601326242668,1.0
