outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_ols,p_ucla_wald,ucla_beta,ucla_se,ucla_t,ucla_p,delta_r2_interaction,p_interaction_ols,p_interaction_wald,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p
WCST Perseverative Error Rate,pe_rate,197,0.0022551151733318,0.0344507128099254,0.0344904729918885,0.0344905183637795,0.0321955976365935,0.0987021509955256,3.976018196316655e-05,0.9296081616219352,0.9296081616219352,-0.0533825218494116,0.6034987655667245,-0.0884550638629426,0.9296081616218428,4.537189102205019e-08,0.9976252875695172,0.9976252875695172,z_ucla_score:C(gender_male)[T.1],-0.0026968793961565,0.9049309746592422,-0.0029802045367848,0.9976252875682912,119,0.0539688246631316,0.7160602959659872,0.9400543091687644,78,-0.1256650270865902,1.1102812669783324,0.9102004217024304
Stroop Interference Effect,stroop_interference,197,0.0092898638276913,0.0147924447718661,0.0177322015180403,0.0251736964018615,0.0055025809441747,0.7851466772110198,0.0029397567461741,0.4517345887397054,0.4517345887396801,7.528208792668106,9.98329974276947,0.7540802126191298,0.4517345887396812,0.0074414948838211,0.231195973812916,0.2311959738129245,z_ucla_score:C(gender_male)[T.1],17.912624876937137,14.912891386758917,1.201150361280152,0.2311959738129205,119,1.8845676088745087,13.097310234942096,0.8858438916250637,78,12.565278785880029,15.478667851685136,0.4195933776513526
PRP Delay Effect,prp_bottleneck,197,0.0914816240207598,0.0972710255703661,0.1050312873377501,0.1186249382320617,0.0057894015496062,0.747205711513741,0.0077602617673839,0.2008644583497039,0.2008644583497039,18.501996146546997,14.414763675367777,1.2835448824016142,0.2008644583497074,0.0135936508943116,0.0894020690335242,0.0894020690335272,z_ucla_score:C(gender_male)[T.1],36.621964422379534,21.449790617464725,1.7073343547028104,0.0894020690335255,119,14.06390182380452,18.17484103142824,0.4406581330593775,78,13.047815539363915,21.847049981770585,0.5522243425077387
WCST Accuracy (%),wcst_accuracy,197,0.0037339546228015,0.0064761682859437,0.0088634340537323,0.0167410149560064,0.0027422136631422,0.9127370910018632,0.0023872657677885,0.4995532198982041,0.499553219898214,0.6825303033042383,1.008931082800991,0.6764885282445655,0.4995532198982073,0.007877580902274,0.2200267450879113,0.2200267450879112,z_ucla_score:C(gender_male)[T.1],-1.854219604220732,1.5068422618278772,-1.2305333153925937,0.22002674508791,119,1.1728730483200422,1.248509254360154,0.349519513604441,78,0.1668314209805144,1.7693893967264749,0.925142630813916
WCST Mean Reaction Time (ms),wcst_mean_rt,197,0.0540033964904971,0.061975195277955,0.0764508806518876,0.078088311232735,0.0079717987874579,0.6547340831636939,0.0144756853739326,0.0860264149265008,0.0860264149265008,64.84856661963,37.578030299908285,1.7257042506506328,0.0860264149265011,0.0016374305808474,0.5630189656168336,0.563018965616858,z_ucla_score:C(gender_male)[T.1],32.617858287823594,56.29732396603099,0.5793855904679368,0.5630189656168562,119,58.373964454934814,49.70365684019327,0.2426878995401517,78,58.94268296723561,59.02586398000626,0.3213372696248979
WCST Reaction Time SD,wcst_sd_rt,197,0.0011150276707783,0.0073235630273441,0.0339998429297443,0.0358209868660808,0.0062085353565658,0.7544514652768167,0.0266762799024001,0.0230839738266732,0.0230839738266736,80.5225465137345,35.15334578903862,2.290608324936249,0.0230839738266741,0.0018211439363364,0.5509013605795559,0.5509013605795559,z_ucla_score:C(gender_male)[T.1],31.464452830427724,52.66183434935858,0.5974811401686573,0.550901360579559,119,58.043911428831024,44.42396291446417,0.194004966988265,78,117.46007182644723,60.28583334354943,0.0552666304849974
WCST Perseverative Error Count,pe_count,197,0.0005651716069298,0.0285697613254354,0.0287273832203596,0.0287283727773752,0.0280045897185056,0.1421209936534067,0.0001576218949241,0.8607983820848102,0.8607983820849043,-0.1389417215316771,0.7912581119090305,-0.1755959521178987,0.8607983820848515,9.89557015662612e-07,0.988943121146742,0.9889431211461396,z_ucla_score:C(gender_male)[T.1],-0.0164640999572019,1.1864707391933464,-0.0138765326554917,0.98894312114615,119,-0.0247218031605992,0.9381885661548898,0.97902419907306,78,-0.2684852429330607,1.469021257402641,0.855496294203772
WCST Post-Error Slowing (ms),wcst_pes,196,0.0053886863978355,0.0098469543797226,0.0303858714470148,0.0303901974320222,0.004458267981887,0.8360753482420766,0.0205389170672922,0.0468367304510188,0.0468367304510207,145.33675230376352,72.63655629011794,2.0008761390514365,0.0468367304510197,4.325985007325173e-06,0.9769259173568404,0.9769259173568404,z_ucla_score:C(gender_male)[T.1],-3.153123065209215,108.87244860176148,-0.0289616253304162,0.9769259173567894,118,96.63461238975344,102.5654391743068,0.3481307896516622,78,240.23712958882783,97.01998557515104,0.0156320299320589
WCST Post-Switch Error Rate,wcst_post_switch_error_rate,195,0.0191651886613501,0.0547501488710073,0.0558634774579397,0.0580270611097893,0.0355849602096571,0.0718075687673602,0.0011133285869323,0.6383009521301375,0.6383009521301691,-0.0065625042106387,0.0139378693469405,-0.4708398426822111,0.638300952130169,0.0021635836518496,0.5130331644517255,0.5130331644517052,z_ucla_score:C(gender_male)[T.1],0.0140601073786495,0.0214536011280045,0.6553728343674731,0.5130331644517003,118,-0.0057693043404136,0.0185095957127991,0.7558536091705357,77,-0.0093303941693828,0.0215678820305981,0.66661228064873
WCST Reaction Time Coefficient of Variation,wcst_cv_rt,197,0.0451251436771266,0.0566702518191254,0.0665170166163697,0.0678017311180984,0.0115451081419988,0.506900415718279,0.0098467647972443,0.1585012871242856,0.1585012871242901,0.0209537786580246,0.0148010311320333,1.4156972221127948,0.1585012871242943,0.0012847145017286,0.6103919817474646,0.6103919817474501,z_ucla_score:C(gender_male)[T.1],0.0113191043213524,0.0221784909703556,0.5103640430939062,0.6103919817474419,119,0.0078183273784009,0.0176444996377945,0.6585385123644113,78,0.0493564664335011,0.0269030499919529,0.0706955108430755
