Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,212,20.382075471698112,3.371227494388591,-20.0,29.0,20.0,-7.890546147286645,95.62434528147098
Total,UCLA Loneliness,ucla_score,212,40.632075471698116,11.114932078212703,20.0,73.0,40.0,0.3638200267347495,-0.34935815301918893
Total,DASS-21 Depression,dass_depression,212,7.632075471698113,7.983187869704521,0.0,42.0,4.0,1.7003855579895777,3.275376052130616
Total,DASS-21 Anxiety,dass_anxiety,212,5.613207547169812,5.917394640475453,0.0,28.0,4.0,1.3393539001243913,1.4962420762913053
Total,DASS-21 Stress,dass_stress,212,10.10377358490566,7.659123042970116,0.0,42.0,8.0,0.8813232677801001,0.7254846663498684
Total,Stroop Interference RT,stroop_interference,212,139.4661616695092,104.26386222396147,-94.169444443658,480.58873015959125,126.61484127514927,0.736520483219202,0.47536208567548055
Total,Stroop Interference RT Slope,stroop_interference_slope,212,-0.1310960858213698,61.662581782820695,-235.14087301588336,170.47859199124758,-2.8887500073245214,0.07156242220890317,0.7938555033181185
Total,WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,212,10.69543862806551,6.099151005418849,0.0,48.4375,9.938271604938272,1.96669140651806,7.821860235501456
Total,WCST Exploration RT (ms),wcst_exploration_rt,209,2007.0028967023013,613.2734696808624,536.0000000000127,4363.5999999940395,1932.449999999255,0.8435834713489593,1.312258708647886
Total,WCST Confirmation RT (ms),wcst_confirmation_rt,212,1875.5265356389418,515.2125289592448,939.1555555555582,4211.099999984105,1825.0722222202264,1.1412559623870138,2.5031266638770813
Total,WCST Exploitation RT (ms),wcst_exploitation_rt,212,1379.3290996821383,394.9814205643404,779.4190476196153,3804.479268292465,1330.1702380535148,2.5110933488160634,10.923855032389676
Male,Age (years),age,82,21.109756097560975,2.119900402744184,18.0,29.0,21.0,0.6689275702592846,0.5159336904796339
Male,UCLA Loneliness,ucla_score,82,38.073170731707314,11.674368344458545,20.0,73.0,36.0,0.7460022485762042,0.16508290849719476
Male,DASS-21 Depression,dass_depression,82,6.146341463414634,7.973911088970254,0.0,42.0,2.0,1.9484973504251282,4.435090824581635
Male,DASS-21 Anxiety,dass_anxiety,82,4.804878048780488,6.276428614887912,0.0,28.0,2.0,1.693078873648795,2.529127432756969
Male,DASS-21 Stress,dass_stress,82,9.073170731707316,8.30406785309239,0.0,42.0,8.0,1.2167648139652651,1.82872315114769
Male,Stroop Interference RT,stroop_interference,82,130.4919923810275,97.37570091648867,-81.85087301267515,398.02023810488845,121.97418300639168,0.5389495027808417,0.19517645492460023
Male,Stroop Interference RT Slope,stroop_interference_slope,82,6.056398107562957,63.87441541080208,-111.79780194736148,170.47859199124758,-3.223265692846056,0.5089421811764114,-0.1319971785366345
Male,WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,82,10.383587695737766,6.556746538046615,0.0,48.4375,9.549006838163464,2.7612636996610935,13.059587514340457
Male,WCST Exploration RT (ms),wcst_exploration_rt,81,1928.6295055527603,586.4433831155724,926.3374999999942,3960.0843137105308,1800.1375000476837,0.8090505430325112,0.5748644229509923
Male,WCST Confirmation RT (ms),wcst_confirmation_rt,82,1767.110115174354,464.2267324378983,939.1555555555582,3163.8055555423102,1715.561111095879,0.5658918428062051,0.23318078141935672
Male,WCST Exploitation RT (ms),wcst_exploitation_rt,82,1262.5979686487342,305.2744350478383,779.4190476196153,2185.01395348962,1197.3274308263462,0.9710977035864603,0.7925818344238613
Female,Age (years),age,130,19.923076923076923,3.9011335752998186,-20.0,29.0,20.0,-8.161009929430167,83.01178127137466
Female,UCLA Loneliness,ucla_score,130,42.246153846153845,10.474081365029784,20.0,70.0,42.0,0.18050517489426918,-0.4436264508957355
Female,DASS-21 Depression,dass_depression,130,8.569230769230769,7.875916052578454,0.0,38.0,6.0,1.6438437572276507,2.9336588106565307
Female,DASS-21 Anxiety,dass_anxiety,130,6.123076923076923,5.644528646171248,0.0,26.0,4.0,1.1334681862771223,0.9075743636669302
Female,DASS-21 Stress,dass_stress,130,10.753846153846155,7.179926300567036,0.0,30.0,10.0,0.6647296497106301,-0.2027209178072198
Female,Stroop Interference RT,stroop_interference,130,145.12679152839766,108.36907203513225,-94.169444443658,480.58873015959125,129.90316058786442,0.7989028528087179,0.4598509215056219
Female,Stroop Interference RT Slope,stroop_interference_slope,130,-4.033977038571484,60.147428472088244,-235.14087301588336,156.99536047284926,-1.5192182350360737,-0.27993673210039854,1.293747598072006
Female,WCST Perseverative Error Rate (%),wcst_perseverative_error_rate,130,10.892144600764553,5.809545091831675,0.0,32.03125,10.119470914521404,1.268380205993324,2.623477927468178
Female,WCST Exploration RT (ms),wcst_exploration_rt,128,2056.598558289121,626.8535244719958,536.0000000000127,4363.5999999940395,1981.994583365096,0.8494531113521069,1.6218054832249633
Female,WCST Confirmation RT (ms),wcst_confirmation_rt,130,1943.912277778143,535.4187894918558,1018.8333333333334,4211.099999984105,1856.4194444451196,1.3410425167794582,2.8815948971155363
Female,WCST Exploitation RT (ms),wcst_exploitation_rt,130,1452.9595054109013,427.2451459048746,907.92500000003,3804.479268292465,1395.7994047624193,2.7808256834474796,11.058407475866014
