﻿task,outcome,outcome_column,n,r2,ucla_beta,ucla_se,ucla_t,ucla_p
overall,WCST Pre-Error RT Slope (Mean),wcst_pre_error_slope_mean,193,0.059765422798712,38.18402711884033,11.596272620276533,3.2927845325121177,0.001184024079317011
overall,WCST Fast Run Mean (correct),wcst_fast_run_mean_correct,197,0.05388018799611938,0.08144605457489248,0.028964000321033623,2.811975337389651,0.0054324719634579926
overall,WCST HMM P(Lapse->Lapse),wcst_hmm_stay_lapse,197,0.04551976323264084,0.054956503929512186,0.019948187924472102,2.754962211985805,0.0064317321714653835
overall,WCST HMM P(Lapse->Focus),wcst_hmm_trans_to_focus,197,0.04551976323264095,-0.05495650392951216,0.019948187924472102,-2.7549622119858035,0.006431732171465414
overall,WCST Switch Cost Error k4,wcst_switch_cost_error_k4,195,0.03980934312010176,-0.0391851255629658,0.01438359227555956,-2.724293404057951,0.007041965856578797
overall,WCST Slow-State Prob (Shift k0),wcst_slow_prob_shift_k0,196,0.06120866925971902,0.03427003348422694,0.012934771049822007,2.6494503344686975,0.008733958788988591
overall,WCST Slow Run Mean (correct),wcst_slow_run_mean_correct,197,0.04538819684392825,0.07738825326491108,0.030037806434336886,2.57636167388198,0.01073169968853695
overall,WCST Recovery RT Slope,wcst_recovery_rt_slope,194,0.03549234705897597,-28.927708778067636,11.452447684969357,-2.5258974826869105,0.012356893208060328
overall,WCST RL Stickiness,wcst_rl_stickiness,197,0.04164391338984463,0.061724718624999585,0.02452269939548778,2.517044213996973,0.012648208600259317
overall,WCST Switch Cost Error k5,wcst_switch_cost_error_k5,195,0.027748243279795748,-0.026299837460769776,0.011841442517115889,-2.22099946208035,0.027526028663153745
overall,WCST Perseverative Responses (trial-derived),wcst_perseverative_responses,197,0.02505454657374495,-1.798309815807773,0.8297914253268383,-2.1671829340722035,0.031445721623009716
overall,Stroop Recovery RT Slope,stroop_recovery_rt_slope,37,0.1759699599637513,24.10550922087899,10.751467533541998,2.242066875584713,0.03179708304140946
overall,Stroop Incongruent RT Slope,stroop_incong_slope,197,0.03381117790179056,0.34028759998669517,0.1578874756955084,2.155253914141688,0.03238029223565657
overall,WCST Trials per Category Mean,wcst_trials_per_category_mean,197,0.024413160292034997,1.7132901434600338,0.797527539147009,2.1482520155886697,0.0329399445040292
overall,WCST WSLS P(shift|win),wcst_wsls_p_shift_win,197,0.0246161362034073,0.014336718124204674,0.006682225468998671,2.1455005058895487,0.033162142208578785
overall,WCST WSLS P(stay|win),wcst_wsls_p_stay_win,197,0.02461613620340697,-0.014336718124204622,0.0066822254689986715,-2.1455005058895407,0.03316214220857941
overall,WCST RT IQR (correct),wcst_iqr_rt_correct,197,0.04128092767783298,42.20921582483876,19.723119959224558,2.140088176318037,0.03360298842057282
overall,WCST HMM2D State Entropy,wcst_hmm2d_state_entropy,197,0.029009685922032902,-0.0178088386216446,0.008379725612711077,-2.125229326677552,0.034839334001328895
overall,WCST Post-Switch Error Rate,wcst_post_switch_error_rate,195,0.0413329031266918,-0.0220279187360237,0.010481663992689086,-2.101566960302112,0.03690260916320224
overall,WCST Perseverative Response Percent (trial-derived),wcst_perseverative_response_percent,197,0.02374003196315877,-1.2415060898378962,0.5949114494272116,-2.0868754350470717,0.038212948959085294
overall,WCST Accuracy Slope within Category,wcst_acc_slope_within_category,197,0.032864296214076494,-0.0020747748976218,0.0009962404040978487,-2.0826046495279664,0.03860538364136445
overall,WCST Switch Cost Error k1,wcst_switch_cost_error_k1,196,0.042481097070177776,-0.04003871158449209,0.019492491659298294,-2.0540581616918563,0.041325163568100926
overall,WCST Recovery RT Lag1,wcst_recovery_rt_lag1,194,0.04206823627770373,114.48881132854225,55.88647077238431,2.0485961941457154,0.04187673989156618
overall,WCST Categories Completed,wcst_categories_completed,197,0.021059825179428726,-0.10763668054039341,0.05305905227210705,-2.028620488515164,0.043870914779268924
overall,WCST RL alpha Decay,wcst_rl_alpha_decay,197,0.02453219079938118,-0.006087638056751616,0.003024950316383148,-2.0124753863826896,0.04555981909103408
