task,model_type,analysis,effect,beta,se,stat_type,stat,p,n,n_trials,n_participants,scale,segment,source
stroop,OLS,interference_slope_ols,ucla_beta,19.033214665526824,6.009235993343511,,,0.0017927367700058,197.0,,197.0,ms,,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\reviewer_response\primary_dv_results.csv
stroop,OLS,trial_level_ols_segment_x_ucla,segment_x_ucla,-0.0111553540761958,1.7399488409323798,t,-0.0064113115361587,0.994884610088298,,20985.0,197.0,ms,,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\reviewer_response\stroop_trial_level_ols.csv
stroop,LMM,interference_slope_lmm,trial_scaled_x_cond_x_ucla,0.0579833518814464,0.0167131764297884,z,3.46931967869979,0.000521778196711,,13950.0,197.0,log_rt,,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\reviewer_response\stroop_interference_slope_lmm.csv
wcst,OLS,segment_rt_ols,wcst_switch_first_trial_rt,113.0441746779306,54.59414074314042,t,2.070628333721586,0.0396585638244552,210.0,,210.0,ms,shift_trial,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
wcst,OLS,segment_rt_ols,wcst_post_shift_error_rt_mean,218.61797632320628,89.31591318348765,t,2.447693457201571,0.0152443132928213,206.0,,206.0,ms,post_shift_error,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
wcst,OLS,segment_rt_ols,wcst_exploration_rt_mean,98.14892976232,50.378739714210326,t,1.9482212202826332,0.0527877409687383,207.0,,207.0,ms,exploration,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
wcst,OLS,segment_rt_ols,wcst_confirmation_rt_mean,145.94805245553974,47.39799141653209,t,3.079203318405473,0.0023641288504512,209.0,,209.0,ms,confirmation,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
wcst,OLS,segment_rt_ols,wcst_exploitation_rt_mean,-2.64257380734614,31.6459698825848,t,-0.0835042761258641,0.9335332705203768,209.0,,209.0,ms,exploitation,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
wcst,OLS,segment_rt_ols,wcst_exploration_rt_slope,17.945716427083703,41.42743090912177,t,0.4331843909522349,0.665402353307575,186.0,,186.0,ms,exploration,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
wcst,OLS,segment_rt_ols,wcst_confirmation_rt_slope,-126.53244316726548,47.258368100698064,t,-2.6774611196402365,0.008028266028254,209.0,,209.0,ms,confirmation,C:\Users\ansel\my_research_exporter\publication\data\outputs\analysis\wcst\wcst_segment_rt_regression_nodiscovery_nopreswitch_ols.csv
