term,beta,se,z,p,re_formula,method,converged,fit_note
Intercept,7.204472806667004,0.019874557847745472,362.49726217100545,0.0,1,powell,True,
"C(category_num, Treatment(1))[T.2]",0.0810421807423152,0.012721986137742383,6.370245955691379,1.8872530333130787e-10,1,powell,True,
"C(category_num, Treatment(1))[T.3]",-0.03681157168149705,0.013294439581524424,-2.7689449755110327,0.005623813214576032,1,powell,True,
"C(category_num, Treatment(1))[T.4]",-0.11132431404036719,0.013272373690185118,-8.387671763845166,4.9586438296133305e-17,1,powell,True,
"C(category_num, Treatment(1))[T.5]",-0.014874994120283983,0.013564731069609034,-1.096593367310504,0.2728191882133678,1,powell,True,
"C(category_num, Treatment(1))[T.6]",-0.18184370135884034,0.013909127262470287,-13.073695993097454,4.654777479006891e-39,1,powell,True,
"C(phase, Treatment('exploitation'))[T.exploration]",0.6163095052823836,0.018246595786036716,33.77668429274994,4.33896405808421e-250,1,powell,True,
"C(phase, Treatment('exploitation'))[T.confirmation]",0.3225477207293282,0.018352679943516116,17.574965711930382,3.8312187907070746e-69,1,powell,True,
"C(category_num, Treatment(1))[T.2]:C(phase, Treatment('exploitation'))[T.exploration]",-0.7086175410412981,0.02494416325640252,-28.40815038601924,1.6037658721483424e-177,1,powell,True,
"C(category_num, Treatment(1))[T.3]:C(phase, Treatment('exploitation'))[T.exploration]",-0.49209678294750836,0.026412701423779102,-18.63106598041798,1.7990526243943054e-77,1,powell,True,
"C(category_num, Treatment(1))[T.4]:C(phase, Treatment('exploitation'))[T.exploration]",-0.43594765274661784,0.026549972150405624,-16.41989115005371,1.3781373194496198e-60,1,powell,True,
"C(category_num, Treatment(1))[T.5]:C(phase, Treatment('exploitation'))[T.exploration]",-0.6575621045735562,0.028121164064221677,-23.383175144238322,6.33904171917227e-121,1,powell,True,
"C(category_num, Treatment(1))[T.6]:C(phase, Treatment('exploitation'))[T.exploration]",-0.44258106692032656,0.028997042111795934,-15.262972865093904,1.3495697369107296e-52,1,powell,True,
"C(category_num, Treatment(1))[T.2]:C(phase, Treatment('exploitation'))[T.confirmation]",-0.23452220564198398,0.025992598177277837,-9.022653450896579,1.8358759301531723e-19,1,powell,True,
"C(category_num, Treatment(1))[T.3]:C(phase, Treatment('exploitation'))[T.confirmation]",-0.09506823697296563,0.026335754430257794,-3.609854322750648,0.0003063690182129115,1,powell,True,
"C(category_num, Treatment(1))[T.4]:C(phase, Treatment('exploitation'))[T.confirmation]",-0.14688825712216608,0.026371245104136833,-5.570015998187505,2.5471594597336582e-08,1,powell,True,
"C(category_num, Treatment(1))[T.5]:C(phase, Treatment('exploitation'))[T.confirmation]",-0.21446932029216895,0.026649754973553094,-8.047703271756374,8.436218109876044e-16,1,powell,True,
"C(category_num, Treatment(1))[T.6]:C(phase, Treatment('exploitation'))[T.confirmation]",-0.12215105481798676,0.02694019738079089,-4.534155896908308,5.783430253110504e-06,1,powell,True,
z_ucla_score,0.021364003067442405,0.02110148382242853,1.0124407955015395,0.3113273409270392,1,powell,True,
"C(category_num, Treatment(1))[T.2]:z_ucla_score",0.01823731503904634,0.01317106130096005,1.3846503802785435,0.16615939842218252,1,powell,True,
"C(category_num, Treatment(1))[T.3]:z_ucla_score",-0.004357417886574782,0.013871971008125794,-0.3141167094439813,0.7534323990702486,1,powell,True,
"C(category_num, Treatment(1))[T.4]:z_ucla_score",-0.01925811747790848,0.013533609129014312,-1.4229846077511992,0.15474061734795602,1,powell,True,
"C(category_num, Treatment(1))[T.5]:z_ucla_score",-0.0051118480528247615,0.01368543664028529,-0.37352465889010894,0.7087579960479453,1,powell,True,
"C(category_num, Treatment(1))[T.6]:z_ucla_score",-0.0014890837650077707,0.01410177641275527,-0.10559547403268087,0.9159033158736973,1,powell,True,
"C(phase, Treatment('exploitation'))[T.exploration]:z_ucla_score",0.008770237923219851,0.01825181257636856,0.48051325787637506,0.6308624782600787,1,powell,True,
"C(phase, Treatment('exploitation'))[T.confirmation]:z_ucla_score",-0.00784151031185823,0.01837813869668488,-0.4266759785240228,0.669615349241838,1,powell,True,
"C(category_num, Treatment(1))[T.2]:C(phase, Treatment('exploitation'))[T.exploration]:z_ucla_score",-0.027226567996081055,0.025796011979126586,-1.0554564797888928,0.2912166034695408,1,powell,True,
"C(category_num, Treatment(1))[T.3]:C(phase, Treatment('exploitation'))[T.exploration]:z_ucla_score",0.017546726974835582,0.02769685639952622,0.6335277448720041,0.5263890685811228,1,powell,True,
"C(category_num, Treatment(1))[T.4]:C(phase, Treatment('exploitation'))[T.exploration]:z_ucla_score",0.04926854713331754,0.027303963957530063,1.8044466807073243,0.07116131069468964,1,powell,True,
"C(category_num, Treatment(1))[T.5]:C(phase, Treatment('exploitation'))[T.exploration]:z_ucla_score",0.004507645211998723,0.027922268035225902,0.16143549679818314,0.8717504109116541,1,powell,True,
"C(category_num, Treatment(1))[T.6]:C(phase, Treatment('exploitation'))[T.exploration]:z_ucla_score",0.003954932381634495,0.030444676519250584,0.12990554782652192,0.8966411549551404,1,powell,True,
"C(category_num, Treatment(1))[T.2]:C(phase, Treatment('exploitation'))[T.confirmation]:z_ucla_score",0.016528869586988734,0.02635733549047015,0.6271069999835518,0.5305890989430198,1,powell,True,
"C(category_num, Treatment(1))[T.3]:C(phase, Treatment('exploitation'))[T.confirmation]:z_ucla_score",0.03390643178644947,0.02678335354728548,1.2659516937111082,0.20553037735007496,1,powell,True,
"C(category_num, Treatment(1))[T.4]:C(phase, Treatment('exploitation'))[T.confirmation]:z_ucla_score",0.05623835793859288,0.02660799178075354,2.113588969885055,0.03455038875315426,1,powell,True,
"C(category_num, Treatment(1))[T.5]:C(phase, Treatment('exploitation'))[T.confirmation]:z_ucla_score",0.05447746988820218,0.026721137471883143,2.0387406765720644,0.04147591578595597,1,powell,True,
"C(category_num, Treatment(1))[T.6]:C(phase, Treatment('exploitation'))[T.confirmation]:z_ucla_score",0.017244556347008354,0.027087110969661134,0.6366332816490872,0.5243637412065796,1,powell,True,
post_error_code,0.2876285802357454,0.00840907877726614,34.20452915881182,2.0706736316402432e-256,1,powell,True,
post_error_code:z_ucla_score,-0.020808623685983532,0.008284207623453636,-2.511842367044459,0.012010272299167216,1,powell,True,
z_dass_depression,0.0014311252902613253,0.022363075426528767,0.06399501244643734,0.9489741981603482,1,powell,True,
z_dass_anxiety,-0.005537252981464441,0.02187149221693182,-0.25317216249094227,0.8001351770187505,1,powell,True,
z_dass_stress,-0.019684099287485532,0.022328396513963022,-0.8815724530499142,0.3780080572469319,1,powell,True,
z_age,-0.0003810688835332801,0.014087381956501784,-0.027050369238934738,0.9784195598678413,1,powell,True,
gender_male,-0.12381361991522179,0.02904056452675755,-4.263471524499524,2.012751607267004e-05,1,powell,True,
Group Var,0.2378611851288194,0.025258785050016858,9.416968577776494,4.642990657576243e-21,1,powell,True,
