Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,220,20.37272727272727,3.32105251212532,-20.0,29.0,20.0,-7.941523088173133,97.79101603885236
Total,UCLA Loneliness,ucla_score,220,40.52272727272727,11.035618208344683,20.0,73.0,40.0,0.37206554577437456,-0.3291093582815505
Total,DASS-21 Depression,dass_depression,220,7.609090909090909,7.904215919796617,0.0,42.0,4.0,1.6959288778366874,3.3257447405076617
Total,DASS-21 Anxiety,dass_anxiety,220,5.618181818181818,5.906395911285928,0.0,28.0,4.0,1.3300997464418989,1.4573860220090422
Total,DASS-21 Stress,dass_stress,220,10.145454545454545,7.58854744360609,0.0,42.0,10.0,0.8561031678517137,0.7303285464490212
Total,Stroop Interference RT,stroop_interference,220,139.14797737632432,103.64222498320694,-94.169444443658,480.58873015959125,126.61484127514927,0.7332375543832607,0.47121583947767887
Total,Stroop Interference RT Slope,stroop_interference_slope,220,0.11088303288642914,61.26997672904262,-235.14087301588336,170.47859199124758,-2.8887500073245214,0.0744789706185245,0.7892981221335496
Male,Age (years),age,84,21.107142857142858,2.117158001529962,18.0,29.0,21.0,0.6556100662767428,0.47103022913500103
Male,UCLA Loneliness,ucla_score,84,37.904761904761905,11.621147163185343,20.0,73.0,36.0,0.7644403906832882,0.20769578316001702
Male,DASS-21 Depression,dass_depression,84,6.071428571428571,7.905748578420512,0.0,42.0,2.0,1.9737720710934563,4.586390358642425
Male,DASS-21 Anxiety,dass_anxiety,84,4.761904761904762,6.223970467182712,0.0,28.0,2.0,1.7095116625312645,2.6300384649940485
Male,DASS-21 Stress,dass_stress,84,9.0,8.269555137289714,0.0,42.0,8.0,1.213431445949143,1.850712245618583
Male,Stroop Interference RT,stroop_interference,84,131.26641300838634,98.18201788934324,-81.85087301267515,398.02023810488845,121.97418300639168,0.5275820071871259,0.08326085456245824
Male,Stroop Interference RT Slope,stroop_interference_slope,84,7.03564583951453,63.964320052347134,-111.79780194736148,170.47859199124758,-3.223265692846056,0.48795939240203584,-0.18968089088749096
Female,Age (years),age,136,19.919117647058822,3.820132142486258,-20.0,29.0,20.0,-8.299531723222929,86.32041825983518
Female,UCLA Loneliness,ucla_score,136,42.13970588235294,10.374593463962029,20.0,70.0,42.0,0.1914806368744158,-0.42686526776985145
Female,DASS-21 Depression,dass_depression,136,8.558823529411764,7.781045065373172,0.0,38.0,6.0,1.6312261277814522,2.977409899802418
Female,DASS-21 Anxiety,dass_anxiety,136,6.147058823529412,5.660165436352946,0.0,26.0,4.0,1.1195993194726936,0.8311761896853933
Female,DASS-21 Stress,dass_stress,136,10.852941176470589,7.07476413611785,0.0,30.0,10.0,0.6376323948935535,-0.18611600841520426
Female,Stroop Interference RT,stroop_interference,136,144.01600242710956,106.94054993019792,-94.169444443658,480.58873015959125,129.90316058786442,0.8119562115479845,0.5374057174901385
Female,Stroop Interference RT Slope,stroop_interference_slope,136,-4.166176347677987,59.380959781434804,-235.14087301588336,156.99536047284926,-1.5192182350360737,-0.2754326726868492,1.326552822472376
