outcome,outcome_column,n,cov_type,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
WCST Perseverative Error Rate,pe_rate,212,OLS,0.002070308000164056,0.028888148275136083,0.029275968637669014,0.02929991967242762,-0.007479258430456381,0.00531747226239665,0.000864533573405657,-0.004008416417244032,1372.8436346772141,1373.068506430927,1374.9838258266946,1376.9785950073815,0.026817840274972027,1.8962714702849144,0.13133665001431435,0.0003878203625329313,0.08190090257441061,0.7750266999370394,0.7750266999370699,2.3951034758606937e-05,0.005033492002101382,0.9435093547590723,0.9435093547588185,-0.16490788453647842,0.57623160756287,-0.2861833373458017,0.7750266999370544,z_ucla_score:C(gender_male)[T.1],-0.0619426249292413,0.8730817574393186,-0.0709471070738143,0.9435093547588267,130,-0.11958351556210839,0.6858275695882101,0.8618639051249148,82,-0.1190010815312258,1.0715083797299483,0.9118620163839629,2.6831327529324107,2.1313195480270846,1.9052599641362802,0.964897292757029,3.6022920280138807e-13
WCST Accuracy (%),wcst_accuracy,212,OLS,0.009174811749756873,0.01291194114386518,0.01536902708766219,0.02298170116467746,-0.00030676899904924504,-0.011046506886623453,-0.013449440412211189,-0.010543436540456197,1611.8989796988442,1617.097860260971,1618.5694863077522,1618.9240392551285,0.0037371293941083072,0.2599729741364805,0.8541655162892182,0.0024570859437970105,0.5115648728665672,0.4752760022568535,0.47527600225682387,0.007612674077015269,1.5895152767992027,0.20883543579626163,0.20883543579625582,0.7320609109116334,1.0235212414331825,0.715237633843893,0.4752760022568243,z_ucla_score:C(gender_male)[T.1],-1.9476324905836724,1.5448085261264253,-1.260759801389315,0.2088354357962582,130,1.2920956270962494,1.3093253439653016,0.32564238505284493,82,0.10821619664228921,1.710534467729382,0.9497219405317734,2.6831327529324107,2.1313195480270846,8.5139544583738,0.2894592024150033,6.830465472830554e-15
WCST Mean Reaction Time (ms),wcst_mean_rt,212,OLS,0.049326238976526215,0.05896751222345564,0.07756393425548946,0.07982766163296295,0.04022888241170819,0.03612691785994726,0.05056580550199152,0.048253120610564526,3151.5777213022952,3155.4167434788533,3153.1853092035044,3154.664405853232,0.009641273246929427,0.7035188528436498,0.5509220746984116,0.01859642203203382,4.1328246565142726,0.043348327591041756,0.043348327591040035,0.00226372737747349,0.5018629290944617,0.4794914068863524,0.4794914068863425,77.64183363111037,38.19199048331827,2.0329349858060746,0.043348327591040015,z_ucla_score:C(gender_male)[T.1],40.944398606252086,57.79655303716312,0.7084228462539086,0.47949140688634917,130,71.45148781902336,51.062535635927965,0.16422146940298873,82,70.72372935019729,57.937525532863155,0.22597738603139159,2.6831327529324107,2.1313195480270846,9.136846153711925,0.24297985324136948,3.1526304376141297e-10
WCST Reaction Time SD,wcst_sd_rt,212,OLS,0.0008817900674406021,0.006496314338913067,0.027269747284515367,0.029644327495406464,-0.008679149740526526,-0.01761785278878314,-0.0012004064534989478,-0.0036521906787707614,3117.102887217887,3121.9081976501875,3119.428434008628,3120.91027755576,0.005614524271472465,0.38805157163013476,0.7617258822884203,0.0207734329456023,4.377939045239158,0.03763787080918935,0.03763787080918935,0.0023745802108910974,0.4992132026924146,0.4806522442616358,0.4806522442616158,73.79563523849015,35.26921717278453,2.0923525145728075,0.037637870809189504,z_ucla_score:C(gender_male)[T.1],37.71128314803689,53.373818993065825,0.7065502124353559,0.48065224426161823,130,47.031331865523946,44.43274590028005,0.29189263122045206,82,122.89996908627182,60.775523294923076,0.04667544504105836,2.6831327529324107,2.1313195480270846,7.55227942596696,0.37372158147822565,1.3000722195094274e-06
WCST Perseverative Error Count,pe_count,212,OLS,0.0007985328878429288,0.023352987269401493,0.023840278469899112,0.023845066133987403,-0.008763203639546191,-0.0003520373114382913,-0.004730249965128275,-0.009650446302591487,1481.5558167905222,1482.715615653119,1484.6098133380845,1486.6087735622639,0.022554454381558564,1.5857717073612039,0.19392998781090054,0.0004872912004976193,0.10233437612588966,0.7493718657424611,0.7493718657424611,4.787664088290455e-06,0.001000541451091457,0.9747969784279494,0.9747969784288049,-0.23872367671808964,0.7462506484702341,-0.3198974462634744,0.7493718657424511,z_ucla_score:C(gender_male)[T.1],-0.03576550771162079,1.1306985928688904,-0.03163133653582601,0.9747969784288186,130,-0.20994707680309369,0.878286456696485,0.8114678927511331,82,-0.2079214609214256,1.4190142324841861,0.8838947093086498,2.6831327529324107,2.1313195480270846,2.320217671566853,0.9400159824617885,2.350982684661577e-17
WCST Post-Error Slowing (ms),wcst_pes,211,OLS,0.001327429149825754,0.004912310395356001,0.03108840330729723,0.031338542246879264,-0.008275191723733588,-0.019358121058415723,0.0025910034045707464,-0.0020635769859871367,3396.2339577352786,3401.475179688625,3397.8504498713564,3399.795970050403,0.003584881245530247,0.24617617891399662,0.863995756003332,0.02617609291194123,5.511259202865768,0.01985220156708807,0.01985220156708856,0.00025013893958203415,0.05242100253780701,0.8191333517295802,0.8191333517296184,165.88700740426066,70.66216735990645,2.347607122766865,0.019852201567088473,z_ucla_score:C(gender_male)[T.1],-24.504357259878674,107.02633515944952,-0.22895633325547116,0.8191333517296222,129,134.822583881314,96.78014818216401,0.16610791492441757,82,251.66522277045084,100.5343405468738,0.014450912460440482,2.7084820024358094,2.1403668256772335,16.923968063035446,0.017893084346540186,2.1567932429183503e-07
WCST Post-Switch Error Rate,wcst_post_switch_error_rate,209,OLS,0.022913256906273882,0.056027991330138915,0.0567626607632824,0.05779721056984333,0.013426977847111443,0.032777449244674295,0.028745710092884846,0.024984178102126497,-212.36744283728746,-213.57353698786204,-211.73625970800293,-209.96561828373655,0.03311473442386503,2.3737607423045346,0.0713776645527502,0.0007346694331434866,0.15733391726738205,0.692041793652761,0.6920417936527818,0.0010345498065609249,0.22070037729830075,0.6390160477354392,0.6390160477354392,-0.005398858144365774,0.01361102208286891,-0.3966533968937483,0.6920417936527982,z_ucla_score:C(gender_male)[T.1],0.009936381723808023,0.02115079663615178,0.4697875874246914,0.6390160477354182,128,-0.0037532144953641502,0.017938179612306912,0.8346172607601348,81,-0.010241219763215828,0.021255574057725397,0.6313415307485915,2.483054301024118,2.0060421218551867,3.91075052455404,0.7899979608283851,0.008850781362458215
WCST Reaction Time Coefficient of Variation,wcst_cv_rt,212,OLS,0.036771162962475956,0.04236667899690982,0.04640752547637883,0.0477973793456008,0.02755366212958099,0.01912315178809698,0.018497501831785,0.015123760009420284,-180.66536647073605,-175.90049180207615,-174.79694342188708,-173.1061572227374,0.005595516034433867,0.40122396113158826,0.7522669680048254,0.004040846479469007,0.8686871493034668,0.3524153877203151,0.3524153877203089,0.0013898538692219686,0.29776245430454107,0.5858847519095514,0.5858847519096229,0.013887376155326772,0.014900076581565733,0.9320338777659797,0.3524153877203028,z_ucla_score:C(gender_male)[T.1],0.012310337002143044,0.022559785935138525,0.5456761441591867,0.5858847519096158,130,-0.0020958908845571285,0.017683098202073082,0.9058434045883478,82,0.049978788457827626,0.027398993579241703,0.0720661727377895,2.6831327529324107,2.1313195480270846,5.84085923167839,0.5584496445300479,0.002459592271350896
WCST Valid Trial Count,wcst_trials,212,OLS,0.0008567431030772621,0.0022022087787352262,0.008144011915090843,0.008254785382427299,-0.008704436388759396,-0.022016184212072076,-0.02088591944349183,-0.02577568766817584,1843.3613205969098,1849.0756448963973,1849.8094286102214,1851.7857504887645,0.0013454656756579642,0.0925925511909194,0.9640634256124182,0.005941803136355617,1.2280710683662666,0.26908097338115206,0.2690809733811583,0.00011077346733645577,0.0227858798848289,0.8801643754878579,0.8801643754878579,-1.9568742947305426,1.7658393010546407,-1.1081836798862768,0.2690809733811571,z_ucla_score:C(gender_male)[T.1],0.40385272943208794,2.675408611100222,0.1509499250905115,0.8801643754878322,130,-1.1378324749368938,2.193152498940849,0.6048169419273847,82,-4.375076623980447,3.0814464355343145,0.15975127481748078,2.6831327529324107,2.1313195480270846,4.057234165477192,0.7731620591401052,2.1662945875546784e-11
WCST HMM Lapse Occupancy (%),wcst_hmm_lapse_occupancy,212,OLS,0.0077083836468606615,0.02552374578291705,0.037040168776441895,0.03732344568397927,-0.0017872299067578368,0.0018714095155121235,0.008855978594288993,0.004290426663331459,1608.6434532623211,1610.8026745587915,1610.2823225858547,1612.2199487075025,0.01781536213605639,1.2553631020238547,0.29081145850292,0.011516422993524844,2.451677252905569,0.11894168413039123,0.11894168413038742,0.00028327690753737755,0.060028977415666644,0.806696428650233,0.8066964286502688,1.5715931873508917,1.0037105492733311,1.5657832713711115,0.11894168413039001,z_ucla_score:C(gender_male)[T.1],0.3725531744459296,1.5205748239948942,0.24500811704033618,0.8066964286502558,130,1.0729698819464495,1.1989086347845817,0.3725447909713012,82,2.4562624030087097,1.8509055473370262,0.18846207124971315,2.6831327529324107,2.1313195480270846,5.800976585826067,0.5631711795036181,2.091826968721375e-06
