participant_id,wcst_exg_mu,wcst_exg_sigma,wcst_exg_tau,wcst_exg_correct_mu,wcst_exg_correct_sigma,wcst_exg_correct_tau
06qcrpGKL6Vc3LVplFQC90VAcRm1,600.1022625858225,77.26264548649947,480.95271947623036,504.5009175793756,10.0,530.146497099916
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,702.7754294148566,10.0,575.1189847963184,761.3943195323515,49.97792087076521,477.08118819605875
0d841i8KPjdjwCYfDuUUXj0SEjH2,821.4437999286594,163.38274524113174,897.0182034012322,867.8949029807981,172.33543796817068,839.6332157962598
0oa5NYVnIBS9NmrmRAZrahXDctP2,562.9689387261778,49.06412668004169,346.9193125847041,566.7376899532281,52.050755112564964,297.2178916740307
146QT9LupyU2BAiTsB3PMIpVXM22,719.7859077911405,123.81800915966218,413.29121779524064,716.6188744559556,124.46392326514356,372.4933554758189
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,681.0678522255342,10.0,1316.1533319937646,680.6533153127731,10.0,1210.5803294482716
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,780.6495024891385,78.31014415272081,1011.4700903218305,778.2344745412622,77.00947114002122,893.0229112902832
1fbLQPCcysVlSKup96K4yI5NX6G3,856.232171873831,171.2574774308138,573.4554536246575,879.3664458380398,193.46942775853017,456.83721230056176
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,818.0709834618893,124.2908971371888,732.9519165330743,887.8845085799783,158.0373445975119,540.2857267202991
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,838.5995721085162,186.76023304509255,635.2343569443183,679.5595590931998,10.0,895.8903097976691
23AEyocWhqY955WHbxhHRSgQ1ms2,770.4545846247968,138.4204622128152,668.6073301115133,786.4571978297867,150.24484692832033,497.7964362241507
23hG7h2ByUZDbmOMTDtp0HT0xRb2,508.24201573742334,10.0,1644.7108324995772,504.89436632136824,10.0,1374.9224501667272
28nQWMwCaSNFBEXlicY3eHqpwKU2,1144.53420007835,175.5459183401868,546.1249126782772,1165.4531268548146,195.99531889087143,483.33243825061135
2FHuv7L9nWPdbIiWHRIuXtcoyw83,835.8902879725059,233.62584436283578,483.41843182632164,795.3325261669346,217.10073202740008,485.72173705439053
2h5FgHUEvBS1twD5DqbTIRrMm1f2,636.3903896965091,102.1458198037569,1328.316934390392,661.1914199916455,81.15225403682356,1018.4619997451742
2zDXvJKvjeejeOSNbtDbtSI5cdz1,826.9989391737141,128.45088811501685,824.3455102289366,815.077221431089,126.6742003678372,795.4305808583932
3FSnTCSiUodLp5u3bE0xaUjLk0b2,851.2233806145467,106.11020312292293,497.52217401676927,873.1872068704744,99.18429874456405,407.8667246102808
3WijiOiVCoMbn80F05SPYsxl0TC2,775.5487503815143,105.6360160337187,779.4138900020403,790.5797684572503,112.96891908118415,547.7487316997261
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,762.5816551617787,128.36939578172394,483.1759764450077,762.6760265371694,128.1786238304306,497.1671166664451
3xCaqfcHxRQxuOlEzXz3PNcHODH2,725.48452882193,122.98800516397252,643.0167692430712,734.1739654620451,128.374448462576,566.2596602128239
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,658.5146786837498,114.11921225168666,649.8101850486789,658.73859503472,118.47960799886488,607.041563936552
50R0P1MIMvRvK1qpqfGROchII6R2,746.446361183229,169.14152621928,406.204863319732,726.2528161220843,173.0071397122149,381.9484507860624
5OOi73igsahMZ5IVKQwwyhnj4Cn2,926.2604477565378,167.4986576294293,906.320891090624,941.9271780320054,174.21672584762382,745.0410008247212
5Z68AKm9rIeeB2lVu3nJO7U31wk1,664.6586719520333,71.08034010305029,449.4768463389402,657.5216576058701,10.0,446.37351684860835
5rXSa3anB5ejmFrnwUsTB82byup1,646.32554027411,103.15292776219525,314.2294928190407,648.5494581124977,93.87385481994738,310.73914198949103
5zxa5CMLGQSSonWOXqXf0QNS3PH3,718.435238559134,10.0,520.9935132414314,717.7422100368234,10.0,477.0291728936104
62fAfeQc27bZelkPX7G54T3gvci2,875.9396206525313,84.67675562914624,967.8405905441749,846.5709760839611,10.0,937.7915836965292
6ABZuv4jbjgE0B8TeyUk6nwVb122,1296.6434393760726,181.57680882578526,686.7831298134894,1307.0536809323148,175.11010913403985,668.7880321411908
6OwhwWQDThSPHTVAeXugohrYuje2,850.7030535493932,110.48228507330286,910.7542000079294,1040.9485418301772,256.0313940292809,831.2935432533948
6WFCyGwk71XLPBmbe4Vav3eotVm1,735.723739483413,73.54324405144222,555.6778668874161,741.9944035785103,81.43427667417723,517.2970409879545
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,1251.2151412992764,170.766073062609,496.39549880786836,1260.421436665638,173.1170790405797,402.96656614609947
80UJMJbCOMgs6YVpsMgXfYTzw6o2,710.2813998758123,25.594199198223503,710.2750942405235,848.8862677584907,121.8722227852264,397.98836758593023
87w5Le0CgZhSfYAaOH3Xd2fc98l1,925.6313444894421,53.094202260452384,1275.610981890509,943.0101083316557,65.5567524207485,759.6898620693285
8bwaafIhKVMNBoHaXFcY8HirS9u2,613.3466875696048,10.0,699.1428330880753,613.2421298428349,10.0,627.3750463357075
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,795.4521472363808,74.07791384032635,1094.297749296906,683.2303089493465,10.0,948.9457191316346
9NTZ091xWyOO8DgzyTGY0O3i8IR2,830.7653149108265,149.57508513065721,437.1704392359075,846.597549677768,156.93611024675312,379.98584153171754
9Xz1RIwnPXgyRqmucudW9VeuDnq1,862.9608878285355,76.79237640949935,562.7489806020591,863.459471709669,77.63126052032784,534.3627517472507
9l7DjYLs0XdgwykPZR5E01KTZfu2,617.1880925073777,10.0,921.8938763029763,616.2755036235569,10.0,901.9246395548686
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,579.9397347167392,10.0,957.2738092957717,579.078293072266,10.0,844.0405788728285
