phase,category_num,mean_trials,median_trials,min_trials,max_trials,n_participants
exploitation,1.0,11.56132075471698,7.0,6,118,212
exploitation,2.0,9.580188679245284,7.0,0,63,212
exploitation,3.0,8.25943396226415,7.0,0,46,212
exploitation,4.0,8.721698113207546,7.0,0,59,212
exploitation,5.0,7.6745283018867925,7.0,0,25,212
exploitation,6.0,7.033018867924528,7.0,0,24,212
exploration,1.0,3.740566037735849,2.0,0,85,212
exploration,2.0,3.806603773584906,2.0,0,76,212
exploration,3.0,3.358490566037736,2.0,0,75,212
exploration,4.0,2.768867924528302,2.0,0,35,212
exploration,5.0,2.25,1.0,0,17,212
exploration,6.0,2.0235849056603774,2.0,0,12,212
confirmation,1.0,3.0,3.0,3,3,212
confirmation,2.0,2.957547169811321,3.0,0,3,212
confirmation,3.0,2.8867924528301887,3.0,0,3,212
confirmation,4.0,2.858490566037736,3.0,0,3,212
confirmation,5.0,2.7877358490566038,3.0,0,3,212
confirmation,6.0,2.7169811320754715,3.0,0,3,212
