term,beta,se,z,p
Intercept,7.309824611522842,0.02040909276450663,358.1650931703995,0.0
C(phase)[T.exploration],0.41292372603772287,0.015558794711865342,26.539570299929583,3.3887144257208316e-155
C(phase)[T.confirmation],0.2922362902854803,0.01580995277754303,18.48432404558363,2.761376517456414e-76
trial_progress,-0.22647489897507794,0.014073934520798886,-16.091797119020733,2.9125876628862446e-58
C(phase)[T.exploration]:trial_progress,-0.40422033598734475,0.02901470673461441,-13.931567176762528,4.073187669930636e-44
C(phase)[T.confirmation]:trial_progress,-0.11080564424334587,0.027532005866741316,-4.0246121107070945,5.70693020699878e-05
z_ucla_score,0.024365878513500187,0.02149425134275865,1.1335997762819956,0.25696246692728497
C(phase)[T.exploration]:z_ucla_score,0.00686021461900164,0.015743283365050754,0.43575501119613647,0.6630144881895528
C(phase)[T.confirmation]:z_ucla_score,-0.0044524558793913125,0.015786059888083456,-0.2820498535389678,0.7779052837969107
trial_progress:z_ucla_score,-0.01174260197191247,0.013938790675343773,-0.8424405133426586,0.39954142389354463
C(phase)[T.exploration]:trial_progress:z_ucla_score,-0.015317652893002609,0.030159920315945814,-0.5078810796759311,0.6115367442359169
C(phase)[T.confirmation]:trial_progress:z_ucla_score,0.03956812889840562,0.02779973575571503,1.4233275181499256,0.15464123333677046
z_dass_depression,0.008917903953015515,0.023327617287414074,0.38228953446638475,0.7022466165420915
z_dass_anxiety,-0.008787293469965997,0.022818221262431874,-0.3850998449398629,0.7001634428896868
z_dass_stress,-0.019791949558038202,0.02329478707207232,-0.8496299836011979,0.3955308365276351
z_age,0.0006002514405713645,0.0146970109098774,0.04084173606811126,0.9674220665294461
gender_male,-0.1292311954907958,0.03029654000745238,-4.26554304415644,1.9941656098930235e-05
Group Var,0.2332326442421639,0.024760996058719443,9.419356300896156,4.538618305952946e-21
