segment,loneliness_group,mean_delta,sem_delta,n
confirmation,High loneliness (top 25%),74.05474824975934,49.27501558988956,51
confirmation,Low loneliness (bottom 25%),29.996522138180456,31.399897368032857,53
discovery,High loneliness (top 25%),500.42775217107544,101.28994928623243,52
discovery,Low loneliness (bottom 25%),421.3966274133372,67.11366085663785,53
exploitation,High loneliness (top 25%),-490.0479961669693,73.94917393160472,51
exploitation,Low loneliness (bottom 25%),-357.7026485531805,48.533469569606694,53
exploration,High loneliness (top 25%),121.32977397189588,30.931490160405083,52
exploration,Low loneliness (bottom 25%),160.83691679219783,33.302518466028566,53
post_shift_error,High loneliness (top 25%),720.8763540757662,107.02623815845284,51
post_shift_error,Low loneliness (bottom 25%),527.1109575085655,61.91800593765163,52
pre_switch_w5,High loneliness (top 25%),-576.1020173901093,68.85486465513885,51
pre_switch_w5,Low loneliness (bottom 25%),-423.8518714420676,46.305172124952335,53
shift_trial,High loneliness (top 25%),-355.7543632043328,82.26989524070288,52
shift_trial,Low loneliness (bottom 25%),-347.84101409272057,49.64678675854949,53
