participant_id,slope_ms_per_segment,loneliness_group
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-141.83620879120235,Low loneliness (bottom 25%)
0d841i8KPjdjwCYfDuUUXj0SEjH2,-254.98803059094615,High loneliness (top 25%)
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-216.47931998937855,High loneliness (top 25%)
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-162.33300680038099,Low loneliness (bottom 25%)
1fbLQPCcysVlSKup96K4yI5NX6G3,-22.785574249448494,High loneliness (top 25%)
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-62.282890117851714,Low loneliness (bottom 25%)
28nQWMwCaSNFBEXlicY3eHqpwKU2,27.259287513597858,High loneliness (top 25%)
2h5FgHUEvBS1twD5DqbTIRrMm1f2,-100.95014008709995,High loneliness (top 25%)
3xCaqfcHxRQxuOlEzXz3PNcHODH2,-101.77454166605193,High loneliness (top 25%)
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-119.94620521541407,High loneliness (top 25%)
50R0P1MIMvRvK1qpqfGROchII6R2,-4.557555283690565,Low loneliness (bottom 25%)
5zxa5CMLGQSSonWOXqXf0QNS3PH3,-47.1831469974156,High loneliness (top 25%)
62fAfeQc27bZelkPX7G54T3gvci2,-338.18188662135213,High loneliness (top 25%)
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,-21.378740641559805,High loneliness (top 25%)
80UJMJbCOMgs6YVpsMgXfYTzw6o2,-44.094917130482926,High loneliness (top 25%)
87w5Le0CgZhSfYAaOH3Xd2fc98l1,-81.54809523805741,Low loneliness (bottom 25%)
8bwaafIhKVMNBoHaXFcY8HirS9u2,-119.96546428017682,High loneliness (top 25%)
9NTZ091xWyOO8DgzyTGY0O3i8IR2,-77.98260682955092,Low loneliness (bottom 25%)
9Xz1RIwnPXgyRqmucudW9VeuDnq1,-3.6328597592910032,Low loneliness (bottom 25%)
ASGvwW80q7VY7xFaLGZhVuErUQu2,-21.998387404438695,Low loneliness (bottom 25%)
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,-163.56277810712663,Low loneliness (bottom 25%)
AyAnuCaltBbpEYbudoyNzTvXlcC2,-205.91964641992024,High loneliness (top 25%)
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,-8.739176883095778e-14,High loneliness (top 25%)
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,-77.10897759174102,High loneliness (top 25%)
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,-31.926378794708054,Low loneliness (bottom 25%)
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,-64.28379461016299,Low loneliness (bottom 25%)
Co587hoelyeANqFX7AYvuVQW0lZ2,-48.73513979409717,High loneliness (top 25%)
DAKDKPH698P12JfTbbjemLI6PIH2,-90.30359006229473,Low loneliness (bottom 25%)
DPvStUYSmohmXwFwaKRqHv89R3k1,-291.73482227895437,High loneliness (top 25%)
Df83JuPuJkXqTGbENhM2gw5SJM43,-23.599688630006078,High loneliness (top 25%)
DzB19GqCB7fyrlEPexogWkjFzEx2,-38.76123416907668,Low loneliness (bottom 25%)
EoToosG69XMp4LTYdB6sB9WTrv22,-276.7818299323685,Low loneliness (bottom 25%)
Fz7EUjZCLuUBxLDUVtN6djaBTy42,-0.6060181387516401,High loneliness (top 25%)
G1Ff3XYUZMRsPafyEQ80ussnVlf1,34.18924180903276,Low loneliness (bottom 25%)
GDZGRW51kbWtAdUIHCtEd8sAtqY2,-47.70753637432414,Low loneliness (bottom 25%)
GE4hogtdLdTFbNasENgtm6SO3hC3,-132.59257483000263,High loneliness (top 25%)
GEwkBw3YHaNp3TCh9YS9PKVfavz1,-146.1364013608014,High loneliness (top 25%)
HyQM2xKwwuVfqidmRYF6TiRk90C2,-90.70865868005768,Low loneliness (bottom 25%)
JOBWLirr6KYf3GXJ3jPFKmd48S93,-24.851122974494995,Low loneliness (bottom 25%)
LSLmd8jENtONZFVkIpRDX665Bu73,-61.767240521575935,Low loneliness (bottom 25%)
LliUMEIsrCVZ88YFQfevan2Og4z1,-50.68582900433758,Low loneliness (bottom 25%)
O61Eik2zvrSQLMNpFbTNEgjWwMr2,-39.55120493180947,High loneliness (top 25%)
ORuVuFPU5idz3fMoXTGsbwToW2j2,-13.98180753774109,High loneliness (top 25%)
ORvIk1xRWIQmKuLVe6GXNouvAXx2,-151.0038140152778,High loneliness (top 25%)
PkpTH7pWpEOG9A86xSloOSozwTk2,287.6124629047663,High loneliness (top 25%)
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,-58.344480725589875,High loneliness (top 25%)
QbOEVCaZLUMOgltUdXm58oZOALv2,-125.51815476126994,Low loneliness (bottom 25%)
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,-222.62675509355503,High loneliness (top 25%)
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,-234.56968027693293,High loneliness (top 25%)
Ru3Qf6pXZua1DfNkQdhbor6iJ403,-174.57859382645412,Low loneliness (bottom 25%)
SOhR7IO689NQCPQu56SjATO8FR92,-31.866403215781066,Low loneliness (bottom 25%)
SPCT9D90pRa1ihXS5jEw6vCmquI3,-18.166092724405786,Low loneliness (bottom 25%)
UbwuSMtBsHdW3Ji41opk3GInMqi2,-2.2811550671202516,High loneliness (top 25%)
VwTymW8T68MfpnJvZ2X97ILqDWS2,-34.44159183530787,High loneliness (top 25%)
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,-267.2919598874063,High loneliness (top 25%)
WbOfW9KmUkPQK8o5hlHJnJFdpp92,-122.49799891786056,Low loneliness (bottom 25%)
WcTsIpSoEhYeIBSNjAbbdaNSBya2,-5.427063123004248,Low loneliness (bottom 25%)
WnC6Uscb5VMIr43GASKiUCO3AYH2,-45.95323469456254,Low loneliness (bottom 25%)
WqoZv41KTtTCuPKBPyClregrKAi1,-87.85569160999496,High loneliness (top 25%)
XbHvBButpZS4bapbJXJLAYcHnn12,29.383920807426367,Low loneliness (bottom 25%)
Yco8O7tmHlbsUBfKW2ywcZByGO32,-296.7878231292537,High loneliness (top 25%)
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,28.269482728121016,High loneliness (top 25%)
azdL1gX79EVd9iepyCAVQrqIaQF3,-58.86325249171495,Low loneliness (bottom 25%)
bXpFswkI7TfIfL6G4FqWrbaxTGx2,-90.67746890184064,High loneliness (top 25%)
biQ16yPcCKSkJQhSxUKcDc8gm8I2,34.16775172092218,Low loneliness (bottom 25%)
btpcu1rB1JeSTo2upeHGPdv8kYG3,-134.32136224021937,Low loneliness (bottom 25%)
c8BtRUVPPPZHjyhX2rn702NoUld2,-37.30842701886452,Low loneliness (bottom 25%)
cEIs6U87xfbSL5eFTXDK77MmvNf1,-30.527505049763576,High loneliness (top 25%)
cec6NLR2ZLVVw6h0TEKSNIH11v02,125.33797069600314,Low loneliness (bottom 25%)
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,-431.663939342125,High loneliness (top 25%)
fEq0OghbLpfD1jigl1Mbz96aMbg2,-68.00423129233968,Low loneliness (bottom 25%)
foaW7wtvY3XLNdguFUK7OvOefP93,-54.16338723180553,Low loneliness (bottom 25%)
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,-176.7419954648495,High loneliness (top 25%)
h52Mz0cZjnOsmXT02EgU3JzzRKs2,-237.2078299319083,Low loneliness (bottom 25%)
h5RYP03wJuVN0xo7qAR8CKFxLaj1,-112.95380272104937,Low loneliness (bottom 25%)
i1tBstVkNiVP0qro7TgGD08IGGa2,-139.9244502047704,Low loneliness (bottom 25%)
iWsc4pghIEWOQUZKuQJMfe516UI3,-136.55140359665162,Low loneliness (bottom 25%)
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,-146.5663504164722,High loneliness (top 25%)
iZX3U88SSqYAtT564nBPgHUBsei1,-0.6645518202477405,Low loneliness (bottom 25%)
idP8RVfm74N86O0dszLXANIpjXv2,-54.48774603261014,Low loneliness (bottom 25%)
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,-127.03550497122619,Low loneliness (bottom 25%)
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,-303.5984191787986,High loneliness (top 25%)
kR2rCtaPyPaj7YMizKUDn5xL2qx1,-88.24104905365826,High loneliness (top 25%)
lpzDdvuMkKWkPxu6xeclmdctEp42,-65.98813604580846,High loneliness (top 25%)
mYRMPGfR5gRSjnp7ojjD5sXo7Jr2,-406.3373469381539,Low loneliness (bottom 25%)
mg2WZiRBn4NQDKiMK43Y8dBqyG53,4.757688595560011,High loneliness (top 25%)
mweMgSlGM2VxThhwnupYxYzUbR23,-72.93199659862861,Low loneliness (bottom 25%)
mwsliuPsLFhRFjtjQwYkqcCRDvi2,-134.0027816431496,High loneliness (top 25%)
nT1qJOiMyDdJ9ui4el195A8Hsgs1,-306.49317432366587,High loneliness (top 25%)
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,-95.66675943103046,Low loneliness (bottom 25%)
pRQimOpZtsekBI2I1kbnD3pycmo1,-88.33429120551766,Low loneliness (bottom 25%)
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,11.126638409208171,Low loneliness (bottom 25%)
q0Atnpm0jZS5swcVmq0EMalQUKw1,-44.559152752015265,Low loneliness (bottom 25%)
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,108.00023809501103,High loneliness (top 25%)
qnR5PLX1v3fPi6SwTJMwGcadwyD3,-30.474475263585312,High loneliness (top 25%)
rFV2EUbp64f5ORSh7DqwmCQmeqT2,-113.6762834476288,Low loneliness (bottom 25%)
roaf78tUWxWSEjAUcUu8O7mrQbl1,-177.24231685302587,High loneliness (top 25%)
sqfXvh6GJLaYAqr3RvHrixP8IOx1,-292.575335041374,High loneliness (top 25%)
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,79.3684215735144,Low loneliness (bottom 25%)
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,-90.87388098505087,High loneliness (top 25%)
tv88wS5Nf6SjruozSmXJxQSmx6J3,8.368397187548583,High loneliness (top 25%)
v8nNKiWvPdcjiHXZci39OuFTY6M2,-237.83941326395237,Low loneliness (bottom 25%)
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,-29.899193777515748,Low loneliness (bottom 25%)
yGTid3RXTdQe5JNosdSxvgktWIW2,-43.29523638680086,High loneliness (top 25%)
zw1w9FipI9RjJsuhHse6UZavBxs2,-11.73073593072644,Low loneliness (bottom 25%)
