outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Perseverative Error Rate,185,0.013058635836453392,0.03284978952544093,0.034772432495142946,0.034842224709068836,0.01979115368898754,0.3035399902383929,0.0019226429697020153,0.5479235927610648,6.979221392588997e-05,0.9080004082341804
Stroop Interference Effect,185,0.026846763488216796,0.037895652834068594,0.04631395801975946,0.046806232050837004,0.011048889345851798,0.5621703711646497,0.008418305185690866,0.2577388178640524,0.0004922740310775442,0.7641287675808575
PRP Delay Effect,185,0.12689668593537473,0.1334491168963059,0.15727638236764452,0.16718764857769308,0.006552430960931166,0.7167827716202257,0.02382726547133862,0.03595206717243731,0.009911266210048564,0.12988537664317062
WCST Accuracy (%),185,0.016466680433769754,0.05628415963936817,0.07050303423207427,0.07518962637235727,0.039817479205598416,0.05970399350704245,0.014218874592706099,0.10151702320199266,0.004686592140282997,0.32496048388154763
WCST Mean Reaction Time (ms),185,0.03533115840747847,0.040446240542099,0.05372324505452475,0.060755123584699255,0.00511508213462053,0.8123056560772495,0.01327700451242575,0.24547741811843407,0.007031878530174507,0.33805618683736116
WCST Reaction Time SD,185,0.005932133875682366,0.012524714988582653,0.014035526970613832,0.016496071013364144,0.0065925811129002865,0.7543512150324893,0.0015108119820311794,0.6738175948692131,0.0024605440427503122,0.5766790169601002
WCST Perseverative Error Count,185,0.012285927339012792,0.03793968435539263,0.04160435222041947,0.04178234057602814,0.02565375701637984,0.19318526736971742,0.0036646678650268383,0.4007018767886966,0.00017798835560867143,0.8537825019849621
WCST Perseverative Responses (count),79,0.0042983358522933335,0.020479175201695843,0.02109962956230793,0.02882218387594626,0.01618083934940251,0.7520020285507832,0.0006204543606120883,0.8282753333393372,0.00772255431363833,0.4496066230502821
WCST Perseverative Errors (count),79,0.007166921451545849,0.047173334353570406,0.047918610584249066,0.04791874777717009,0.04000641290202456,0.38811789831607046,0.0007452762306786598,0.8024444753061952,1.3719292102365443e-07,0.9973961319269804
WCST Perseverative Responses (%),79,0.004548020621380489,0.04418288378475954,0.04435172386507269,0.06299154612620528,0.03963486316337905,0.3937666770914732,0.00016884008031314846,0.9036773334913184,0.018639822261132588,0.1911774189390306
WCST Post-Error Slowing (ms),174,0.0227680532300939,0.035615105843616046,0.06093495367220991,0.06529244290829717,0.012847052613522147,0.5260968670058548,0.025319847828593867,0.046598600210523686,0.004357489236087253,0.4289114726039398
