outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
WCST Perseverative Error Rate,pe_rate,205,0.0019115727260980986,0.038023611212942066,0.03803830412634013,0.0380487487506721,-0.007970490910277128,0.0138533501881416,0.008887949705926212,0.0038677398230310134,1323.5733779235102,1322.018723994568,1324.0155928675629,1326.0133670412943,0.03611203848684397,2.490115052942562,0.06148914327482154,1.4692913398062224e-05,0.0030242335690646147,0.956199464942781,0.9529757433038313,1.0444624331973351e-05,0.002138976367798089,0.9631585822551941,0.9572661702866168,-0.032097879852151304,0.5436164090846155,-0.05904509009615855,0.9529161940325817,z_ucla_score:C(gender_male)[T.1],-0.04051988455091555,0.7552242646823697,-0.053652784273234784,0.9572118012715445,124,0.11042916540254943,0.694228839967421,0.873615784874933,81,-0.1678652782165632,0.9885186217883987,0.8651556391555062,2.664849723429601,2.1453884995089636,2.1746864516740145,0.9495423450365192,2.7979919890586494e-13
Stroop Interference Effect,stroop_interference,205,0.009890129101532419,0.016683878735486046,0.01901638950748341,0.024406073753815982,8.706107283473763e-05,-0.008022556472164988,-0.010710386568047348,-0.010259700275236261,2482.140166375409,2486.728687878098,2488.2418325115027,2489.1124235875823,0.006793749633953627,0.4582982515050567,0.7117344436209874,0.002332510771997365,0.47078985613593244,0.49342669273728756,0.50025922133634,0.005389684246332571,1.0883296502397282,0.2981200948650048,0.31631463313098324,6.851639472480071,10.145739948153073,0.6753218106804857,0.4994713297660549,z_ucla_score:C(gender_male)[T.1],15.594222793735398,15.522586071415727,1.0046149992011697,0.3150822719890629,124,2.4442950333596594,12.90421532858529,0.8497649522149134,81,10.382552755541832,18.424047960807066,0.5730722269330051,2.664849723429601,2.1453884995089636,6.118640530959761,0.5259667367441471,0.000625120132017699
PRP Delay Effect,prp_bottleneck,204,0.09915698568307951,0.1063714704373312,0.11758985298769287,0.13048649321681538,0.09019337360032409,0.08380509342817288,0.09071441703807936,0.09943243940313018,2614.8479459859113,2619.2076159126123,2618.6304417691717,2617.6269294573485,0.007214484754251682,0.5328343691238657,0.6602757224786877,0.011218382550361672,2.5045285006116575,0.11512354723054939,0.12440833277192549,0.012896640229122514,2.907075583287431,0.08977605379174322,0.1258421916535778,22.485700900475273,14.571654883471137,1.5431123698915739,0.12280351392710911,z_ucla_score:C(gender_male)[T.1],36.007383666264914,23.423079298079223,1.5372608873512907,0.12422943537424036,123,17.16014919291496,17.83742353621069,0.3360341788651331,81,19.684875036398637,24.28955829549505,0.41769572348993467,2.6662827447380324,2.1469718921237453,2.8194059641423306,0.9011909243311746,0.42583374561722365
WCST Accuracy (%),wcst_accuracy,205,0.004124483331486073,0.007406539465685924,0.008831424906020069,0.01740871952085732,-0.005735670298895323,-0.017532994718593375,-0.021203986460464064,-0.017505691460635076,1528.6430894094256,1533.9663656322741,1535.6718730870434,1535.890140157518,0.003282056134199851,0.219334231208207,0.8829040917753117,0.0014248854403341449,0.2846411037188347,0.5942736737006695,0.6232746301706491,0.00857729461483725,1.7196641906886976,0.1912626266057364,0.34043010122261386,0.5218136403946363,1.0606281571271716,0.4919854681286476,0.6227296165967302,z_ucla_score:C(gender_male)[T.1],-1.9169024678317308,2.00590321123877,-0.9556305892984359,0.3392589014813704,124,0.9514138805254468,1.300732225130623,0.4645074821573588,81,0.19204757091851946,2.1535112197631907,0.9289398043264546,2.664849723429601,2.1453884995089636,8.489077739272055,0.291446542469488,2.491500695702814e-14
WCST Mean Reaction Time (ms),wcst_mean_rt,205,0.03449438615566758,0.051116654107194015,0.07373556156564909,0.07431693349546786,0.02493492463245639,0.027275364009384795,0.04566694221915368,0.04142464179226113,3214.5212153333327,3216.961175405205,3214.015324224135,3215.8866151228135,0.016622267951526437,1.1620084234349615,0.3253961534410869,0.022618907458455073,4.835059504545046,0.029044988508490882,0.08737879675173588,0.0005813719298187747,0.1237251434303295,0.7254048217717229,0.6934775901309062,128.93206704803188,75.05227935272173,1.7178967535695002,0.08581544909211512,z_ucla_score:C(gender_male)[T.1],30.94935215418011,78.4086504524211,0.3947185925991723,0.6930505797532497,124,132.05254322098045,94.95587078609543,0.1643246804707602,81,100.27298548278097,119.83393690963857,0.40272401173037664,2.664849723429601,2.1453884995089636,7.86100768788771,0.3450096407167873,7.419201448266487e-19
WCST Reaction Time SD,wcst_sd_rt,205,0.0031878651933032742,0.019357840867537,0.03514080919609619,0.035261940098478495,-0.0066815618839908275,-0.005281409361921785,0.005902651899008182,0.000981907513145197,3631.3175015540082,3633.964788007202,3632.638571358525,3634.6128335160693,0.016169975674233728,1.0937816372689257,0.3528630809034653,0.015782968328559188,3.23884330360268,0.07343384024017045,0.14441515703530183,0.00012113090238230484,0.024734991560036935,0.8751902846077362,0.8178503959536739,292.94338827532846,199.91537974586018,1.465336927292582,0.1428290163328976,z_ucla_score:C(gender_male)[T.1],-38.42520859641194,166.6179584964703,-0.23061864965309822,0.8176110777971012,124,347.00521128058676,279.21256199297295,0.2139417547593483,81,176.51756384722657,229.1696012005578,0.44115244154437716,2.664849723429601,2.1453884995089636,5.693492812675497,0.57595904161043,8.983036340138391e-25
WCST Perseverative Error Count,pe_count,205,0.0005857788956248333,0.029692758855542678,0.02973012951674836,0.029734403729415493,-0.009309411412339319,0.00531317993231506,0.00032801222937717256,-0.004742038777661106,1433.828356333955,1433.7692607839995,1435.7613652095315,1437.760462145803,0.029106979959917845,1.9898470527032068,0.11675741739567179,3.737066120568233e-05,0.007626116345386923,0.9304993396854006,0.9248878783974155,4.27421266713246e-06,0.0008678241284268197,0.976528456020988,0.9718665900097223,-0.06694029856479976,0.7091228138183032,-0.09439873779318529,0.9247924184246288,z_ucla_score:C(gender_male)[T.1],-0.033896098825397944,0.9598990528721649,-0.03531214946402502,0.9718308355022687,124,0.064033769850938,0.89313424257436,0.9428441806118533,81,-0.22284869468189117,1.3093513051195127,0.8648545919603764,2.664849723429601,2.1453884995089636,2.431164236397987,0.9321906628775029,1.9545064344125537e-17
WCST Perseverative Responses (count),perseverativeResponses,205,0.001240823558745885,0.037402538046005906,0.03780037782261925,0.0396786356092248,-0.008647881158494242,0.013216672167764898,0.00864281351421381,0.005555541443055145,1582.2761468318672,1580.7160820569115,1582.631338417138,1584.2307779328053,0.03616171448726002,2.491931628532476,0.061345057365894434,0.00039783977661334013,0.08186687455893887,0.775082380731948,0.7689208573727141,0.0018782577866055528,0.3853051672926467,0.5354950642526592,0.5289548638911155,-0.3138071004778501,1.0666815317615506,-0.2941900568575697,0.7686126781223117,z_ucla_score:C(gender_male)[T.1],-1.0209057819635303,1.618636406538619,-0.6307196463884631,0.5282238508590351,124,0.2085213868428605,1.3209165294941516,0.8745662212275233,81,-0.9405864310925337,1.9316274151134565,0.6263009329234264,2.664849723429601,2.1453884995089636,2.5863771299376657,0.9204535653598245,3.884439487192415e-12
WCST Perseverative Errors (count),perseverativeErrorCount,205,0.0005857788956248333,0.029692758855542678,0.02973012951674836,0.029734403729415493,-0.009309411412339319,0.00531317993231506,0.00032801222937717256,-0.004742038777661106,1433.828356333955,1433.7692607839995,1435.7613652095315,1437.760462145803,0.029106979959917845,1.9898470527032068,0.11675741739567179,3.737066120568233e-05,0.007626116345386923,0.9304993396854006,0.9248878783974155,4.27421266713246e-06,0.0008678241284268197,0.976528456020988,0.9718665900097223,-0.06694029856479976,0.7091228138183032,-0.09439873779318529,0.9247924184246288,z_ucla_score:C(gender_male)[T.1],-0.033896098825397944,0.9598990528721649,-0.03531214946402502,0.9718308355022687,124,0.064033769850938,0.89313424257436,0.9428441806118533,81,-0.22284869468189117,1.3093513051195127,0.8648545919603764,2.664849723429601,2.1453884995089636,2.431164236397987,0.9321906628775029,1.9545064344125537e-17
WCST Perseverative Responses (%),perseverativeResponsesPercent,205,0.0016876423730114443,0.055930533861220155,0.05593099476234964,0.05843161346359227,-0.00819663839557272,0.032210195516024664,0.02732284308848143,0.024974868764329083,1444.5583488006428,1439.1057244008152,1441.1056243183975,1442.561906701743,0.05424289148820871,3.8112786517366777,0.010966233651741172,4.609011294842702e-07,9.666499286061295e-05,0.9921653555595641,0.9922517202528981,0.0025006187012426295,0.5231928887894262,0.47034080184878035,0.5134822420153988,-0.00763539440668054,0.785255555217659,-0.009723451627876918,0.9922419303170407,z_ucla_score:C(gender_male)[T.1],-0.8420749077092131,1.28637592866785,-0.6546102806675279,0.5127187032716067,124,0.32182747249703614,1.0380233808134642,0.756531488229411,81,-0.16394324948899716,1.268404979065153,0.8971586447412098,2.664849723429601,2.1453884995089636,2.41262136642352,0.9335318050575286,3.8030191504053047e-07
