outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Perseverative Error Rate,200,0.0019314377433446994,0.034752028694807424,0.03483960275157205,0.034849820101590434,0.032820590951462725,0.08952841552136816,8.75740567646277e-05,0.8885365710038743,1.0217350018382199e-05,0.9582445082668646
Stroop Interference Effect,200,0.008623770294778677,0.013776545495689185,0.016371504274159898,0.02277173469081939,0.005152775200910509,0.7979702870955601,0.002594958778470713,0.4913751810530619,0.0064002304166594914,0.28544577786443137
PRP Delay Effect,200,0.09515074700099946,0.10223876544325183,0.11209759576459499,0.1279739642408999,0.007088018442252375,0.6754607333748022,0.00985883032134316,0.15802208783797556,0.015876368476304914,0.09283954671130504
WCST Accuracy (%),200,0.004576566144204763,0.007420442002743832,0.009687182152828377,0.01806513835184609,0.002843875858539069,0.9063214026182133,0.002266740150084545,0.5493875829252362,0.008377956199017711,0.34067233903536986
WCST Mean Reaction Time (ms),200,0.05694713820442576,0.06425423219505111,0.08050998994932146,0.08288175208905424,0.007307093990625346,0.6792938975216819,0.01625575775427035,0.12854417464622203,0.0023717621397327804,0.49597688528403505
WCST Reaction Time SD,200,0.0010834982408071125,0.006437092874063244,0.033211315178852674,0.03473573672112695,0.005353594633256131,0.7903167034460934,0.02677422230478943,0.04347186239025055,0.001524421542274279,0.6001945326162679
WCST Perseverative Error Count,200,0.000634020184899664,0.02814590347492807,0.02830630828620806,0.02830652748273521,0.027511883290028405,0.14291803201610948,0.0001604048112799905,0.8484655468085821,2.191965271514107e-07,0.9936820204034778
WCST Post-Error Slowing (ms),199,0.0034505297398210732,0.008092324097030756,0.0288527995745812,0.028889558410367,0.004641794357209683,0.8246079998185988,0.020760475477550444,0.07957589150446905,3.6758835785799526e-05,0.9482779960843066
WCST Post-Switch Error Rate,198,0.017862888249488562,0.05482770232078027,0.05647383238738701,0.057879141551435254,0.03696481407129171,0.060590609686363046,0.0016461300666067435,0.558620278732765,0.0014053091640482407,0.6079657408893204
WCST Reaction Time Coefficient of Variation,200,0.05099785925637801,0.06065297300650352,0.07005675334797756,0.07077606708055018,0.00965511375012551,0.574702127046038,0.009403780341474044,0.1539226897539661,0.0007193137325726129,0.707452250235647
WCST RT MAD,200,0.01218837839535758,0.019344634183565912,0.031557389669208624,0.033867410151480204,0.007156255788208332,0.7022131290571202,0.012212755485642712,0.16478331653238398,0.0023100204822715797,0.5107136022133509
WCST RT IQR,200,0.007230544881329459,0.013899143351014942,0.03910811151710847,0.044759196404553836,0.006668598469685483,0.7265493411395422,0.025208968166093526,0.06818248618918116,0.005651084887445368,0.30901236017923933
WCST RT MAD (correct),200,0.02406447515696064,0.03023003207149566,0.04363574975353557,0.046162750872718705,0.00616555691453502,0.7451822362822572,0.013405717682039908,0.14811600537723404,0.0025270011191831365,0.5092114453356384
WCST RT IQR (correct),200,0.01919214861048102,0.026625506683658706,0.05846199589820977,0.06301946328754315,0.007433358073177687,0.6869674533128745,0.03183648921455107,0.04352485461127703,0.004557467389333381,0.34452479313227535
WCST Valid Trial Count,200,0.0014501327889856475,0.003636089661520514,0.012344225657794139,0.012748545790007615,0.0021859568725348666,0.9347679884783385,0.008708135996273625,0.20216190695217298,0.00040432013221347596,0.8012439084494839
PRP T2 Mean RT (Short SOA),200,0.08633755351267192,0.099003671843922,0.1017747312369851,0.11473034070682042,0.012666118331250087,0.4376507008069861,0.0027710593930631022,0.46437671914580136,0.012955609469835316,0.16646339905564708
PRP T2 Mean RT (Long SOA),200,0.02432051418341663,0.0514846814283898,0.05158281010502708,0.054495833322207865,0.02716416724497317,0.13912527676536784,9.812867663727687e-05,0.8895226992754387,0.002913023217180788,0.5318243959300974
PRP T2 RT SD (Short SOA),200,0.018323551163035412,0.021746582848175988,0.022349381523583567,0.02266905502050265,0.003423031685140576,0.8780411123562916,0.0006027986754075787,0.7322405399551868,0.00031967349691908176,0.8236493802031033
PRP T2 RT SD (Long SOA),200,0.025189243532436123,0.031123370209761192,0.03139465628757576,0.032070248014841374,0.005934126677325069,0.7559744717752561,0.0002712860778145698,0.8078154535908683,0.000675591727265612,0.7159273783687861
