outcome,outcome_column,n_female,n_male,mean_female,mean_male,sd_female,sd_male,mean_diff_male_minus_female,t_stat,p_value,cohen_d
PRP Delay Effect,prp_bottleneck,124,79,639.9500088274065,555.5405359100495,148.98737069421765,137.44457583882092,-84.409472917357,4.127927345919705,5.643701436365339e-05,-0.5836739520361331
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,125,79,1339.159687269476,1186.3991755320094,237.87979361000063,261.3622199982771,-152.7605117374667,4.208772752945176,4.3420869455287485e-05,-0.6179338146033514
PRP T2 Mean RT (Long SOA),t2_rt_mean_long,124,79,695.9762888201983,630.8586396219597,181.8696549934323,175.8077910098558,-65.11764919823861,2.5385659810543624,0.012026467479954407,-0.36268837917926106
PRP T2 RT SD (Short SOA),t2_rt_sd_short,124,79,400.4902266060757,372.24550354150404,101.0164459196272,106.19729859586019,-28.244723064571644,1.882769330051919,0.06154563023486864,-0.27406666945351305
PRP T2 RT SD (Long SOA),t2_rt_sd_long,124,79,253.04691013843382,217.52670039596052,127.72982822224645,107.34183136531516,-35.5202097424733,2.132573535908449,0.03427020323687512,-0.29543727899351885
PRP T2 Coefficient of Variation (All),prp_t2_cv_all,124,79,0.4278313446014302,0.44032654576584623,0.06610397714225595,0.061177862337090765,0.012495201164416048,-1.3747090459778073,0.17097347159932305,0.1945165303877762
PRP T2 CV (Short SOA),prp_t2_cv_short,124,79,0.3077628245079622,0.31992397175276627,0.07201705538937934,0.06636670781399767,0.01216114724480405,-1.2311027344370844,0.219926247036263,0.17403236692272717
PRP T2 CV (Long SOA),prp_t2_cv_long,124,79,0.3668589592778414,0.3407267377526048,0.13115318509866247,0.10991659363817816,-0.026132221525236587,1.53018628759432,0.12766578746464827,-0.2118593747843748
PRP Error Cascade Rate,prp_cascade_rate,93,48,0.07740228707970644,0.055406746031746036,0.19058875611190748,0.13509451578769557,-0.0219955410479604,0.7922524249028193,0.42970849919467147,-0.12654314448657084
PRP Cascade Inflation,prp_cascade_inflation,82,43,2.2866763453348833,1.345957918050942,6.191067380753209,3.3623868089719577,-0.9407184272839413,1.1007617901655369,0.27315315665679335,-0.1743814634158643
PRP Post-Error Slowing (ms),prp_pes,99,62,311.8444640064415,175.34751054909876,407.8934836484162,362.99080498457175,-136.49695345734276,2.2125921939660897,0.02853622224304384,-0.3488504717354789
PRP Valid T2 Trial Count,prp_t2_trials,126,79,102.65873015873017,106.34177215189874,29.174279822724042,19.409148038707038,3.6830419931685725,-1.0849565335526732,0.2792324501399424,0.14241083357575354
PRP Ex-Gaussian mu (Short SOA),prp_exg_short_mu,113,74,1004.2826084231098,842.0674749951909,276.6617253910455,266.07411746257327,-162.2151334279189,4.012896758908792,9.178918997069399e-05,-0.5952127106236916
PRP Ex-Gaussian sigma (Short SOA),prp_exg_short_sigma,113,74,194.6737889199375,157.77793916520446,109.37399282873207,106.16803659435548,-36.895849754733035,2.296216787955091,0.022964961406696804,-0.34124814138500603
PRP Ex-Gaussian tau (Short SOA),prp_exg_short_tau,113,74,327.6595676410226,332.6029878504734,166.15956383113294,149.73125994005593,4.943420209450835,-0.21130880249712516,0.8329034954881481,0.030919797204852013
PRP Ex-Gaussian mu (Long SOA),prp_exg_long_mu,101,66,458.360653953093,437.6449471669405,119.49173257604673,129.92907602981896,-20.71570678615251,1.039494721228861,0.3004932141617868,-0.16745569870937452
PRP Ex-Gaussian sigma (Long SOA),prp_exg_long_sigma,101,66,70.35208313101475,64.2206637178983,53.78489074459537,48.711585860398266,-6.131419413116447,0.7628981011325118,0.44673401969248283,-0.11826303190834994
