outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
PRP Delay Effect,prp_bottleneck,201,0.0928789979363529,0.09938330478817914,0.10668230013834934,0.11932327189464975,0.08371615953166955,0.07629056901351716,0.07905391766840153,0.08738162890637291,2580.411605130773,2584.965188074921,2585.3295584051534,2584.4649740653717,0.006504306851826236,0.4694338308588327,0.7039348403502457,0.007298995350170201,1.5851080731438776,0.20953926442586956,0.21835176933853487,0.012640971756300412,2.7702645830265835,0.09765294020818475,0.1335990008761364,18.195930541331492,14.73443457138555,1.2349256059454232,0.21685819266584616,z_ucla_score:C(gender_male)[T.1],35.73713422973362,23.723505981144932,1.506401889254351,0.13196403601010542,122,14.429914329812707,18.21117632708404,0.4281473818782936,79,12.469459768769966,23.90592965274635,0.6019451676999008,2.596854548916273,2.096290237803647,3.7907181790349487,0.803542414975855,0.3244286413903211
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,201,0.09484323905910153,0.11266014785376766,0.11550732446644152,0.12992907677158227,0.08570024147383981,0.08990784395258233,0.08815188089323878,0.0983721002814325,2784.820452803272,2786.8245550292295,2788.178576379686,2786.8742362011862,0.01781690879466613,1.3051358719572526,0.2739815681318569,0.002847176612673863,0.624484835361162,0.4303504590477216,0.4592950855076716,0.014421752305140756,3.199047480594237,0.07524965407827533,0.14388985371443697,18.916926596721655,25.512161150531753,0.7414866378863152,0.4583984306561444,z_ucla_score:C(gender_male)[T.1],63.5388217344476,43.29971901697218,1.4674188003285265,0.1422621632818628,122,14.70704369959806,31.109796676047818,0.6363941342908712,79,3.8777261902109714,43.59874025881564,0.9291286055409198,2.596854548916273,2.096290237803647,4.385363178343342,0.7344738601353202,0.0043688227829116275
PRP T2 Mean RT (Long SOA),t2_rt_mean_long,201,0.03217364550834345,0.06169817149346679,0.06170665253863716,0.06736842461093806,0.022397621725599337,0.03763915024970965,0.032687270658388945,0.033542408923252,2653.9365942142645,2653.7094113467456,2655.7075945563147,2656.4910629397136,0.02952452598512334,2.0452845030554636,0.10888331758582878,8.48104517037207e-06,0.0017535270472816002,0.9666413031091509,0.96758473524412,0.005661772072300897,1.1716545298160432,0.2804120628419275,0.3805116982487452,0.7209960553901472,17.71916591538148,0.040690180273343,0.9675428901202052,z_ucla_score:C(gender_male)[T.1],27.801687504713883,31.629923716856354,0.8789678961475866,0.37941868293905623,122,0.27712936978539915,22.520795245295957,0.9901818891043734,79,-8.59173357855904,30.45230316180419,0.7778381580588287,2.596854548916273,2.096290237803647,4.230193845865461,0.7529146708123203,8.952790963701694e-06
PRP T2 RT SD (Short SOA),t2_rt_sd_short,201,0.03515984855866516,0.035978726242492765,0.03904338980517308,0.0435663524815495,0.02541398844309606,0.011260232043582397,0.009323082273374417,0.008877049203678378,2410.100274148616,2415.9296092971267,2417.2896041296117,2418.341318113707,0.0008188776838276013,0.055213563121205095,0.9828827866905872,0.0030646635626803143,0.6187009120416487,0.43249022215220645,0.4336592696602709,0.004522962676376419,0.9126945698800292,0.34059555764006466,0.3822162767485504,7.484207918855902,9.53917686144004,0.7845758630505233,0.4327022864131702,z_ucla_score:C(gender_male)[T.1],13.569152072460259,15.493072301776973,0.8758206124749027,0.3811275625684454,122,5.724250050064404,12.753391318997851,0.6535460692644632,79,5.627925824867666,13.669413388688534,0.6805470802079955,2.596854548916273,2.096290237803647,3.960419543936093,0.78432486887797,0.17575176925589858
PRP T2 RT SD (Long SOA),t2_rt_sd_long,201,0.033631800869105666,0.04091942849890462,0.040922565912650755,0.04338906127098363,0.023870505928389463,0.016327618973235647,0.011260377229536989,0.008693327741952084,2496.531093834106,2501.0095574829998,2503.008899956184,2504.4913148958926,0.007287627629798954,0.493906153468975,0.68691900379022,3.137413746134854e-06,0.0006346289101635017,0.9799278376278077,0.9791051857711518,0.0024664953583328764,0.4976250896636475,0.4813960283016614,0.47822997446890614,-0.2966681391596261,11.31260871339597,-0.026224555862903905,0.9790782298694114,z_ucla_score:C(gender_male)[T.1],12.414005323028151,17.471342562399705,0.7105352824885071,0.47737225958305696,122,-0.5499541420366532,15.29223386122357,0.971311885790332,79,-5.773295676255565,16.68067105424321,0.729262363318431,2.596854548916273,2.096290237803647,3.8486771557919375,0.7970326364187995,2.966525643808098e-07
PRP T2 Coefficient of Variation (All),prp_t2_cv_all,201,0.0039013248162406144,0.03537997895054579,0.03639392736330915,0.036402444253094135,-0.006160277963393357,0.010646132256970087,0.006591677694133269,0.001453310106833361,-570.5471604515058,-571.0016846969402,-569.2130744820051,-567.2148510403524,0.03147865413430517,2.121159082416495,0.0988483717931444,0.0010139484127633658,0.20413527650137203,0.6519081939670672,0.6797549939438405,8.516889784981885e-06,0.0017058570963580796,0.9670978157292539,0.9704274110548677,0.002552363484894746,0.006173767152441244,0.413420756221019,0.6792983699921189,z_ucla_score:C(gender_male)[T.1],-0.0003491096652192739,0.00940480483684264,-0.03712035191327545,0.9703890447301199,122,-0.0014586648762238245,0.0077806048332626915,0.851288627825652,79,0.01075350921700259,0.011655734831811641,0.3562189043359446,2.596854548916273,2.096290237803647,4.209219584100483,0.7553887434009543,0.15087457816822314
PRP T2 CV (Short SOA),prp_t2_cv_short,201,0.008369278676251035,0.022697489653880742,0.022991026614456178,0.024598775367301706,-0.0016471932563122405,-0.0023615490729427258,-0.00722574575829249,-0.010778471121966948,-512.7490585894284,-509.6745221854776,-507.7349024575176,-506.06593696317054,0.014328210977629707,0.9529635948812721,0.41608243812850865,0.00029353696057543566,0.058286230631343534,0.8094804020192978,0.82565088852164,0.001607748752845528,0.3181208937030241,0.5733939355882507,0.5897936636150023,0.0015892179786364366,0.007204700692632279,0.22058070785114137,0.8254189239770988,z_ucla_score:C(gender_male)[T.1],-0.005550702226273208,0.010278361946674723,-0.5400376300300441,0.5891710816715577,122,0.0004257363958476857,0.009005300549037525,0.9622930959828917,79,0.005467126377055143,0.012904245944968855,0.671807373153452,2.596854548916273,2.096290237803647,6.306191248686308,0.5044862213695525,0.05072352430681783
PRP T2 CV (Long SOA),prp_t2_cv_long,201,0.007408415360402709,0.011769738382828132,0.012785923855422321,0.016260462907648487,-0.0026177622622196584,-0.013569499094535198,-0.017746470252141933,-0.019419209422125938,-295.72597491874154,-290.61108969646926,-288.8178819549027,-287.52655725630694,0.004361323022425423,0.28686229056955337,0.8348542594703562,0.0010161854725941888,0.1996932442993289,0.6554670297825396,0.6478174774880083,0.0034745390522261665,0.6816703119015733,0.41003154289292887,0.4344400847467983,-0.005070908657130906,0.011083745098121552,-0.4575085958978173,0.6473055252536246,z_ucla_score:C(gender_male)[T.1],0.013993767735438698,0.017866273030755615,0.783250525241014,0.433480010119354,122,-0.007848390290033137,0.014835723859678837,0.5967917791255684,79,-0.0027320015394150417,0.016571903560213607,0.8690561946448685,2.596854548916273,2.096290237803647,3.0650427782039875,0.8789207253022663,0.00012374782972427586
PRP Error Cascade Rate,prp_cascade_rate,143,0.0010460207059165283,0.01149086462789528,0.0225224729241138,0.03595656190701613,-0.013224750426856113,-0.024586111115612264,-0.020601535623351763,-0.014030875623731065,-187.10567068196048,-182.60871888514504,-182.21354822947973,-182.19251772680622,0.010444843921978753,0.48252584493395795,0.6949704129623677,0.01103160829621852,1.5348677455264355,0.2175172874833485,0.1761805720397694,0.013434088982902326,1.8812451192856723,0.17246800135620288,0.10673875156553043,0.018274185883077707,0.013440044802016875,1.3596819171566599,0.17393060284980721,z_ucla_score:C(gender_male)[T.1],0.030133393626233698,0.018556664955728722,1.6238582578347984,0.10440606306405241,96,0.008445755516356292,0.015830008156272758,0.5936680060258386,47,0.03684200419135093,0.02812930816262091,0.1902847197781411,2.9123471362964235,2.203792475972072,3.3270863951768788,0.85318659101851,5.901316330574976e-17
PRP Cascade Inflation,prp_cascade_inflation,129,0.006997626204258922,0.011438894986773085,0.012234794342810162,0.027040049849130776,-0.008764316236943293,-0.028746515786122417,-0.036343822328855024,-0.029246889415795563,775.9952481087645,781.4169929699142,783.3130920888452,783.364920766717,0.004441268782514163,0.18419905371519005,0.9069691275625265,0.0007958993560370775,0.09830243146894373,0.7544117904148085,0.6283479922037565,0.014805255506320614,1.8412226690184128,0.17733367883060508,0.044285271470567086,0.19211833975063586,0.39589167570481154,0.48528006912144556,0.6274776915068053,z_ucla_score:C(gender_male)[T.1],1.2155441113815852,0.598034631967711,2.0325647486034133,0.04209651599518965,87,-0.13797598116242446,0.5590648847112614,0.805064716563217,42,0.7747413121571388,0.6591953971700801,0.23988141142540464,2.957942394313169,2.204755834614801,2.221605361380025,0.9465639502719895,6.459748889493122e-19
