outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
PRP Delay Effect,prp_bottleneck,209,0.1,428.3822725240556,50.49233155336321,-66.41304071453855,-30.71842209854082,3.9121209923201796,18.942652361991488,38.165785529257775,-7.007712019044697
PRP Delay Effect,prp_bottleneck,209,0.3,553.8836424938677,40.81008423470735,-98.04510696976108,-22.07116868885613,24.83392035018455,-0.034430154083746875,-11.749180345163955,69.50125643546043
PRP Delay Effect,prp_bottleneck,209,0.5,645.0278807303941,30.912153182523525,-108.08479618413743,-8.055862921928666,8.78204890809133,-7.471738700407333,-3.3014627747357093,44.718190601553424
PRP Delay Effect,prp_bottleneck,209,0.7,702.838981448911,-7.044428206071053,-89.38900310704487,-25.334028227662227,12.813880284439263,-2.500625959455041,25.538352724067035,9.88553693238467
PRP Delay Effect,prp_bottleneck,209,0.9,836.8289716541566,-1.1982809950711584,-117.27899720959194,1.500664718540877,-8.882844228375786,12.901905119333646,18.91065509586628,12.266945543068047
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,210,0.1,1061.7864659741365,25.946405712048005,-201.80546710956236,2.9868830864682905,-9.863761410397345,-37.74591523314965,9.431035732006084,83.2002249796923
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,210,0.3,1179.654682587576,56.39274710067361,-158.07494712090391,-78.17009134733541,3.300979918336959,39.916638199000836,32.8040101108606,52.21349824752513
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,210,0.5,1311.8661129856882,26.239155563682992,-177.48475783608848,-44.77475272535611,-23.831458046644478,49.90252812628353,36.73735996683334,-16.953744342071346
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,210,0.7,1472.7254908171824,-3.333746804960946,-173.8329252420333,-21.89387819773639,-72.61079057900453,72.82527522896541,45.10650571259483,-34.90655111271052
PRP T2 Mean RT (Short SOA),t2_rt_mean_short,210,0.9,1645.3391598603687,10.675329922889143,-81.48172049408234,32.73995272930922,-119.25994634051219,76.91756582771505,-14.47060078529616,73.92464107338449
PRP T2 Mean RT (Long SOA),t2_rt_mean_long,209,0.1,495.077992646307,-8.558954186612704,-49.3392287142964,12.582818078047666,-32.229593484318066,13.98668966139087,8.493902655100849,11.32776989563529
PRP T2 Mean RT (Long SOA),t2_rt_mean_long,209,0.3,595.5700072379624,2.2302552057062863,-84.18747117942755,-11.533936184165393,-16.092292023501365,10.203258209242522,9.04133086625218,11.932174804578613
PRP T2 Mean RT (Long SOA),t2_rt_mean_long,209,0.5,672.293685903723,0.09680703982724183,-76.66275127012919,-41.8377137013769,-33.89351989041967,52.13490466802647,9.343430069198996,8.097534447056148
PRP T2 Mean RT (Long SOA),t2_rt_mean_long,209,0.7,801.2038628854893,11.04989260046099,-93.71043224244409,-15.495643016833823,-77.9038231743225,88.0987609675857,-13.390578600191906,-4.033912706982634
