outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
Stroop Interference Effect,stroop_interference,220,0.010203454736767537,0.015030951622878264,0.017015437794839827,0.02054814379808234,0.0010809059324980996,-0.007982343899951783,-0.010674268182770286,-0.011792247680282752,2652.978831233335,2657.9032084515875,2659.4595119096884,2660.6674392056275,0.004827496886110727,0.3496165134426841,0.7894638554121161,0.0019844861719615636,0.43001240393803053,0.5126905385985956,0.5195442163385176,0.003532706003242514,0.7646457229573277,0.3828680803891821,0.408568719579801,6.1411160560966005,9.519351300076037,0.6451191748798626,0.5188499586657305,z_ucla_score:C(gender_male)[T.1],12.35431722668566,14.919623642531242,0.8280582354280919,0.40763752038553036,136,2.707769052765096,11.845865433354296,0.8191926717080426,84,9.607435651658427,17.8981233519926,0.5914164618609152,2.6208301257176747,2.115888261384099,6.243281655053328,0.5116473074423377,0.0002793119026862372
Stroop Mean RT (Incongruent),rt_mean_incongruent,220,0.035123843078740946,0.04240058407337022,0.04561945138819912,0.04942819909866436,0.0262309752730151,0.020026765944243352,0.01873549227237381,0.018041394351922202,2971.145577152732,2975.480130073223,2976.739378086879,2977.8596441522495,0.007276740994629272,0.5420577564241005,0.6540051882117801,0.0032188673148288993,0.7183913576778612,0.39762346470852705,0.4212636637276387,0.0038087477104652434,0.8494408458708629,0.3577582124233015,0.38326924567334464,16.32499411777501,20.25965992265693,0.8057881613066132,0.4203650053689266,z_ucla_score:C(gender_male)[T.1],26.77529924450839,30.64580790968435,0.8737018558432964,0.3822806400248142,136,8.050281881758423,24.311525179816496,0.7405460884825186,84,22.581933910067363,38.65366565091862,0.5590777134964431,2.6208301257176747,2.115888261384099,2.831666544815692,0.9001254960874965,0.00011157826365532271
Stroop Mean RT (Congruent),rt_mean_congruent,220,0.03476590971037563,0.051327922862422715,0.053227226986904075,0.05490245656505599,0.025869742979595767,0.02916268741528305,0.026557571409070446,0.02369640560258146,2879.654177844984,2881.846536792478,2883.4056407704147,2885.016025689175,0.016562013152047084,1.2453445540536217,0.294238728966974,0.0018993041244813602,0.4272955349434731,0.5140240363510566,0.5326107848917188,0.0016752295781519155,0.3757799107988425,0.5405275152592706,0.5648990991807528,10.18387806167842,16.293040971243542,0.6250446481815451,0.5319417549252672,z_ucla_score:C(gender_male)[T.1],14.420982017822716,25.015372541837102,0.5764847992451146,0.5642875414547441,136,5.34251282899335,19.26044369541467,0.7814863057697878,84,12.974498258408929,31.476593837059127,0.680196416398181,2.6208301257176747,2.115888261384099,1.891573664781001,0.9655968893864034,6.273542866117982e-07
Stroop Mean RT (Neutral),rt_mean_neutral,220,0.03036801116106036,0.04994960012850236,0.05163095531478579,0.05170797839057806,0.02143131080309779,0.02775216087916821,0.024916334337737545,0.02039644937517271,2916.240726580094,2917.752380987263,2919.36269024873,2921.344821925301,0.019581588967442,1.4702588548984263,0.2236117492995731,0.0016813551862834286,0.37762583741569605,0.5395324498719314,0.5440513122328595,7.702307579227075e-05,0.017219265475040657,0.8957239774409548,0.9004662194099781,10.388926058132391,17.0962279254389,0.6076735817655919,0.5434039879253221,z_ucla_score:C(gender_male)[T.1],3.3526875696874754,26.773883831409005,0.1252223095759595,0.9003475557698981,136,11.666427011166945,21.130393538432703,0.5808689241656395,84,2.71355698680199,30.833123286528235,0.9298704344418243,2.6208301257176747,2.115888261384099,2.5407434569010867,0.923997920276298,1.2258077700169114e-06
Stroop Accuracy (Incongruent),accuracy_incongruent,220,0.0003892148568249709,0.014186365834108816,0.014706611208331277,0.014721633887909036,-0.008823787771222724,-0.00884666300154291,-0.013048132137912782,-0.017811142351641163,-830.3759601326324,-827.4336661303685,-825.5497978103367,-823.5531521560986,0.013797150977283845,0.9983598680349521,0.39452637302180005,0.0005202453742224611,0.11246626230313259,0.7376836765879544,0.7623034778374265,1.5022679577758602e-05,0.003232394194390481,0.9547149280031004,0.9502393704741512,-0.0011407725228235188,0.003766851682550779,-0.3028450862846365,0.7620079219436535,z_ucla_score:C(gender_male)[T.1],0.0002922875888140622,0.00467809041583733,0.062480106802669765,0.9501805034556943,136,-0.00027541466700505,0.004961353733784543,0.9557305703101859,84,-0.002278621142787929,0.005200741155824693,0.6612892022324905,2.6208301257176747,2.115888261384099,4.024496560428417,0.7769515965802105,2.530246437985128e-15
Stroop Accuracy (Congruent),accuracy_congruent,220,0.0032666309677698013,0.014921461548539017,0.01863650329375366,0.022038300505679453,-0.005919851696121636,-0.008094392153598085,-0.009007538866985687,-0.01025288768517063,-1029.9582012420435,-1026.5458255044884,-1025.3770833210972,-1024.1410158628405,0.011654830580769215,0.8439711985487532,0.4711637969281487,0.0037150417452146423,0.8063310836265783,0.37022108378000074,0.5429309714962782,0.0034017972119257944,0.737432774004534,0.39145438995824255,0.30654552604781427,0.0019395836484073017,0.0031829508958349443,0.6093665004211491,0.5422815373526232,z_ucla_score:C(gender_male)[T.1],0.0027984825918384026,0.0027303072898346896,1.024969827483353,0.30537742465007967,136,0.0017437978470666027,0.004622022937715842,0.7059653674891542,84,0.0016978665415621208,0.0031475686144049877,0.5895959706455443,2.6208301257176747,2.115888261384099,10.129628267921833,0.18134580196400427,2.466889858668109e-24
Stroop Accuracy (Neutral),accuracy_neutral,220,0.0007675841348901979,0.017313234378877218,0.017443145176401775,0.01802185609694973,-0.008441931218705179,-0.0056467367804948765,-0.010234512705953103,-0.0144019505413584,-1012.680061299375,-1010.3533973812391,-1008.3824832158905,-1006.5120980166305,0.01654565024398702,1.2010504520482408,0.31034782789652987,0.00012991079752455725,0.02816223787650444,0.8668871969271021,0.9068373451547969,0.0005787109205479535,0.1249383358661318,0.7240902257525155,0.6312050559785869,0.0003767555200254874,0.0032155160200650706,0.11716798102528601,0.9067269395564057,z_ucla_score:C(gender_male)[T.1],0.001198973467984664,0.0024940750665787942,0.48072870141368107,0.630709329574574,136,0.0005885584403009653,0.004678045297672927,0.8998800310289496,84,-0.00012159700527344941,0.0032377453659035464,0.9700416308865939,2.6208301257176747,2.115888261384099,10.938276608434176,0.14133411832461057,1.7998405515940256e-23
Stroop Post-Error Slowing (ms),stroop_post_error_slowing,136,0.005529604750839634,0.02815780265512846,0.036146576415367226,0.041821755882482825,-0.009424837282982379,-0.009220743396597397,-0.00868381537926699,-0.010578616842693789,1975.869531430776,1978.739234866288,1979.6166623003646,1980.8135260528816,0.022628197904288827,1.0089654937788424,0.39106355016149424,0.007988773760238765,1.0691997246200726,0.3030608600117186,0.36179201424175744,0.005675179467115599,0.7581292690065448,0.38554464441663594,0.3793770017027134,41.72599593138304,45.592004353553534,0.9152042451963582,0.3600844164402781,z_ucla_score:C(gender_male)[T.1],51.81778829628629,58.74376037934152,0.8820985916064901,0.37772349378480485,79,7.64291735013456,51.63473930249003,0.8823278519378013,57,74.5592526903579,101.56131952863495,0.46286926393916994,2.805299490472624,2.1749453744113376,8.039581069355506,0.32911663264026886,0.00015458971526021277
Stroop Post-Error RT (ms),stroop_post_error_rt,136,0.031973728183176564,0.05384404502251272,0.0631239243498447,0.06823212966568104,0.017416942140818237,0.01745343136953237,0.019548292924255972,0.017276074256773022,2010.3583645295823,2013.250517760243,2013.9100479378758,2015.1664952081583,0.021870316839336157,1.0016464249037214,0.39439269504010094,0.009279879327331986,1.2777617705683078,0.260412922771944,0.32357793510161437,0.005108205315836334,0.7017308722959632,0.40376414137637195,0.40229586934220307,51.74370091517274,52.21764827110322,0.9909236173664917,0.3217228790753317,z_ucla_score:C(gender_male)[T.1],56.56436526367434,67.31288072073899,0.840320079277887,0.40072894615873667,79,6.826428296233395,62.24570250240907,0.9126718310929185,57,93.57704948437362,112.61744228736612,0.40601398673836175,2.805299490472624,2.1749453744113376,5.326930703263597,0.620132843026029,0.0006663527217113132
Stroop Post-Correct RT (ms),stroop_post_correct_rt,220,0.03609149815604573,0.050580018093762114,0.0526278375159378,0.05416918292355588,0.02720754883029508,0.02839730823613973,0.02594129772765441,0.02293892009556009,2908.420663832685,2911.0887369416064,2912.6137028697385,2914.25547813815,0.014488519937716382,1.0885745422681021,0.3548602444068112,0.0020478194221756896,0.46041624843578716,0.4981660416951904,0.5140753298881777,0.0015413454076180777,0.34547957257837897,0.5573088130057717,0.5777923247928993,11.29675351098664,17.283928684951174,0.6535987110860121,0.5133703748506298,z_ucla_score:C(gender_male)[T.1],14.777451564742087,26.50791564251395,0.557473162508549,0.5772041904331052,136,7.427090279807345,20.784984333233787,0.7208450680368057,84,11.693630181506819,32.5025195196374,0.7190145666984453,2.6208301257176747,2.115888261384099,2.2046871385880262,0.9476481758270422,2.7551210673318313e-05
