outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
Stroop Interference Effect,stroop_interference,219,0.1,22.771898129611973,9.454048556929036,6.176146163937851,0.0899153989821685,10.312420637251869,17.26605863441848,-21.75993703577356,8.394732305634898
Stroop Interference Effect,stroop_interference,219,0.3,87.16775990353214,3.430473548324291,2.0365613586101388,-18.740486281157583,10.103759724163908,3.3381234571809117,12.636899422722392,-1.2590419353304518
Stroop Interference Effect,stroop_interference,219,0.5,127.49901298553918,15.351074136156404,-5.640570613455267,-23.46026122063709,6.453047364957276,-4.832749549405299,21.13374700798994,10.159358036080762
Stroop Interference Effect,stroop_interference,219,0.7,178.13341561286273,4.147032523522166,-20.39958364431701,-14.270971709139696,2.5283403328391625,-11.970880776539412,9.810877037379589,19.25497661962029
Stroop Interference Effect,stroop_interference,219,0.9,292.68706238824547,12.830432897431704,-22.879305572706343,0.077419691477207,1.9636272714519936,-5.588020388052559,0.0094534615300531,6.907295414094016
Stroop Mean RT (Incongruent),rt_mean_incongruent,219,0.1,789.6844486110433,9.110263483951307,-99.9273902863182,-2.068453079461138,2.148544817202101,-5.878456158448533,-7.152983268166197,22.95006313311442
Stroop Mean RT (Incongruent),rt_mean_incongruent,219,0.3,879.6421143873866,15.005612851307744,-78.68248347196115,4.489094470374831,20.323018071856,-39.23344508746395,2.8992030113786003,25.685104816328323
Stroop Mean RT (Incongruent),rt_mean_incongruent,219,0.5,981.145052054337,5.305463747839322,-84.13861632793501,-12.92262191807198,-32.45898114938249,1.2707628470191294,17.552234507423016,7.459391539361284
Stroop Mean RT (Incongruent),rt_mean_incongruent,219,0.7,1114.7144489966515,15.851957406821786,-106.50327826202457,-0.8058560471142134,-43.26018235024178,18.370079582765136,3.016736547402086,28.849423617421408
Stroop Mean RT (Incongruent),rt_mean_incongruent,219,0.9,1295.936719418611,31.064732880495164,-87.62598193410629,27.139633600312603,-72.77248970399327,27.060157993697302,5.831261348552355,21.0196799492376
Stroop Mean RT (Congruent),rt_mean_congruent,219,0.1,688.5131038686153,11.816510346359006,-82.49993347551901,8.383832393484147,-13.172625875008787,-5.12817080023419,9.783030238803798,13.951904053569834
Stroop Mean RT (Congruent),rt_mean_congruent,219,0.3,762.289053561675,-3.438901833621883,-76.53570960551639,12.201978514235885,0.8185549780071879,-28.42849443671906,6.731936056338936,5.495249000114831
Stroop Mean RT (Congruent),rt_mean_congruent,219,0.5,852.363787908306,4.446016438992459,-62.23934582214788,1.7102342767453294,-19.355492329151744,7.636084370859656,-2.6388830436188324,27.70354969818419
Stroop Mean RT (Congruent),rt_mean_congruent,219,0.7,927.2185434793912,10.421537920722448,-59.68606145609253,33.93395081889707,-50.92059434913366,24.3486284263878,-20.46127262485704,17.79031049735237
Stroop Mean RT (Congruent),rt_mean_congruent,219,0.9,1071.0246238653765,23.129378351797957,-6.95824062819643,23.16493512770355,-33.88682259329694,-25.137264259763185,-6.53148368775853,2.1111048752463546
Stroop Mean RT (Neutral),rt_mean_neutral,219,0.1,720.0357292872624,7.87256402247144,-92.52441023226196,13.567507440866796,-10.018228950019802,-5.895906889044698,10.712889921102448,-16.786042685315397
Stroop Mean RT (Neutral),rt_mean_neutral,219,0.3,800.8943606853252,19.08952929371569,-87.47131785098381,3.681582966090328,-7.709877955864458,-26.903762217182283,3.365950159000635,8.080763734207824
Stroop Mean RT (Neutral),rt_mean_neutral,219,0.5,879.3987773769679,6.183130402611346,-64.82403418318673,-2.3017642661709083,-32.237495730746545,9.721496404498051,-4.507747231000229,26.1657542749884
Stroop Mean RT (Neutral),rt_mean_neutral,219,0.7,959.881942355708,9.325833804073383,-26.096705992472007,36.25762929797617,-27.01137365289893,-25.968685306444247,6.921561543096283,-5.81665529378361
Stroop Mean RT (Neutral),rt_mean_neutral,219,0.9,1164.0813088384018,26.288726364856014,-54.39666156889344,68.98938192076677,-42.39514278074148,-54.3695527590291,-1.550068629609062,28.908373715919343
Stroop Accuracy (Incongruent),accuracy_incongruent,219,0.1,0.9311900953954148,0.001692800761618,0.0076516967219545,0.0148828562460075,-0.0100482518494835,-0.0042404258859511,-0.014107025491361,0.0128619108157619
Stroop Accuracy (Incongruent),accuracy_incongruent,219,0.3,0.971883828696718,-0.000527917867106,-0.0001598968177168,0.0002513929810707,-0.0003916988967442,-4.863293783524323e-06,-0.0001697297110998,0.0001407784192329
Stroop Accuracy (Incongruent),accuracy_incongruent,219,0.5,0.9887420295331828,-0.0007066684357311,-0.0102052421458021,0.0026011389570289,-0.0113355311706483,0.0102983480444873,-0.001002808823149,-0.0098001042426441
Stroop Accuracy (Incongruent),accuracy_incongruent,219,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Incongruent),accuracy_incongruent,219,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Congruent),accuracy_congruent,219,0.1,0.9829448195265048,0.0010304371835352,-0.0119889313127053,0.0078903152167612,-0.0066482856207594,0.0006454975216933,-0.0104688774469871,0.0095164083754654
Stroop Accuracy (Congruent),accuracy_congruent,219,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Congruent),accuracy_congruent,219,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Congruent),accuracy_congruent,219,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy (Congruent),accuracy_congruent,219,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
