Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,219,20.374429223744293,3.3285647261278832,-20.0,29.0,20.0,-7.925671380226653,97.36071515381886
Total,UCLA Loneliness,ucla_score,219,40.538812785388124,11.058315002483322,20.0,73.0,40.0,0.3672542053519148,-0.34096451556895113
Total,DASS-21 Depression,dass_depression,219,7.54337899543379,7.861862975621407,0.0,42.0,4.0,1.7283438545146785,3.4987044598540304
Total,DASS-21 Anxiety,dass_anxiety,219,5.607305936073059,5.917718810465333,0.0,28.0,4.0,1.3337860305329976,1.453438656659169
Total,DASS-21 Stress,dass_stress,219,10.155251141552512,7.604537956272012,0.0,42.0,10.0,0.850854867569038,0.7116633265905068
Total,Stroop Interference Effect,stroop_interference,219,137.82930311715808,100.43908368028804,-94.169444443658,474.18055555721116,122.32777775658496,0.663094415429246,0.39218827619093233
Male,Age (years),age,84,21.107142857142858,2.117158001529962,18.0,29.0,21.0,0.6556100662767428,0.47103022913500103
Male,UCLA Loneliness,ucla_score,84,37.904761904761905,11.621147163185343,20.0,73.0,36.0,0.7644403906832882,0.20769578316001702
Male,DASS-21 Depression,dass_depression,84,6.071428571428571,7.905748578420512,0.0,42.0,2.0,1.9737720710934563,4.586390358642425
Male,DASS-21 Anxiety,dass_anxiety,84,4.761904761904762,6.223970467182712,0.0,28.0,2.0,1.7095116625312645,2.6300384649940485
Male,DASS-21 Stress,dass_stress,84,9.0,8.269555137289714,0.0,42.0,8.0,1.213431445949143,1.850712245618583
Male,Stroop Interference Effect,stroop_interference,84,131.89267006887124,96.72555590601269,-89.48055555423093,386.81388890080984,124.77222222224293,0.4281685185902322,-0.044192435699380805
Female,Age (years),age,135,19.918518518518518,3.83435345860942,-20.0,29.0,20.0,-8.268533499910498,85.65905635362587
Female,UCLA Loneliness,ucla_score,135,42.17777777777778,10.403692417617796,20.0,70.0,42.0,0.18118451079157138,-0.43959436900204896
Female,DASS-21 Depression,dass_depression,135,8.459259259259259,7.7225807330549605,0.0,38.0,6.0,1.6803830567927618,3.2237798991677193
Female,DASS-21 Anxiety,dass_anxiety,135,6.133333333333334,5.678974050711688,0.0,26.0,4.0,1.1238325077269464,0.8198804287797206
Female,DASS-21 Stress,dass_stress,135,10.874074074074073,7.096803600055145,0.0,30.0,10.0,0.6279618644985164,-0.20777260324728308
Female,Stroop Interference Effect,stroop_interference,135,141.523208124981,102.86382083808705,-94.169444443658,474.18055555721116,121.92222222023531,0.7728119508459036,0.5265592297057449
