Group,Variable,Column,N,Mean,SD,Min,Max,Median,Skewness,Kurtosis
Total,Age (years),age,200,20.39,3.4521714090099773,-20.0,29.0,20.0,-7.799886819182164,92.19845163940381
Total,UCLA Loneliness,ucla_score,200,40.47,10.913045993869979,20.0,70.0,39.5,0.34849626381654775,-0.47056118322770457
Total,DASS-21 Depression,dass_depression,200,7.38,7.449366773534055,0.0,38.0,4.0,1.5276433780407985,2.544136626639311
Total,DASS-21 Anxiety,dass_anxiety,200,5.45,5.620985446248253,0.0,26.0,4.0,1.1922695153458933,0.8196649953163728
Total,DASS-21 Stress,dass_stress,200,9.94,7.363934932387861,0.0,30.0,8.0,0.6451894920352446,-0.2922391446877848
Total,WCST Perseverative Error Rate,pe_rate,200,10.614251673027534,5.986985708742511,0.0,48.4375,9.876543209876544,2.170279115105534,9.091162869957621
Total,Stroop Interference Effect,stroop_interference,200,137.63882418065398,103.14374063417812,-94.169444443658,480.5887301595913,122.21507936554644,0.7327161550419516,0.4847350563742072
Total,PRP Delay Effect,prp_bottleneck,200,587.0942539906678,149.0079921525033,269.69384058058745,981.2900000000024,591.0112293144842,0.192100107334829,-0.39449061654243645
Male,Age (years),age,79,21.126582278481013,2.132574516133354,18.0,29.0,21.0,0.6640078008044745,0.5239343653402919
Male,UCLA Loneliness,ucla_score,79,37.74683544303797,10.980715443542875,20.0,65.0,36.0,0.656344693746489,-0.15552863923678206
Male,DASS-21 Depression,dass_depression,79,5.746835443037975,6.989861438834988,0.0,28.0,2.0,1.4447077774403194,1.3985239082847558
Male,DASS-21 Anxiety,dass_anxiety,79,4.481012658227848,5.739786379241382,0.0,26.0,2.0,1.6006411858210865,2.0561684376063445
Male,DASS-21 Stress,dass_stress,79,8.632911392405063,7.521213103172258,0.0,28.0,8.0,0.7892539609293688,-0.1616881438897244
Male,WCST Perseverative Error Rate,pe_rate,79,10.323270076862553,6.3961297947381,0.0,48.4375,9.45945945945946,3.053634730197167,15.197157237559516
Male,Stroop Interference Effect,stroop_interference,79,127.35877483358458,96.08563131392809,-81.85087301267515,398.0202381048885,119.58725490167228,0.5457126860658528,0.27394056800867705
Male,PRP Delay Effect,prp_bottleneck,79,526.0386758064643,135.17337731312375,269.69384058058745,931.4046195652066,515.5922925839783,0.32388777894132154,-0.16830057405960952
Female,Age (years),age,121,19.90909090909091,4.026992260567018,-20.0,29.0,20.0,-7.969190786913232,78.36809530499225
Female,UCLA Loneliness,ucla_score,121,42.247933884297524,10.538248582928393,20.0,70.0,42.0,0.20895498531086726,-0.432860812511354
Female,DASS-21 Depression,dass_depression,121,8.446280991735538,7.574024044085528,0.0,38.0,6.0,1.6171039807766017,3.013100690430064
Female,DASS-21 Anxiety,dass_anxiety,121,6.082644628099174,5.473552741531323,0.0,22.0,4.0,0.9828380190694436,0.28923510908831984
Female,DASS-21 Stress,dass_stress,121,10.793388429752065,7.162305675516207,0.0,30.0,10.0,0.609456858163037,-0.2876484756907618
Female,WCST Perseverative Error Rate,pe_rate,121,10.804231392837726,5.723403927188064,0.0,32.03125,10.112359550561797,1.386593621658655,3.080125033906697
Female,Stroop Interference Effect,stroop_interference,121,144.35059193617863,107.36065262755876,-94.169444443658,480.5887301595913,129.24949579922588,0.7876972079386689,0.42714610691849186
Female,PRP Delay Effect,prp_bottleneck,121,626.9569868547345,144.52510888725504,321.81408268733924,981.2900000000024,631.5083333291113,0.099173566722565,-0.42328872904659987
