outcome,outcome_column,n,model0_r2,model1_r2,model2_r2,model3_r2,model0_adj_r2,model1_adj_r2,model2_adj_r2,model3_adj_r2,model0_aic,model1_aic,model2_aic,model3_aic,delta_r2_dass,F_dass,p_dass,delta_r2_ucla,F_ucla,p_ucla_ols,p_ucla_wald,delta_r2_interaction,F_interaction,p_interaction_ols,p_interaction_wald,ucla_beta,ucla_se,ucla_t,ucla_p,interaction_term,interaction_beta,interaction_se,interaction_t,interaction_p,female_n,female_ucla_beta,female_ucla_se,female_ucla_p,male_n,male_ucla_beta,male_ucla_se,male_ucla_p,vif_max,vif_mean,bp_stat,bp_p,shapiro_p
WCST Perseverative Error Rate,pe_rate,212,0.0019120660286265911,0.029503134616366333,0.0298442269664706,0.029870889848890192,-0.007639014679233558,0.005947385456569365,0.0014494238532940518,-0.003417854126883224,1370.3940246318982,1370.45098412965,1372.3764611804777,1374.3706346844594,0.027591068587739742,1.9521822040533237,0.12235025292771093,0.0003410923501042662,0.07207495302814416,0.7886092342211559,0.7728575168392232,2.666288241959247e-05,0.005606705289737404,0.9403852064180073,0.9300407135991872,-0.15375122710677724,0.5319728664509971,-0.2890208068928645,0.7725654551155866,z_ucla_score:C(gender_male)[T.1],-0.06497368492351085,0.739159630743395,-0.08790210155033071,0.929954486276598,130,-0.09847562344147037,0.6744720484915453,0.8839182231478707,82,-0.13001836747996232,0.9751734386549419,0.893933625022868,2.6831327529324107,2.1313195480270846,2.022869185981442,0.9585637647226826,3.9553618490548103e-13
WCST Accuracy (%),wcst_accuracy,212,0.009456224244197453,0.013087354991417444,0.01567857879186285,0.023104760822246995,-2.266356207814013e-05,-0.010866835421412313,-0.013130828658131533,-0.010416154247578024,1615.83604345374,1621.0574669192094,1622.5001107213623,1622.8946194500463,0.0036311307472199905,0.25264408750206074,0.85939542442179,0.002591223800445408,0.5396620124748844,0.46341231003749894,0.4939881308017283,0.007426182030384143,1.5507713349831491,0.2144501016149625,0.3193217949310956,0.7588987582064859,1.1075486855052605,0.6852057775322793,0.493214078585689,z_ucla_score:C(gender_male)[T.1],-1.9418493041894749,1.9451771229735588,-0.998289194981382,0.3181391455352378,130,1.3243609882056697,1.398234357572066,0.3435538534023094,82,0.12045762547421868,2.1183700973543655,0.954654047559675,2.6831327529324107,2.1313195480270846,8.02205161638358,0.3306534306049638,4.278636289760985e-15
WCST Mean Reaction Time (ms),wcst_mean_rt,212,0.03297493211286007,0.05132209667121401,0.07172913705375039,0.07260605355535787,0.02372110371202618,0.02829593396905905,0.04456023374800644,0.0407837122557867,3342.5768855419774,3344.5160077606497,3341.9059053202786,3343.7055390566748,0.018347164558353946,1.3279940732111037,0.2663106680420866,0.02040704038253638,4.506705365222911,0.03496175139966073,0.08947846443510776,0.0008769165016074831,0.1928964136694474,0.660981662688976,0.6093889731593078,126.53320330028487,74.15924200763432,1.7062364699906036,0.08796406108124212,z_ucla_score:C(gender_male)[T.1],39.64559685774143,77.4726866714052,0.511736439784196,0.6088354794050438,130,127.06966583721515,93.7073030420803,0.1750904661159537,82,101.40852013185898,118.00734097806479,0.3901525330743276,2.6831327529324107,2.1313195480270846,8.636229979079129,0.2798386443016613,1.2781626947840291e-18
WCST Reaction Time SD,wcst_sd_rt,212,0.004546551512020769,0.023232611990016583,0.03387711053757325,0.033910362922822124,-0.004979318808438382,-0.0004753343209054073,0.00560034304111201,0.0007602283172325475,3757.6526181671816,3759.6352553118845,3759.3122664153098,3761.304969593064,0.018686060477995814,1.313628507571137,0.2710014179200009,0.010644498547556669,2.258638343061422,0.13440973814636317,0.23664560853498615,3.3252385248871974e-05,0.007021591300038489,0.9333016442245665,0.9019418055263742,239.73918305396387,201.98982680944167,1.1868874132959932,0.235272032724559,z_ucla_score:C(gender_male)[T.1],-20.252990903037954,164.17511805588848,-0.12336212175674169,0.9018203503761174,130,267.78717653676955,280.3074019736125,0.33940884586773845,82,173.18158297324132,226.13460613153777,0.4437750466205427,2.6831327529324107,2.1313195480270846,5.818572988339435,0.5610863814879433,8.705154298566185e-25
WCST Perseverative Error Count,pe_count,212,0.0009071614677618189,0.022935092491493614,0.023406435003610615,0.02341137534728477,-0.008653535551685465,-0.0007800751664799321,-0.005176791288966642,-0.010099018635896684,1484.1667165121942,1485.4402569804492,1487.3379621158006,1489.3368896578756,0.022027931023731795,1.5480901886241882,0.20321669045175036,0.0004713425121170012,0.09894107277303896,0.7534240093666712,0.7365009326696008,4.9403436741535245e-06,0.0010319904247031116,0.9744040876078196,0.9689469812371201,-0.23624760565856612,0.70114001073364,-0.33694783073550133,0.7361562276989055,z_ucla_score:C(gender_male)[T.1],-0.03655771466112201,0.9379346120240505,-0.03897682652123365,0.9689088643281694,130,-0.21900768830741627,0.881759205121882,0.8038436204535596,82,-0.1770730602649636,1.288950843752038,0.8907322825305014,2.6831327529324107,2.1313195480270846,2.251179063416521,0.9446410083818557,2.3358428448601968e-17
WCST Post-Error Slowing (ms),wcst_pes,211,0.004135403762186685,0.01071153955133941,0.015426064809325624,0.01907321297427178,-0.005440217355484611,-0.013417447288871953,-0.013531992108047008,-0.014751848647305055,3534.9617750674875,3539.563827717837,3540.5558884376806,3541.7728318482427,0.006576135789152726,0.4542348333080118,0.7145837673703193,0.004714525257986213,0.9768318236486104,0.3241530360553847,0.36564545365491863,0.003647148164946157,0.7547669074559111,0.38599714789089756,0.4433271694971349,97.93994378455389,108.02034273005961,0.9066805502487952,0.3645757516529339,z_ucla_score:C(gender_male)[T.1],130.1698106281125,169.4724128708695,0.7680884954844901,0.4424346112891794,129,-10.063095725102107,154.41980623767387,0.9480409312298688,82,309.5774351332513,132.00849116227855,0.01902030646272277,2.7084820024358094,2.1403668256772335,6.083018427994003,0.5300899038185789,1.0717418767531182e-13
WCST Post-Switch Error Rate,wcst_post_switch_error_rate,209,0.022913256906274104,0.05602799133013914,0.0567626607632824,0.05779721056984333,0.013426977847111776,0.03277744924467452,0.028745710092884846,0.024984178102126497,-212.36744283728757,-213.57353698786204,-211.73625970800305,-209.96561828373655,0.03311473442386503,2.373760742304535,0.0713776645527502,0.0007346694331432646,0.1573339172673389,0.6920417936527818,0.6807788553145341,0.0010345498065609249,0.2207003772983008,0.6390160477354392,0.6398469450920088,-0.005398858144365769,0.013104136224431087,-0.41199649117659864,0.6803419950610294,z_ucla_score:C(gender_male)[T.1],0.009936381723808002,0.021203358155418253,0.4686230195696093,0.6393391202301524,128,-0.003753214495364145,0.0169982816324114,0.8252484425135838,81,-0.010241219763215842,0.02338004421535005,0.6613627072413328,2.483054301024118,2.0060421218551867,3.9107505245540164,0.7899979608283878,0.008850781362457089
WCST Reaction Time Coefficient of Variation,wcst_cv_rt,212,0.004231596744289523,0.01676452604926215,0.01742350565887074,0.017423532768985006,-0.005297287497392,-0.007100412638862519,-0.011334830760869608,-0.01629232640070688,205.7487807499504,209.06357475857965,210.9214414470287,212.92143559776974,0.012532929304972629,0.8752679309702946,0.4547746323927645,0.0006589796096085898,0.13748631353159435,0.7111757246705361,0.7408962541152779,2.7110114264594642e-08,5.628532218493156e-06,0.99810937668537,0.9978578911266734,0.01372150173360815,0.04144036016046983,0.33111444206745,0.7405580431829288,z_ucla_score:C(gender_male)[T.1],0.00013302482003692967,0.04948783501857433,0.0026880307046570394,0.9978552643845915,130,0.0020436126785718673,0.05508727583444558,0.9704070849746008,82,0.044211972612017966,0.05976524491551701,0.459445278371011,2.6831327529324107,2.1313195480270846,3.7216282990106384,0.8112238380887518,1.6041585031612024e-16
WCST Valid Trial Count,wcst_trials,212,0.0012237701064639062,0.0022738815199773166,0.008448604676119187,0.008568791193534486,-0.008333897165244686,-0.021942771841188202,-0.02057241177238467,-0.02545090714786391,1847.60170411936,1853.3786904671335,1854.0625890140436,1856.0368908140995,0.0010501114135134104,0.07227198833326787,0.9747615289296111,0.00617472315614187,1.276603767569332,0.25985174329239263,0.2832357079027077,0.0001201865174152994,0.024729955376560017,0.8751973632930334,0.8879671025486621,-2.015281248883839,1.8731087108306175,-1.0759019149455433,0.28197112542294345,z_ucla_score:C(gender_male)[T.1],0.424967915398039,3.0128201279726454,0.141053198447663,0.887827916126892,130,-1.3020240652865835,2.359598206579085,0.5810860334411319,82,-4.189986220041674,3.499259625969767,0.23115371819311392,2.6831327529324107,2.1313195480270846,4.025007629541738,0.7768925516700789,1.9163374648331163e-11
WCST HMM Lapse Occupancy (%),wcst_hmm_lapse_occupancy,212,0.0077083836468606615,0.02552374578291705,0.037040168776441895,0.03732344568397927,-0.0017872299067578368,0.0018714095155121235,0.008855978594288993,0.004290426663331459,1608.6434532623211,1610.8026745587915,1610.2823225858547,1612.2199487075025,0.01781536213605639,1.2553631020238547,0.29081145850292,0.011516422993524844,2.451677252905569,0.11894168413039123,0.12552744501843763,0.00028327690753737755,0.060028977415666644,0.806696428650233,0.8102371521873298,1.5715931873508917,1.0216703050936957,1.5382586530267839,0.12398538501283302,z_ucla_score:C(gender_male)[T.1],0.3725531744459296,1.5495185525139175,0.24043156749656497,0.8099957084762714,130,1.0729698819464495,1.1340793732062688,0.3440897648530582,82,2.4562624030087097,2.0723776271284096,0.23592303720641028,2.6831327529324107,2.1313195480270846,5.800976585826067,0.5631711795036181,2.091826968721375e-06
