outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Perseverative Error Rate,200,0.011999967633813613,0.039250155356571836,0.041655081652316905,0.041973754409751596,0.027250187722758223,0.1422813136026913,0.002404926295745069,0.4965839423100771,0.00031867275743469037,0.8107439134171
WCST Accuracy (%),200,0.013489038171733858,0.05426966385103005,0.06788350276686317,0.06862934922176545,0.04078062567929619,0.04184491262272157,0.01361383891583312,0.10506677570195663,0.000745846454902277,0.7101795140251335
WCST Mean Reaction Time (ms),200,0.037115071971855707,0.043004902774150366,0.05404533342374085,0.05611783418346461,0.00588983080229466,0.754593830551373,0.011040430649590482,0.2169622180199276,0.002072500759723761,0.5802968698310293
WCST Reaction Time SD,200,0.0006207884540569975,0.008275228942279944,0.020868731797966222,0.02337272157394088,0.007654440488222947,0.6833238507374281,0.012593502855686278,0.16580555362909016,0.0025039897759746577,0.5324795025374062
WCST Perseverative Error Count,200,0.008648476619537271,0.04078186850293264,0.04455619256508747,0.04522259631852765,0.03213339188339537,0.09332833172682473,0.0037743240621548324,0.3956114895424454,0.0006664037534401812,0.7388774655344577
WCST Perseverative Responses (count),200,0.006738633503720726,0.02321355803846603,0.026416763986950587,0.029764915917401824,0.016474924534745305,0.35421844175845346,0.0032032059484845554,0.4617213190039051,0.0033481519304512375,0.4817199203529534
WCST Perseverative Errors (count),200,0.008648476619537271,0.04078186850293264,0.04455619256508747,0.04522259631852765,0.03213339188339537,0.09332833172682473,0.0037743240621548324,0.3956114895424454,0.0006664037534401812,0.7388774655344577
WCST Perseverative Responses (%),200,0.008969428202857732,0.029896932789049258,0.030367366963793385,0.0322906468737425,0.020927504586191525,0.24559498052260367,0.00047043417474412763,0.7810947171903896,0.001923279909949116,0.5532845784874147
WCST Post-Error Slowing (ms),199,0.005104091712514802,0.02525432544333872,0.04939454882254579,0.04950006679505525,0.02015023373082392,0.2658964032564031,0.02414022337920707,0.04683562846827896,0.00010551797250946127,0.9009864795253352
WCST Post-Switch Error Rate,200,0.027099602280876378,0.06826049987515692,0.06929682911891233,0.07006478868393273,0.04116089759428054,0.03829417709846066,0.0010363292437554072,0.6389217072976197,0.0007679595650204041,0.7132921041471317
WCST Reaction Time Coefficient of Variation,200,0.02589587730023346,0.030039974359281185,0.03319619156252118,0.03493094052639023,0.004144097059047724,0.8424673410135615,0.003156217203239997,0.41341383249933317,0.0017347489638690483,0.5372145042201731
WCST Valid Trial Count,200,0.0009972660190672444,0.022054513398833686,0.032844995234383445,0.034419626652256397,0.02105724737976644,0.2463792359513135,0.010790481835549759,0.154248201062091,0.0015746314178729515,0.592012458388488
WCST HMM Lapse Occupancy (%),200,0.0006623284644472482,0.0030294609335913547,0.02479263599323067,0.024795576650674445,0.0023671324691441065,0.9273169868176044,0.021763175059639317,0.057634210258863346,2.9406574437729205e-06,0.9816271130144284
WCST HMM P(Focus->Lapse),200,0.0023732803772213984,0.006603240320579573,0.00839379755237124,0.009349929477481478,0.004229959943358175,0.843134859865214,0.0017905572317916674,0.5633408734510618,0.0009561319251102374,0.6458568095109036
WCST HMM P(Lapse->Focus),200,0.0016950789795470156,0.005324605650155911,0.0627843285171994,0.06924955681476885,0.0036295266706088958,0.8712203628398634,0.05745972286704348,0.0006671453537316238,0.006465228297569459,0.24781419036728544
WCST HMM P(Lapse->Lapse),200,0.0016950789795470156,0.005324605650155911,0.0627843285171994,0.06924955681476908,0.0036295266706088958,0.8712203628398634,0.05745972286704348,0.0006671453537316149,0.006465228297569681,0.24781419036728544
WCST HMM P(Focus->Focus),200,0.0023732803772210653,0.006603240320579573,0.008393797552371018,0.0093499294774817,0.004229959943358508,0.8431348598651984,0.0017905572317914453,0.5633408734510618,0.0009561319251106815,0.6458568095109369
WCST HMM Lapse RT Mean,200,0.009130221798991589,0.01706507057995943,0.019053232387212682,0.023699613405381847,0.00793484878096784,0.6676237923082855,0.0019881618072532525,0.44837231725231497,0.004646381018169166,0.3015333915230884
WCST HMM Focus RT Mean,200,0.0825936900205051,0.09834709686842114,0.09835660867383489,0.10120240571797334,0.01575340684791604,0.3381718237414524,9.511805413753294e-06,0.963856511005171,0.002845797044138454,0.43788881431092497
WCST HMM RT Difference,200,0.006835596523414034,0.012942267857022016,0.015119062173255982,0.01928000799782803,0.0061066713336079825,0.7530987981734526,0.0021767943162339654,0.42605943875433117,0.004160945824572049,0.32636956498794734
WCST HMM State Changes,200,0.005446417508620072,0.008625956290464032,0.01003116808703508,0.010286731080612288,0.00317953878184396,0.8911937713776156,0.0014052117965710487,0.6000858479127994,0.00025556299357720746,0.8171266777891997
WCST RL alpha,200,0.0045538276001449995,0.031889716091745735,0.039767518709591165,0.048973122365287836,0.027335888491600735,0.1437624540624129,0.00787780261784543,0.336280278377175,0.00920560365569667,0.18679110705689178
WCST RL beta,200,0.00371329192460923,0.014588256036916825,0.018012806254297797,0.018955708420064443,0.010874964112307595,0.5449207749757611,0.0034245502173809728,0.4790482629662779,0.0009429021657666459,0.6923243145116923
WCST RL alpha (pos),200,0.001036998734960437,0.002861454466291269,0.011884541923318115,0.033985207052494415,0.0018244557313308318,0.9492641602907195,0.009023087457026846,0.21801814281504653,0.0221006651291763,0.05547819704260709
WCST RL alpha (neg),200,0.0020941127127060977,0.02128374085357676,0.02128430848111451,0.024213223107163118,0.019189628140870663,0.2866187202053516,5.676275377508588e-07,0.9920531858241176,0.0029289146260486065,0.46927852227184286
WCST RL alpha asymmetry,200,0.0032711826912634745,0.015717397442323255,0.020571307503509995,0.025155836230180917,0.012446214751059781,0.4854956998485137,0.004853910061186739,0.3840941560474005,0.004584528726670922,0.39649847933976
WCST RL beta (asym),200,0.009085099420351517,0.013466666869906496,0.018525435038240556,0.01853189182008197,0.0043815674495549795,0.8346039244786709,0.00505876816833406,0.24575708292044063,6.456781841412962e-06,0.9776376744806761
WCST WSLS P(stay|win),200,0.0020834641682070387,0.023148771774822774,0.023191797323668162,0.03006688107285682,0.021065307606615735,0.24574951242334434,4.3025548845387895e-05,0.9359319422210022,0.00687508374918866,0.28368597668103257
WCST WSLS P(shift|lose),196,0.035018966362327375,0.04205943026891912,0.04882180598794117,0.04882611469163778,0.007040463906591743,0.7067153005874751,0.006762375719022051,0.22941114069465054,4.308703696609406e-06,0.9768302539512452
WCST Bayesian RL hazard,200,0.029843911127252487,0.03687341949737011,0.04526649949158523,0.05771321386674999,0.007029508370117621,0.7021583759743353,0.008393079994215125,0.25416783203144067,0.012446714375164758,0.10067641706569223
WCST Bayesian RL noise,200,0.012517299280662475,0.0626829947670845,0.064042142157959,0.06465668735775798,0.050165695486422024,0.017408330981743464,0.0013591473908745044,0.600075811874216,0.000614545199798977,0.7455965615607336
WCST Bayesian RL beta,200,0.023933831127006533,0.036286844861926904,0.037979522362498574,0.04909212950692088,0.01235301373492037,0.4794137937019268,0.001692677500571671,0.6037544060849331,0.011112607144422304,0.12347911949744385
