gender,parameter,n,r,p
Female,Overall mu,114,0.04931112971283492,0.60235731319243
Female,Overall sigma,114,0.057336699127024104,0.5445542500949714
Female,Overall tau,114,-0.06380186789236719,0.5000585237080898
Female,Short SOA mu,114,0.08957415497728013,0.3432531093828058
Female,Short SOA sigma,114,0.18544758576422943,0.04822423658681175
Female,Short SOA tau,114,-0.13323321765226614,0.1576048975602311
Female,Long SOA mu,114,-0.050719657961915805,0.5920174397051113
Female,Long SOA sigma,114,-0.013700482044336817,0.884966855150554
Female,Long SOA tau,114,0.050818888474790776,0.5912920384701577
Female,Bottleneck mu,114,0.13631503647963483,0.14813060563102598
Female,Bottleneck sigma,114,0.19680018814101485,0.03584653461140097
Female,Bottleneck tau,114,-0.16671351517962377,0.07625769919331643
Male,Overall mu,78,0.3262237403084963,0.003559100406751484
Male,Overall sigma,78,0.39625301683742215,0.0003290231322447385
Male,Overall tau,78,-0.2689644384635772,0.01725936676599077
Male,Short SOA mu,78,0.3597736571909368,0.0012156005779983678
Male,Short SOA sigma,78,0.3678570677472132,0.0009217998274251535
Male,Short SOA tau,78,-0.2950943541153369,0.008720785227903538
Male,Long SOA mu,78,0.030975444621022846,0.7877638264187936
Male,Long SOA sigma,78,-0.009784843064246675,0.9322421586498306
Male,Long SOA tau,78,0.06719450665042288,0.5588666036327856
Male,Bottleneck mu,78,0.40958930224380413,0.00019627474551030678
Male,Bottleneck sigma,78,0.36731908473883307,0.0009391394482681239
Male,Bottleneck tau,78,-0.26549563166633244,0.018810440645869023
