parameter,param_col,n,r_squared,beta_ucla,se_ucla,p_ucla,beta_interaction,se_interaction,p_interaction
Overall mu,overall_mu,175,0.1017389692909687,12.561034116637263,37.33025554036601,0.7365059067599957,37.750761066060804,53.83693701901403,0.48317472318380317
Overall sigma,overall_sigma,175,0.12761229451384315,8.9243082885308,21.019721092942408,0.6711513698897612,30.350624268096936,25.264702210038678,0.22963274003487233
Overall tau,overall_tau,175,0.02937313954201859,1.5800327854778775,27.64602779701117,0.9544239122370134,-16.039676218594305,32.80594865495361,0.6248941963007004
Short SOA mu,short_mu,175,0.1413549556732473,48.18055006944239,38.62968239070182,0.2123088933577184,32.68784989836672,52.36389983936777,0.5324673596030405
Short SOA sigma,short_sigma,175,0.10047893093789739,25.868659626953505,16.310964607035945,0.11274668405982628,8.377524293445266,18.883839009636755,0.6573067887838849
Short SOA tau,short_tau,175,0.033883090324728804,-27.98223167872755,27.36768375101005,0.3065654866979487,-0.8190132129745376,29.54765146648461,0.9778867593155545
Long SOA mu,long_mu,175,0.05139977614014046,6.240830641267248,17.533728840126912,0.7218908298442985,6.3070487149285,25.09772616259235,0.8015824791801041
Long SOA sigma,long_sigma,175,0.04064062284898384,7.390059407935871,8.26329901914889,0.3711490301567111,0.47264472726020346,9.708381603749181,0.9611709728051776
Long SOA tau,long_tau,175,0.042098648690085616,-7.562867101538776,19.032231582514115,0.6910935020842137,-2.7179682256078523,26.72124143972671,0.9189823860959473
Bottleneck mu,mu_bottleneck,175,0.15083111482029132,41.93971942817511,30.29937290220654,0.16630401817543372,26.38080118343822,40.43373734514712,0.5141139604898576
Bottleneck sigma,sigma_bottleneck,175,0.08368668741487639,18.478600219017636,14.602971912218775,0.20572798598300512,7.904879566185052,19.36272863855804,0.6830884145697136
Bottleneck tau,tau_bottleneck,175,0.03965567419387317,-20.419364577188773,25.828030133217595,0.42918368569861076,1.898955012633301,37.00485538238021,0.9590734204276922
