participant_id,mean_lapse_duration,max_lapse_duration,n_lapse_episodes,n_trials
06qcrpGKL6Vc3LVplFQC90VAcRm1,1.7142857142857142,5,7,82
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1.3,3,10,75
0d841i8KPjdjwCYfDuUUXj0SEjH2,1.0,1,6,66
0oa5NYVnIBS9NmrmRAZrahXDctP2,1.0,1,3,72
146QT9LupyU2BAiTsB3PMIpVXM22,2.2222222222222223,5,9,77
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,1.0,1,5,65
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1.375,3,8,69
1fbLQPCcysVlSKup96K4yI5NX6G3,1.0,1,10,89
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1.3333333333333333,3,9,86
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,6.666666666666667,19,6,126
23AEyocWhqY955WHbxhHRSgQ1ms2,1.8333333333333333,4,6,83
2FHuv7L9nWPdbIiWHRIuXtcoyw83,1.0909090909090908,2,11,71
2h5FgHUEvBS1twD5DqbTIRrMm1f2,2.0,5,18,91
2zDXvJKvjeejeOSNbtDbtSI5cdz1,1.6666666666666667,5,12,71
3FSnTCSiUodLp5u3bE0xaUjLk0b2,1.4285714285714286,3,14,82
3WijiOiVCoMbn80F05SPYsxl0TC2,1.0,1,5,78
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,2.0,7,7,128
3xCaqfcHxRQxuOlEzXz3PNcHODH2,1.0,1,6,68
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1.8333333333333333,3,6,81
50R0P1MIMvRvK1qpqfGROchII6R2,1.0,1,2,128
5OOi73igsahMZ5IVKQwwyhnj4Cn2,1.2222222222222223,2,9,69
5Z68AKm9rIeeB2lVu3nJO7U31wk1,2.7,9,10,127
5rXSa3anB5ejmFrnwUsTB82byup1,1.0,1,2,85
5zxa5CMLGQSSonWOXqXf0QNS3PH3,1.0,1,6,85
62fAfeQc27bZelkPX7G54T3gvci2,1.0,1,2,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,1.8333333333333333,6,12,86
6OwhwWQDThSPHTVAeXugohrYuje2,22.5,45,4,127
6WFCyGwk71XLPBmbe4Vav3eotVm1,1.2,2,10,69
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,3.6666666666666665,7,3,76
87w5Le0CgZhSfYAaOH3Xd2fc98l1,5.857142857142857,28,7,115
8bwaafIhKVMNBoHaXFcY8HirS9u2,1.0,1,5,80
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,1.0,1,18,93
8mscvscxtXf7EbbLqCyy4a4pl2q2,2.6666666666666665,5,3,74
9Xz1RIwnPXgyRqmucudW9VeuDnq1,1.0909090909090908,2,11,70
9l7DjYLs0XdgwykPZR5E01KTZfu2,1.375,2,8,72
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,3.3333333333333335,12,6,80
ASGvwW80q7VY7xFaLGZhVuErUQu2,1.0,1,12,79
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,4.2,11,5,91
AsXBOflrszVNKoFqbN61bMJqS0k2,1.8571428571428572,3,7,105
AyAnuCaltBbpEYbudoyNzTvXlcC2,5.1,16,10,107
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1.3846153846153846,4,13,92
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,2.466666666666667,6,15,77
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,1.1666666666666667,2,6,100
CDEoAyvS8feXLKMKsaZah9agEhF3,8.0,14,3,65
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,1.1818181818181819,2,11,90
