model_type,parameter,beta_ucla,se_ucla,p_ucla,r_squared,n
basic,alpha,0.04977905006414837,0.04775989045330824,0.2972831297261054,0.02234929235887506,175
basic,alpha_interaction,-0.03079491088557086,0.05152894930046863,0.5500911821641721,0.02234929235887506,175
basic,beta,-0.06956909941619528,0.13415064712536529,0.6040471242806003,0.05126707218366755,175
basic,beta_interaction,0.044825571616723334,0.14890026589706146,0.7633807380102529,0.05126707218366755,175
asymmetric,alpha_pos,0.07340973779429358,0.059227819507192234,0.21518003872738767,0.06540886694407777,175
asymmetric,alpha_pos_interaction,0.09309268292342718,0.0713661595909241,0.19208451301385343,0.06540886694407777,175
asymmetric,alpha_neg,-0.0035624686576315534,0.061069107469853806,0.9534817593521207,0.04392996442884678,175
asymmetric,alpha_neg_interaction,0.07022874921312854,0.06998902132217436,0.31565574010280306,0.04392996442884678,175
asymmetric,alpha_asymmetry,0.07697220645192507,0.08589275472794358,0.37017629720865897,0.03990883774966569,175
asymmetric,alpha_asymmetry_interaction,0.022863933710298743,0.10026612787544195,0.8196209909276093,0.03990883774966569,175
asymmetric,beta,-0.16885616045936502,0.31451906859589324,0.5913567381137881,0.05024232303020304,175
asymmetric,beta_interaction,0.10210634142438507,0.48078520042179806,0.8318151622248514,0.05024232303020304,175
