module,parameter,param_col,dass_var,model_name,model_description,n,a_coef,b_coef,indirect_effect,a_p,b_p,method,aic,bic,cfi,rmsea,model_type
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.011435030675168866,-0.0579267998973035,-0.0006623947337400343,0.5906576484532589,0.7355033383365317,semopy,17.999999995982115,47.54883355462401,1.0483152689776603,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_dep,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.6576695018901215,-0.009990983063449158,-0.006570764854731248,0.0,0.7355862428159012,semopy,17.999999951362383,47.54883351000428,1.0483152335863695,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_dep,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.6932018144906069,0.018140774748234875,0.012575217971741798,0.0,0.5290195744895423,semopy,17.999999288161245,47.54883284680314,1.0483147124314927,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_anx,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.011442696602204337,-0.1276716303738526,-0.0014609077310767712,0.59031953463978,0.5277368799305837,semopy,17.999998378304063,47.54883193694596,1.1000780308409277,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_anx,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.49117002500732226,-0.016110535422109506,-0.007913012086158877,4.440892098500626e-16,0.5202944811209793,semopy,17.99999977625776,47.548833334899655,1.1000803276668474,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_anx,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5118437574292499,0.019378266349829528,0.009918644660961541,4.440892098500626e-16,0.42985735135629977,semopy,17.999999859921843,47.54883341856374,1.100080484828223,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_str,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.011420008049116838,0.04841757659876102,0.0005529291144765818,0.591143421547643,0.8063913031619192,semopy,17.999999762135264,47.54883332077716,1.0785685557347922,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_str,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.5555083012532148,0.00641852165178141,0.0035655420593380697,0.0,0.8026961158215493,semopy,17.999999988890035,47.54883354753193,1.0785688482119005,0,basic
wcst_rl_path_basic,Learning rate (alpha),alpha,z_dass_str,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5592449222297164,0.0078720967582174,0.0044024301393340935,0.0,0.7584740727303005,semopy,17.999999967714658,47.54883352635655,1.0785688208691713,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,-0.018621598007522614,0.1597767555289563,-0.00297529851240644,0.8213098736494087,0.00018476027765745862,semopy,17.999999145656858,47.54883270429875,1.0446128946900237,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_dep,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.657650251451127,0.4147712640758587,0.2727744261141903,0.0,0.00018356046095546752,semopy,17.999999224270105,47.548832782912,1.0446129522667806,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_dep,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.6933022280728267,-0.2916968900575915,-0.20223410379884255,0.0,0.006909247978299948,semopy,17.999999309839534,47.54883286848143,1.0446130181129363,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_anx,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,-0.018604150169736926,0.04701370876882071,-0.0008746500979714182,0.8214414836737982,0.36668563477885474,semopy,17.99999870259456,47.548832261236456,1.1047829691094755,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_anx,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.49097637388529164,0.08754422532305992,0.04298214630371288,4.440892098500626e-16,0.3671357979148051,semopy,17.999999155464508,47.5488327141064,1.1047837481471023,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_anx,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5118273250323988,-0.0621302513523366,-0.03179996035325702,4.440892098500626e-16,0.5134377314850953,semopy,17.999996637344815,47.54883019598671,1.1047794289573425,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_str,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,-0.018550508739527304,0.04154734219370647,-0.0007707243344684834,0.8219707985428699,0.4140305147489669,semopy,17.99999956237929,47.54883312102119,1.0812124123026785,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_str,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.5555915632608237,0.08115334181917046,0.045088112045152895,0.0,0.41437377320074265,semopy,17.999999039923036,47.548832598564935,1.081211715739612,0,basic
wcst_rl_path_basic,Inverse temperature (beta),beta,z_dass_str,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5591810622589709,-0.06369228135051896,-0.035615517543280434,0.0,0.5205598043167996,semopy,17.999999235700685,47.54883279434258,1.0812119768052375,0,basic
wcst_rl_path_asymmetric,Positive learning rate,alpha_pos,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.04974662252007643,-0.15041112124081096,-0.007482445271188073,0.09592291514443607,0.21604161210752482,semopy,17.999999147344248,47.54883270598614,1.0477719339129783,0,asymmetric
