node_i,node_j,node_i_label,node_j_label,community_i,community_j,weight,abs_weight,sign
z_ucla,z_dass_dep,UCLA Loneliness,DASS Depression,Affect,Affect,0.3817563564943294,0.3817563564943294,positive
z_ucla,z_dass_anx,UCLA Loneliness,DASS Anxiety,Affect,Affect,0.03619821293107229,0.03619821293107229,positive
z_ucla,z_dass_str,UCLA Loneliness,DASS Stress,Affect,Affect,0.18979053804939727,0.18979053804939727,positive
z_ucla,pe_rate,UCLA Loneliness,WCST PE Rate,Affect,Executive,-0.11013223549378329,0.11013223549378329,negative
z_ucla,stroop_interference,UCLA Loneliness,Stroop Interference,Affect,Executive,0.05953706921061246,0.05953706921061246,positive
z_ucla,prp_bottleneck,UCLA Loneliness,PRP Bottleneck (ms),Affect,Executive,0.09286408905747214,0.09286408905747214,positive
z_dass_dep,z_dass_anx,DASS Depression,DASS Anxiety,Affect,Affect,0.26277204414944744,0.26277204414944744,positive
z_dass_dep,z_dass_str,DASS Depression,DASS Stress,Affect,Affect,0.3723470453229006,0.3723470453229006,positive
z_dass_dep,pe_rate,DASS Depression,WCST PE Rate,Affect,Executive,0.02901623058284655,0.02901623058284655,positive
z_dass_dep,stroop_interference,DASS Depression,Stroop Interference,Affect,Executive,-0.13557581466445567,0.13557581466445567,negative
z_dass_anx,z_dass_str,DASS Anxiety,DASS Stress,Affect,Affect,0.37223580279026114,0.37223580279026114,positive
z_dass_str,stroop_interference,DASS Stress,Stroop Interference,Affect,Executive,0.06604709890361919,0.06604709890361919,positive
z_dass_str,prp_bottleneck,DASS Stress,PRP Bottleneck (ms),Affect,Executive,0.08404153802204162,0.08404153802204162,positive
pe_rate,stroop_interference,WCST PE Rate,Stroop Interference,Executive,Executive,0.05688511553061634,0.05688511553061634,positive
pe_rate,prp_bottleneck,WCST PE Rate,PRP Bottleneck (ms),Executive,Executive,0.1539278560963842,0.1539278560963842,positive
stroop_interference,prp_bottleneck,Stroop Interference,PRP Bottleneck (ms),Executive,Executive,0.21829366184027726,0.21829366184027726,positive
