,UCLA,DASS-Dep,DASS-Anx,DASS-Str,Stroop Interference RT,WCST PE Rate,Stroop Interference RT Slope,WCST Confirmation RT,WCST Exploitation RT,WCST Confirm - Exploit RT
UCLA,,,,,,,,,,
DASS-Dep,0.66***,,,,,,,,,
DASS-Anx,0.50***,0.66***,,,,,,,,
DASS-Str,0.55***,0.67***,0.75***,,,,,,,
Stroop Interference RT,0.01,-0.03,0.01,0.02,,,,,,
WCST PE Rate,-0.11,-0.15*,-0.13,-0.14*,0.07,,,,,
Stroop Interference RT Slope,0.22**,0.09,0.13,0.11,0.09,0.01,,,,
WCST Confirmation RT,0.16*,-0.02,-0.07,-0.05,0.19**,0.02,0.07,,,
WCST Exploitation RT,0.09,0.07,0.00,-0.03,0.13,0.14*,0.08,0.60***,,
WCST Confirm - Exploit RT,0.11,-0.09,-0.08,-0.03,0.11,-0.11,0.01,0.66***,-0.20**,
