Task,Outcome,N,b,SE,t,p,delta_R2
STROOP,Stroop Valid Trial Count,220,0.235,0.235,1.0,0.318,0.0117
STROOP,Stroop RT Interference,220,6.141,9.519,0.65,0.52,0.002
STROOP,Stroop Accuracy Interference,220,-0.003,0.003,-0.88,0.38,0.004
STROOP,Stroop RT Facilitation,220,0.205,6.691,0.03,0.976,0.0
STROOP,Stroop Accuracy Facilitation,220,-0.002,0.002,-0.75,0.456,0.003
STROOP,Stroop RT Incongruent minus Neutral,220,5.936,9.132,0.65,0.516,0.0025
STROOP,Stroop RT Neutral minus Congruent,220,0.205,6.691,0.03,0.976,0.0
STROOP,Stroop RT Interference (Correct-only),220,5.108,9.745,0.52,0.601,0.0013
STROOP,Stroop RT Facilitation (Correct-only),220,0.344,6.626,0.05,0.959,0.0
STROOP,Stroop RT Incongruent minus Neutral (Correct-only),220,4.764,9.335,0.51,0.61,0.0015
STROOP,Stroop RT Neutral minus Congruent (Correct-only),220,0.344,6.626,0.05,0.959,0.0
STROOP,Stroop EZ-DDM v (congruent),220,-0.0,0.0,-1.56,0.121,0.0113
STROOP,Stroop EZ-DDM a (congruent),220,0.089,0.094,0.94,0.348,0.0039
STROOP,Stroop EZ-DDM t0 (congruent),220,-1.582,11.815,-0.13,0.894,0.0001
STROOP,Stroop EZ-DDM sv (congruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM sz (congruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM st0 (congruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM v (incongruent),220,-0.0,0.0,-1.12,0.263,0.0062
STROOP,Stroop EZ-DDM a (incongruent),220,0.04,0.086,0.47,0.641,0.0009
STROOP,Stroop EZ-DDM t0 (incongruent),220,2.598,14.74,0.18,0.86,0.0002
STROOP,Stroop EZ-DDM sv (incongruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM sz (incongruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM st0 (incongruent),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM v (neutral),220,-0.0,0.0,-1.7,0.091,0.0101
STROOP,Stroop EZ-DDM a (neutral),220,0.068,0.092,0.74,0.461,0.0021
STROOP,Stroop EZ-DDM t0 (neutral),220,2.824,11.488,0.25,0.806,0.0003
STROOP,Stroop EZ-DDM sv (neutral),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM sz (neutral),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM st0 (neutral),220,0.0,0.0,,,
STROOP,Stroop EZ-DDM v Interference,220,0.0,0.0,0.58,0.562,0.0016
STROOP,Stroop EZ-DDM a Interference,220,-0.049,0.092,-0.53,0.597,0.0013
STROOP,Stroop EZ-DDM t0 Interference,220,4.18,11.37,0.37,0.713,0.0007
PRP,PRP Delay Effect,201,18.196,14.734,1.23,0.218,0.0073
PRP,PRP Valid T2 Trial Count,201,-0.486,0.732,-0.66,0.507,0.0027
PRP,PRP T1 Cost (Short - Long),201,46.227,20.115,2.3,0.023,0.0213
PRP,PRP RT1-RT2 Coupling,201,0.018,0.013,1.38,0.169,0.0068
PRP,PRP Order Violation Rate,201,0.002,0.004,0.56,0.579,0.0022
PRP,PRP T1-only Rate,201,0.001,0.001,0.69,0.488,0.0031
PRP,PRP T2-only Rate,201,-0.0,0.001,-0.36,0.718,0.0004
PRP,PRP T2 While T1 Pending Rate,201,0.002,0.004,0.48,0.632,0.0016
PRP,PRP IRI Mean,201,19.701,15.658,1.26,0.21,0.0077
PRP,PRP IRI Median,201,20.88,17.321,1.21,0.229,0.0081
PRP,PRP IRI p10,201,-0.001,11.281,-0.0,1.0,0.0
PRP,PRP IRI p25,201,5.576,13.776,0.4,0.686,0.0009
PRP,PRP T2 Accuracy (All),201,-0.004,0.002,-1.5,0.135,0.0137
PRP,PRP T2 Mean RT (SOA 50),201,18.128,26.683,0.68,0.498,0.0025
PRP,PRP T2 Mean RT (SOA 150),201,20.604,26.513,0.78,0.438,0.0032
PRP,PRP T2 Mean RT (SOA 300),201,-3.445,28.124,-0.12,0.903,0.0001
PRP,PRP T2 Mean RT (SOA 600),201,2.451,23.65,0.1,0.918,0.0001
PRP,PRP T2 Mean RT (SOA 1200),201,-1.345,17.183,-0.08,0.938,0.0
PRP,PRP T2 Median RT (SOA 50),201,21.451,28.728,0.75,0.456,0.0033
PRP,PRP T2 Median RT (SOA 150),201,23.607,28.987,0.81,0.416,0.0036
PRP,PRP T2 Median RT (SOA 300),201,-1.142,31.252,-0.04,0.971,0.0
PRP,PRP T2 Median RT (SOA 600),201,5.742,23.437,0.24,0.807,0.0003
PRP,PRP T2 Median RT (SOA 1200),201,5.844,15.308,0.38,0.703,0.0007
PRP,PRP T1 Mean RT (SOA 50),201,5.49,22.815,0.24,0.81,0.0003
PRP,PRP T1 Mean RT (SOA 150),201,6.964,23.932,0.29,0.771,0.0005
PRP,PRP T1 Mean RT (SOA 300),201,-12.521,24.736,-0.51,0.613,0.0014
PRP,PRP T1 Mean RT (SOA 600),201,-15.077,26.147,-0.58,0.565,0.002
PRP,PRP T1 Mean RT (SOA 1200),201,-40.202,32.945,-1.22,0.224,0.0074
PRP,PRP T1 Median RT (SOA 50),201,2.173,23.784,0.09,0.927,0.0
PRP,PRP T1 Median RT (SOA 150),201,6.197,25.34,0.24,0.807,0.0004
PRP,PRP T1 Median RT (SOA 300),201,-16.485,27.637,-0.6,0.552,0.0022
PRP,PRP T1 Median RT (SOA 600),201,-22.055,27.512,-0.8,0.424,0.0039
PRP,PRP T1 Median RT (SOA 1200),201,-39.498,34.298,-1.15,0.251,0.0063
PRP,PRP T1 Accuracy (SOA 50),201,-0.005,0.003,-1.43,0.154,0.0093
PRP,PRP T1 Accuracy (SOA 150),201,-0.001,0.004,-0.17,0.868,0.0002
PRP,PRP T1 Accuracy (SOA 300),201,0.001,0.003,0.35,0.727,0.0008
PRP,PRP T1 Accuracy (SOA 600),201,0.001,0.003,0.44,0.664,0.001
PRP,PRP T1 Accuracy (SOA 1200),201,-0.003,0.003,-1.02,0.311,0.0069
PRP,PRP RT1-RT2 Coupling (SOA 50),201,0.004,0.007,0.51,0.613,0.001
PRP,PRP RT1-RT2 Coupling (SOA 150),201,-0.009,0.011,-0.84,0.404,0.0037
PRP,PRP RT1-RT2 Coupling (SOA 300),201,0.0,0.008,0.04,0.97,0.0
PRP,PRP RT1-RT2 Coupling (SOA 600),201,-0.01,0.012,-0.86,0.391,0.004
PRP,PRP RT1-RT2 Coupling (SOA 1200),201,-0.047,0.024,-1.94,0.054,0.0161
WCST,WCST Perseverative Error Rate,212,-0.165,0.535,-0.31,0.758,0.0004
WCST,WCST Valid Trial Count,212,-1.957,1.845,-1.06,0.29,0.0059
WCST,WCST Total Errors,212,-0.826,1.541,-0.54,0.592,0.0017
WCST,WCST Error Rate,212,-0.007,0.011,-0.66,0.508,0.0025
WCST,WCST Perseverative Errors (trial-derived),212,-0.239,0.698,-0.34,0.733,0.0005
WCST,WCST Perseverative Error Rate (trial-derived),212,-0.165,0.535,-0.31,0.758,0.0004
WCST,WCST Non-Perseverative Errors,212,-0.587,1.14,-0.52,0.607,0.0014
WCST,WCST Perseverative Responses (trial-derived),212,-0.434,1.035,-0.42,0.675,0.0008
WCST,WCST Perseverative Response Percent (trial-derived),212,-0.079,0.756,-0.1,0.917,0.0
WCST,WCST PR Ratio among Errors,211,0.02,0.02,1.03,0.305,0.0053
WCST,WCST NPE Ratio among Errors,211,-0.02,0.02,-1.03,0.305,0.0053
WCST,WCST Trials to First Category,212,-1.631,1.671,-0.98,0.33,0.004
WCST,WCST Categories Completed,212,-0.003,0.084,-0.03,0.975,0.0
WCST,WCST Trials per Category Mean,212,-0.241,1.026,-0.23,0.815,0.0002
WCST,WCST Trials per Category SD,212,-0.387,0.853,-0.45,0.651,0.0013
WCST,WCST Failure to Maintain Set,212,-0.071,0.062,-1.15,0.253,0.0036
WCST,WCST CLR Count,212,-0.389,0.995,-0.39,0.696,0.0007
WCST,WCST CLR Percent,212,1.471,1.541,0.95,0.341,0.005
WCST,WCST Learning-to-Learn Heaton CLR Delta,212,0.886,1.149,0.77,0.442,0.0039
WCST,WCST Learning Efficiency Delta Trials,212,0.334,0.488,0.68,0.495,0.003
WCST,WCST Trials to First Conceptual Response,212,-0.808,0.588,-1.37,0.171,0.0103
WCST,WCST Trials to First Conceptual Response (0),212,-0.808,0.588,-1.37,0.171,0.0103
WCST,WCST Trials per Category 1,212,-1.631,1.671,-0.98,0.33,0.004
WCST,WCST Trials per Category 2,210,1.023,0.99,1.03,0.303,0.0047
WCST,WCST Trials per Category 3,207,-0.049,1.201,-0.04,0.967,0.0
WCST,WCST Trials per Category 4,203,-0.9,0.931,-0.97,0.335,0.0069
WCST,WCST Trials per Category 5,199,-0.282,0.408,-0.69,0.49,0.0024
WCST,WCST Trials per Category 6,193,-0.174,0.329,-0.53,0.598,0.0013
