﻿Task,Outcome,N,b,SE,t,p,delta_R2
STROOP,Stroop Post-Error Slowing (ms),136,41.726,40.353,1.03,0.303,0.008
STROOP,Stroop Post-Error RT (ms),136,51.744,45.775,1.13,0.26,0.0093
STROOP,Stroop Post-Correct RT (ms),220,11.297,16.649,0.68,0.498,0.002
STROOP,Stroop Incongruent RT Slope,220,0.443,0.198,2.23,0.027,0.0224
STROOP,Stroop RT Coefficient of Variation (All),220,0.006,0.005,1.19,0.235,0.0064
STROOP,Stroop RT CV (Incongruent),220,0.006,0.006,1.02,0.311,0.0047
STROOP,Stroop RT CV (Congruent),220,0.008,0.007,1.2,0.231,0.0065
STROOP,Stroop Ex-Gaussian sigma (Congruent),219,-0.127,6.185,-0.02,0.984,0.0
STROOP,Stroop Ex-Gaussian sigma (Incongruent),219,-0.655,8.553,-0.08,0.939,0.0
STROOP,Stroop Ex-Gaussian sigma (Neutral),219,-2.142,6.401,-0.33,0.738,0.0005
STROOP,Stroop Ex-Gaussian sigma (Interference),219,-0.529,7.986,-0.07,0.947,0.0
STROOP,Stroop CSE RT (Gratton),220,0.921,17.274,0.05,0.958,0.0
STROOP,Stroop CSE Accuracy (Gratton),220,-0.009,0.007,-1.26,0.208,0.0074
STROOP,Stroop Post-Conflict Slowing,220,7.801,7.532,1.04,0.301,0.0049
STROOP,Stroop Post-Conflict Accuracy,220,0.004,0.004,1.17,0.245,0.0062
STROOP,Stroop Post-Error Accuracy,100,0.019,0.028,0.7,0.487,0.0048
STROOP,Stroop Error Run Length Mean,220,0.049,0.054,0.91,0.365,0.0038
STROOP,Stroop Error Run Length Max,220,-0.12,0.129,-0.93,0.351,0.004
STROOP,Stroop Error Recovery RT Slope,135,-5.906,23.55,-0.25,0.802,0.0005
WCST,WCST Post-Error Slowing (ms),211,165.887,70.662,2.35,0.02,0.0262
WCST,WCST Post-Switch Error Rate,209,-0.005,0.014,-0.4,0.692,0.0007
WCST,WCST Reaction Time Coefficient of Variation,212,0.014,0.015,0.93,0.352,0.004
WCST,WCST PE Run Length Mean,212,-0.038,0.034,-1.12,0.266,0.0058
WCST,WCST PE Run Length Max,212,-0.131,0.124,-1.05,0.294,0.0053
WCST,WCST PR Run Length Mean,212,0.013,0.058,0.23,0.821,0.0002
WCST,WCST PR Run Length Max,212,0.212,0.5,0.42,0.672,0.0009
WCST,WCST PE Cluster Rate,207,-0.006,0.015,-0.38,0.702,0.0007
WCST,WCST Delta Trials (First3-Last3),193,0.068,0.505,0.13,0.893,0.0001
WCST,WCST Learning Slope (Trials),210,0.47,1.176,0.4,0.69,0.0008
WCST,WCST RT Slope within Category,212,-12.583,4.409,-2.85,0.005,0.038
WCST,WCST Accuracy Slope within Category,212,-0.001,0.001,-0.88,0.378,0.0037
WCST,WCST RT Jump at Switch,210,34.025,39.79,0.86,0.393,0.0036
WCST,WCST Post-Switch Recovery RT Slope,209,-6.293,15.719,-0.4,0.689,0.0008
WCST,WCST Failure to Maintain Set,212,-0.071,0.083,-0.86,0.391,0.0036
WCST,WCST Trials to Rule Reacquisition,209,0.12,0.283,0.42,0.671,0.0009
WCST,WCST Delta CLR Percent (First3-Last3),203,-0.641,1.089,-0.59,0.557,0.0017
WCST,WCST Learning Slope CLR Percent,203,0.134,0.415,0.32,0.747,0.0005
WCST,WCST Switch Cost Error k1,210,-0.024,0.025,-0.96,0.336,0.0043
WCST,WCST Switch Cost Error k2,209,0.047,0.02,2.32,0.021,0.0249
WCST,WCST Switch Cost Error k3,209,-0.007,0.022,-0.34,0.735,0.0006
WCST,WCST Switch Cost Error k4,209,-0.016,0.018,-0.86,0.392,0.0034
WCST,WCST Switch Cost Error k5,209,-0.018,0.015,-1.16,0.248,0.0064
WCST,WCST Switch Cost RT k1,210,33.149,78.56,0.42,0.674,0.0009
WCST,WCST Switch Cost RT k2,209,-20.807,51.123,-0.41,0.684,0.0008
WCST,WCST Switch Cost RT k3,209,55.649,47.527,1.17,0.243,0.0067
WCST,WCST Switch Cost RT k4,209,9.824,44.381,0.22,0.825,0.0002
WCST,WCST Switch Cost RT k5,209,-26.287,31.017,-0.85,0.398,0.0034
