Task,Axis,DV,Type,b,SE,95% CI,p,delta_R2
STROOP,Time-on-task drift,RT slope (incongruent),RT,0.443,0.198,"[0.054, 0.832]",0.027,0.0224
STROOP,Within-task dispersion,RT SD (incongruent),RT,11.592,8.834,"[-5.721, 28.906]",0.191,0.0079
PRP,Within-task dispersion,Ex-Gaussian sigma (short SOA),RT,20.351,10.418,"[-0.069, 40.770]",0.052,0.0182
WCST,Time-on-task drift,RT slope (within-category),RT,-12.583,4.409,"[-21.226, -3.941]",0.005,0.038
STROOP,Post-perturbation recovery,Post-error slowing,RT,41.726,40.353,"[-37.366, 120.818]",0.303,0.008
STROOP,Post-perturbation recovery,Post-error accuracy drop,Acc,0.041,0.021,"[-0.000, 0.083]",0.059,0.0853
WCST,Post-perturbation recovery,Post-switch RT cost (k1),RT,33.149,78.56,"[-120.830, 187.127]",0.674,0.0009
WCST,Post-perturbation recovery,Post-error accuracy,Acc,0.004,0.016,"[-0.027, 0.035]",0.805,0.0003
WCST,Post-perturbation recovery,Post-switch error rate,Acc,-0.005,0.014,"[-0.032, 0.021]",0.692,0.0007
WCST,Post-perturbation recovery,Trials to reacquisition,Acc,0.12,0.283,"[-0.434, 0.675]",0.671,0.0009
