dass,model,full_aic,full_bic,full_r2_stage1,full_r2_stage2,total_r2
depression,UCLA → DASS → EF,854.8480412287859,878.1770727816435,0.4416085936661287,0.011241412161186903,0.2264250029136578
depression,UCLA → EF → DASS,854.8480412287859,878.1770727816436,0.0036482913373725445,0.44586405223403147,0.224756171785702
depression,DASS → UCLA → EF,865.8529053887544,889.181936941612,0.4435087996620257,0.011241412161186903,0.2273751059116063
depression,EF → DASS → UCLA,1053.4062739479805,1076.7353055008382,0.0008301890573839676,0.44894359307168674,0.22488689106453535
anxiety,UCLA → DASS → EF,920.8273588748305,944.156390427688,0.24037702757570123,0.003928540596013663,0.12215278408585745
anxiety,UCLA → EF → DASS,920.8273588748305,944.156390427688,0.0036482913373725445,0.24059069085646567,0.12211949109691911
anxiety,DASS → UCLA → EF,931.1053953599877,954.4344269128453,0.24288740453982416,0.003928540596013663,0.12340797256791891
anxiety,EF → DASS → UCLA,1119.3855915940248,1142.7146231468826,0.00024817866736825955,0.24525064952896125,0.12274941409816476
stress,UCLA → DASS → EF,911.4378186752921,934.7668502281497,0.2986708587335861,0.005528719576289087,0.1520997891549376
stress,UCLA → EF → DASS,911.4378186752921,934.7668502281497,0.0036482913373725445,0.2999944868365403,0.15182138908695642
stress,DASS → UCLA → EF,914.2876961018551,937.6167276547127,0.3008433385245367,0.005528719576289087,0.1531860290504129
stress,EF → DASS → UCLA,1109.9960513944868,1133.3250829473445,0.000348676193425157,0.30421998483296264,0.1522843305131939
