t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
blue,E,4,True,B,0,B,True,E,1110.0,,,,,,,,,50.0,,False,,,,,1652.399999976158,short
red,O,7,True,R,1,R,True,O,1031.2999999523165,,,,,,,,,1200.0,,False,,,,,751.1000000238419,long
red,E,8,True,R,2,R,True,E,1287.9000000953674,,,,,,,,,150.0,,False,,,,,1884.0,short
blue,O,9,True,B,4,B,True,O,1226.600000023842,,,,,,,,,150.0,,False,,,,,1714.0,short
red,E,8,True,R,5,R,True,E,1185.2000000476835,,,,,,,,,150.0,,False,,,,,1785.399999976158,short
red,E,4,True,R,6,R,True,E,1054.5,,,,,,,,,50.0,,False,,,,,1735.5,short
red,E,2,True,R,7,R,True,E,1158.1999999284744,,,,,,,,,1200.0,,False,,,,,874.7999999523163,long
blue,O,1,True,B,8,B,True,O,1134.399999976158,,,,,,,,,1200.0,,False,,,,,789.5,long
red,O,3,True,R,9,R,True,O,1577.1999999284744,,,,,,,,,150.0,,False,,,,,1905.1999999284744,short
red,E,4,True,R,10,R,True,E,972.0,,,,,,,,,1200.0,,False,,,,,858.9000000953674,long
blue,E,2,True,B,11,B,True,E,1256.9000000953674,,,,,,,,,1200.0,,False,,,,,869.1999999284744,long
blue,E,6,True,B,12,B,True,E,1516.7000000476835,,,,,,,,,50.0,,False,,,,,2091.399999976158,short
red,O,3,True,R,13,R,True,O,1300.899999976158,,,,,,,,,50.0,,False,,,,,1798.600000023842,short
red,O,9,True,R,14,R,True,O,1238.6999999284744,,,,,,,,,50.0,,False,,,,,1714.1999999284744,short
blue,O,9,True,B,15,B,True,O,1163.5999999046326,,,,,,,,,1200.0,,False,,,,,879.8000000715256,long
blue,O,3,True,B,17,B,True,O,1317.899999976158,,,,,,,,,150.0,,False,,,,,1822.200000047684,short
red,O,5,True,R,21,R,True,O,902.0,,,,,,,,,150.0,,False,,,,,1430.8000000715256,short
red,O,9,True,R,22,R,True,O,1482.2999999523165,,,,,,,,,150.0,,False,,,,,2108.0,short
red,E,8,True,R,23,R,True,E,1301.600000023842,,,,,,,,,150.0,,False,,,,,1935.0,short
blue,E,4,True,B,24,B,True,E,1379.2999999523165,,,,,,,,,1200.0,,False,,,,,952.899999976158,long
blue,E,6,True,B,26,B,True,E,1369.0,,,,,,,,,150.0,,False,,,,,1890.7999999523165,short
red,O,7,True,R,28,R,True,O,1030.100000023842,,,,,,,,,50.0,,False,,,,,1496.5,short
red,E,4,True,R,29,R,True,E,1149.4000000953674,,,,,,,,,150.0,,False,,,,,1422.399999976158,short
blue,O,3,True,B,30,B,True,O,1325.399999976158,,,,,,,,,50.0,,False,,,,,1882.5,short
red,E,6,True,R,31,R,True,E,2502.7999999523163,,,,,,,,,1200.0,,False,,,,,1671.2000000476835,long
red,E,6,True,R,32,R,True,E,1047.399999976158,,,,,,,,,50.0,,False,,,,,1561.1999999284744,short
red,O,5,True,R,33,R,True,O,1012.3000000715256,,,,,,,,,1200.0,,False,,,,,771.7000000476837,long
blue,O,5,True,B,34,B,True,O,957.8000000715256,,,,,,,,,150.0,,False,,,,,1390.899999976158,short
blue,O,1,True,B,35,B,True,O,983.899999976158,,,,,,,,,150.0,,False,,,,,1391.399999976158,short
blue,O,5,True,B,36,B,True,O,950.899999976158,,,,,,,,,150.0,,False,,,,,1439.7999999523165,short
blue,O,9,True,B,37,B,True,O,1195.0,,,,,,,,,50.0,,False,,,,,1735.6999999284744,short
red,O,9,True,R,38,R,True,O,969.7999999523164,,,,,,,,,50.0,,False,,,,,1558.600000023842,short
red,E,4,True,R,40,R,True,E,1452.600000023842,,,,,,,,,50.0,,False,,,,,2154.200000047684,short
blue,E,2,True,B,41,B,True,E,998.8000000715256,,,,,,,,,150.0,,False,,,,,1447.5,short
blue,O,5,True,B,42,B,True,O,932.5,,,,,,,,,50.0,,False,,,,,1602.1999999284744,short
red,O,9,True,R,43,R,True,O,1145.3000000715256,,,,,,,,,150.0,,False,,,,,1522.600000023842,short
blue,E,8,True,B,46,B,True,E,1367.1999999284744,,,,,,,,,50.0,,False,,,,,1859.899999976158,short
blue,O,9,True,B,49,B,True,O,1283.0,,,,,,,,,1200.0,,False,,,,,834.7000000476837,long
blue,E,6,True,B,50,B,True,E,1233.399999976158,,,,,,,,,150.0,,False,,,,,1699.899999976158,short
blue,E,2,True,B,52,B,True,E,1030.5,,,,,,,,,1200.0,,False,,,,,836.5,long
red,O,9,True,R,57,R,True,O,863.4000000953674,,,,,,,,,1200.0,,False,,,,,822.2000000476837,long
blue,O,9,True,B,58,B,True,O,987.0,,,,,,,,,50.0,,False,,,,,1713.0,short
