,Factor1,Factor2,communality
q1,0.4331753936900967,0.24137583220222514,0.24590321406988702
q2,0.5312080818636246,-0.07658973306301967,0.2880480134478959
q3,0.548776023684814,-0.07953540422062008,0.307481004695853
q4,0.6817893163574736,-0.28210389345991427,0.544419278604434
q5,0.5817477123393971,0.21755001180543132,0.3857584084486653
q6,0.4291797800646675,0.18344376045116317,0.21784689686482012
q7,0.6537000524196782,-0.03870949266987266,0.42882218335624894
q8,0.6180883930197769,-0.07468012711622049,0.38761038297186506
q9,0.34634509206179936,0.23333242068561322,0.17439894133830425
q10,0.5358580694797958,0.2633038599369016,0.3564727932842851
q11,0.6407102413952617,-0.3262704404241002,0.5169620137233107
q12,0.607456449208589,-0.13097081597913984,0.38615669232334876
q13,0.6947456570737093,-0.16832805900498696,0.5110058634711665
q14,0.6485193481908289,-0.26388510914544105,0.4902126958065589
q15,0.5196285875157346,0.11720775835715361,0.2837515275827064
q16,0.5247225006539942,0.10118850240973203,0.28557281571250526
q17,0.27433323696693773,-0.07947648653575086,0.08157523681682541
q18,0.5455300232352439,-0.15740978684002263,0.3223808472440671
q19,0.5391661592821525,0.1465018839934269,0.31216294932869093
q20,0.49294689138688275,0.1805240378229017,0.2755855659598756
