,Factor1,Factor2,communality
q1,0.4301858325978061,0.2299263564919755,0.23792597997754264
q2,0.5318144858068549,-0.056926010948453974,0.2860672180365129
q3,0.5372194744563954,-0.11739559777007261,0.30238649011099833
q4,0.6605722218117762,-0.29334940509296986,0.5224095336977458
q5,0.5772592885960309,0.19960086231387258,0.3730687905068373
q6,0.4258073558970703,0.1900017470917114,0.21741256823395694
q7,0.6391748173472495,-0.043951122904652765,0.41047614833546964
q8,0.5960903175764946,-0.10686939855323092,0.3667447350555754
q9,0.3437613025436638,0.2253399924291977,0.16894994531450724
q10,0.5426131466584965,0.2727797516650976,0.3688378198451073
q11,0.6265746382667888,-0.3394693750623858,0.507835233924404
q12,0.5934449333542889,-0.1417235903880805,0.37226246499636484
q13,0.6881217051444442,-0.15518213916158152,0.49759297740566183
q14,0.6285369027690846,-0.2802627802116554,0.4736058641145204
q15,0.5165930086640795,0.10680285904044053,0.278275187299818
q16,0.5249362319223941,0.10880313324287828,0.2873961693883491
q17,0.27614227663524477,-0.09086863255131301,0.08451166532704159
q18,0.5461929573911409,-0.1496934233661855,0.32073486770276877
q19,0.5420317837463892,0.15552140657918623,0.31798536249566095
q20,0.4876377378874464,0.16457720951345525,0.26487622130322164
