,Factor1,Factor2,communality
q1,0.4345079181968427,0.24671324788762855,0.2496645576590166
q2,0.5381588449018141,-0.08480247638204175,0.2968064023465815
q3,0.5421414593855598,-0.0932483998705688,0.30261262606312606
q4,0.6714875439529762,-0.28504883207947673,0.5321483583538739
q5,0.5761365354245119,0.19850452309207833,0.37133735313897337
q6,0.425027980030696,0.19495602460236322,0.21865663533773094
q7,0.6422319856248753,-0.044030536482438626,0.4144006115026013
q8,0.6090736926890044,-0.08869517375535621,0.37883759697331254
q9,0.34530723402014374,0.23330980125251924,0.17367054922713235
q10,0.535295007828249,0.2594398166269485,0.35384976385726985
q11,0.6330732235352352,-0.337214836791868,0.51449555250986
q12,0.6003272882206792,-0.13802894539025626,0.3794448427479407
q13,0.6871238720893241,-0.1493229388304976,0.4944365556560024
q14,0.6378128113856862,-0.2744635896211384,0.48213544439543365
q15,0.5196366625772443,0.11517607551265975,0.28328778946491473
q16,0.5239963093672506,0.10769515912476788,0.2861703795294085
q17,0.27820711729874553,-0.08629895947707998,0.08484671052250464
q18,0.5444899482964001,-0.15596489062463403,0.3207943509033705
q19,0.5400649718721836,0.1537168870158852,0.3152990551971569
q20,0.48864765201875593,0.18412893087523224,0.2726799910086992
