,Factor1,Factor2,communality
q1,0.22697871817358362,0.752908258821599,0.618390184705495
q2,0.5885911174857372,0.313486308252842,0.44471316904510483
q3,0.5613034299254915,0.3885698690289741,0.4660480835633153
q4,0.7781081354120132,0.2889181982987585,0.6889259957025606
q5,0.33059802042640357,0.7068460613024268,0.6089264054886108
q6,0.2134139418771453,0.6323154468306567,0.4453683348881945
q7,0.6089257347052265,0.49451771703820563,0.6153383228509787
q8,0.5568949178413035,0.3942473278431188,0.46556290502891173
q9,0.13609683261855193,0.6277317609345385,0.4125695115347788
q10,0.323588554887864,0.762192326536573,0.68564669548565
q11,0.7990860595762009,0.19841461226592286,0.6779068889696562
q12,0.6514703920972714,0.25187577708375686,0.48785507886091894
q13,0.6936737482571588,0.30842681468498745,0.5763103690378637
q14,0.791172823771098,0.2381825531578255,0.6826853657027132
q15,0.35139312698382447,0.5937408802670082,0.47600536259171194
q16,0.34870453828978937,0.615866227854276,0.5008860656353502
q17,0.4056532514716165,0.1392028056115319,0.18393198151961648
q18,0.6690407972469499,0.22173872984877316,0.49678365269578145
q19,0.40982994016004465,0.6763351924055749,0.6253898723378718
q20,0.2931490024262093,0.7500033885413573,0.6484414204469998
