participant_id,post_error_slowing,post_error_accuracy,post_correct_accuracy,post_error_n,post_correct_n,ucla_total,gender_male
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1598.351639322961,0.7,0.8852459016393442,10,61,32.0,0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,2203.475717702337,0.5454545454545454,0.8421052631578947,22,76,65.0,1
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,1518.2124999999878,1.0,0.8888888888888888,9,72,50.0,0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,616.4149631052046,0.8461538461538461,0.863013698630137,13,73,54.0,1
62fAfeQc27bZelkPX7G54T3gvci2,4341.296516393601,1.0,0.8852459016393442,8,61,49.0,0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,493.3920634994431,0.5833333333333334,0.8888888888888888,12,63,57.0,0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,747.9700000000498,0.6,0.9166666666666666,10,60,56.0,0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,888.323602485854,0.35714285714285715,0.8695652173913043,28,69,42.0,0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,912.9474038633016,0.5625,0.8615384615384616,16,65,38.0,1
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,2030.849931589218,0.55,0.8493150684931506,20,73,25.0,0
AsXBOflrszVNKoFqbN61bMJqS0k2,335.79571429973544,0.6,0.8571428571428571,20,84,42.0,0
AyAnuCaltBbpEYbudoyNzTvXlcC2,2169.036742084193,0.6538461538461539,0.8117647058823529,26,85,62.0,0
CDEoAyvS8feXLKMKsaZah9agEhF3,7448.190983606657,1.0,0.9016393442622951,6,61,33.0,0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,727.465714291164,0.5,0.8714285714285714,20,70,30.0,1
CtJe4bZZnYUBNrcPk00d3YQFSGp2,264.96954365075567,0.5,0.873015873015873,16,63,45.0,0
DPvStUYSmohmXwFwaKRqHv89R3k1,1457.0847457431805,1.0,0.9491525423728814,3,59,52.0,1
DzB19GqCB7fyrlEPexogWkjFzEx2,699.0615384615382,0.5384615384615384,0.9076923076923077,13,65,25.0,0
EUhcW9kURScie1DwGPHqmNqotJB2,270.334674906989,0.43137254901960786,0.7105263157894737,51,76,36.0,0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,1111.5158385204973,0.6428571428571429,0.8840579710144928,14,69,49.0,1
GDZGRW51kbWtAdUIHCtEd8sAtqY2,809.6848958643773,0.3888888888888889,0.90625,18,64,26.0,0
GE4hogtdLdTFbNasENgtm6SO3hC3,739.9987893497107,0.5714285714285714,0.9491525423728814,7,59,56.0,0
HSggdq91WiQp16bOj7V3dABkcgk2,930.1961025565713,0.7692307692307693,0.88,13,75,44.0,1
HyQM2xKwwuVfqidmRYF6TiRk90C2,1145.109722222305,0.8,0.8888888888888888,10,72,21.0,1
K26uNuY0VNPjJNF26wEx3bFg0kr2,794.8235023040615,0.7142857142857143,0.9193548387096774,7,62,43.0,0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,3200.4117647058724,0.5,0.8235294117647058,24,68,39.0,0
LSLmd8jENtONZFVkIpRDX665Bu73,1030.9493939168528,0.6666666666666666,0.8636363636363636,15,66,20.0,0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,1246.6633064597845,1.0,0.8709677419354839,8,62,34.0,1
LliUMEIsrCVZ88YFQfevan2Og4z1,631.0076923076797,0.7222222222222222,0.8333333333333334,18,78,28.0,1
ORvIk1xRWIQmKuLVe6GXNouvAXx2,2984.681359652365,0.5416666666666666,0.8289473684210527,24,76,54.0,0
